model,the,two,men,and,one,woman,detained,are,among,four,suspected,of,links,to,the,so-called,islamic,state,group,.
cologne,-1,0.2608998528027886,0.32056788370111633,-1,0.18111389710085146,0.24479615617848816,0.3559556092363274,-1,0.2228777571566114,0.22027790465184394,0.3929194538224229,-1,0.2082370275765062,-1,-1,0.29887351027767295,0.3640888898766519,0.2731909704049148,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-1,-0.08990468427902898,-0.05556913643268291,-1,-0.10616109159936826,-0.005621471118596677,0.061740391883599255,-1,-0.017969894870718095,-0.08490702459211463,-0.047057411671310945,-1,-0.012833020785600224,-1,-1,-0.0934507891687617,-0.07791295972839007,-0.24210749441902157,-1,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,0.4355656215241517,0.3536534227225492,-1,0.34730306421750035,0.26944326935608676,0.4588508168648624,-1,0.3925338045895084,0.362430942657722,0.3905217832060629,-1,0.4861683486857411,-1,-1,0.4258297290282149,0.4338655232539198,0.5124834501743383,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,-1,0.4430811587565011,0.40457986066025864,-1,0.4442700372207139,0.32237162674145237,0.3138081152263583,-1,0.33188563134378013,0.4409575084958728,0.22149957211194105,-1,0.33955190415580017,-1,-1,0.36822553796328106,0.4304409949854242,0.4449306516736944,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,-1,0.23032198962032113,0.16703391622593544,-1,0.28966189870798287,0.09728189548712218,0.09275564289363947,-1,0.2890762521636412,0.25923913758333295,0.05414601049927914,-1,0.1761844885896645,-1,-1,0.2777986382847102,0.24517419322301615,0.321678706303005,-1,-1
carnival,-1,0.020768006017038876,-0.06030407500217638,-1,0.10560123420518819,0.014571669826753175,0.013931247671806424,-1,0.006915029262489991,0.0077302420466325295,-0.009136906648753662,-1,0.09769607208302244,-1,-1,0.22462219399945527,0.19970497417058564,0.06745768139989361,-1,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,-1,0.6359696209823075,0.8248916816530631,-1,0.5396313367473545,0.574875168285129,0.4666594270257647,-1,0.6717880115797524,0.6719045309433197,0.4705676879609003,-1,0.37339987255563956,-1,-1,0.49044794999648467,0.44394012113394243,0.40797976748824094,-1,-1
suffered,-1,0.4421145445942374,0.4077581764183499,-1,0.41217598775573316,0.4772203402157409,0.3267873458154271,-1,0.2992299246887318,0.4308990546348769,0.4825981210613033,-1,0.240245837172117,-1,-1,0.23159216637257307,0.18684806530098097,0.17650784225993454,-1,-1
sexual,-1,0.41167050430607155,0.485368333124959,-1,0.33398199383053107,0.39548091671645413,0.28932918342941805,-1,0.2934194327856736,0.37595162233530854,0.5198781989605954,-1,0.43748975619851693,-1,-1,0.28639408013534884,0.23263967869107227,0.2735041382124678,-1,-1
assaults,-1,0.49566526150389634,0.518126792273598,-1,0.3205932867090676,0.33153294231563535,0.3134952862327758,-1,0.32450112392255615,0.4824247983684682,0.4910710504330513,-1,0.3257986426238071,-1,-1,0.264503331853461,0.19043236821052933,0.10271031909605277,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,-1,0.43855818608432473,0.40009592370630953,-1,0.13978620055164548,0.1968222646736344,0.36566434634709843,-1,0.2502210271245098,0.36971925318161647,0.4587535595709662,-1,0.24963024942737233,-1,-1,0.15046228965267971,0.11801413148658502,0.06611349692742574,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.5531219281295751,0.5016719229956225,-1,0.5732579022159809,0.435961733077294,0.37329509195118027,-1,0.4527918114148337,0.6239917827118957,0.2945491537811423,-1,0.22124199307356318,-1,-1,0.40017501112670373,0.3493421622364071,0.38809844774646785,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,0.17735596201084336,0.12994106738689204,-1,0.2108620449902141,0.15062753910926863,0.16492597078368598,-1,0.12692902986709353,0.1893609981257085,0.10257379980478998,-1,-0.022344732761370167,-1,-1,0.22544837436094178,0.12752567985586283,0.1443770931490912,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
