model,media,playback,is,not,supported,on,this,device,.
leinster,0.1810093663504715,-0.10745455089714606,-1,-1,0.1535193119852164,-1,-1,0.049664203880410374,-1
resisted,0.22829844074516858,0.10001816903119576,-1,-1,0.22520283742222846,-1,-1,0.0665768890180708,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,-0.013310439444583766,-0.16459618277842436,-1,-1,-0.029120581239968635,-1,-1,0.06434070047731211,-1
cardiff,0.24074148242088733,0.06655340767581419,-1,-1,0.20857897503387168,-1,-1,0.13327667798132148,-1
blues,0.19388212610416988,0.10845257656367857,-1,-1,0.20404307032369262,-1,-1,0.312985536888835,-1
revival,0.1159186854359191,-0.1344963765015197,-1,-1,0.05555010103209057,-1,-1,0.08240885962565758,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,0.1691786597276148,0.050111060176847966,-1,-1,0.236854719460583,-1,-1,0.19695590871609414,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1
position,0.35556014182570195,0.24920957382512943,-1,-1,0.35496405820000076,-1,-1,0.33471113662522556,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
top,0.3457656920698252,0.11966247050160783,-1,-1,0.22396904133301454,-1,-1,0.196164833100974,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
pro12,0.08540137609427723,-0.23089668896177384,-1,-1,0.03944529923444773,-1,-1,-0.0030790666028819302,-1
table,0.22979144789941985,-0.0020765771306279213,-1,-1,0.19268427821526268,-1,-1,0.1949345979263145,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
