model,it,was,the,leinster,pack,however,who,had,the,final,say,with,lock,molony,emerging,at,the,bottom,of,a,pile,of,bodies,to,score,the,decisive,try,.
leinster,-1,-1,-1,1.0,0.3693477580510114,0.2886371367239563,-1,-1,-1,0.46112960578696816,-1,-1,0.7440315959380588,-0.0418682160088788,0.014422194948843226,-1,-1,0.3741866686325488,-1,-1,0.09332046650593917,-1,0.2697480971850469,-1,0.4040199726062982,-1,0.2613240581125844,0.3919136410809685,-1
resisted,-1,-1,-1,0.10788724659010251,0.15573855837437012,0.2999226350912998,-1,-1,-1,-0.023557285527298966,-1,-1,0.10869993737191774,-0.08188741237643127,0.0356942504011154,-1,-1,0.03335475546077327,-1,-1,0.19161495285853491,-1,0.018204731779657646,-1,0.20284036289635088,-1,0.25567764762082734,0.1691750665926398,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,-1,-1,-1,0.21136225615526727,0.36770680313218107,0.028133881797063554,-1,-1,-1,0.18061567962443847,-1,-1,0.0703936031098501,-0.17789390964440566,0.07429310584006077,-1,-1,0.08256205954894025,-1,-1,0.28361808843616143,-1,0.1605890057922792,-1,0.28797649752345,-1,0.5274535199529509,0.18544480197315472,-1
cardiff,-1,-1,-1,0.573042685294049,0.28068166887556856,0.44821720014905764,-1,-1,-1,0.43016606185376927,-1,-1,0.563543776813023,-0.07460697736572452,0.17403586178102015,-1,-1,0.41169252376607357,-1,-1,0.07214197497196162,-1,0.21035907891146977,-1,0.3444799974873316,-1,0.10932901623527402,0.335881530236288,-1
blues,-1,-1,-1,0.6272459760789431,0.4099529519034616,0.35643934087847495,-1,-1,-1,0.45132799311203287,-1,-1,0.7234263840719242,-0.0796348089232839,0.18189375116656104,-1,-1,0.4304649354543254,-1,-1,-0.0012886442320745317,-1,0.1783046851545873,-1,0.48492692457839803,-1,0.16944213408763964,0.3959278201870051,-1
revival,-1,-1,-1,0.26685549612199266,0.28229641796008786,0.23787570880361897,-1,-1,-1,0.2818110958585316,-1,-1,0.19959155049327737,-0.19296468138814538,0.3761464812586295,-1,-1,0.10695862180311821,-1,-1,0.2746527800077394,-1,0.12669844367326555,-1,0.3793972400302019,-1,0.43692039969557417,0.26143072342389106,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,-1,-1,-1,0.27304045431824986,0.42538124467871097,0.38691953946823754,-1,-1,-1,0.262637732526505,-1,-1,0.31649906442065856,-0.3246483396481026,0.251141682542273,-1,-1,0.2500559144636044,-1,-1,0.22010271991632202,-1,0.24235457375370628,-1,0.3465985732570499,-1,0.26737539914234043,0.48128542424151166,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
position,-1,-1,-1,0.3313173140731893,0.443231926608026,0.5760653215002749,-1,-1,-1,0.4866614865508112,-1,-1,0.33630088477008113,-0.3684676947900867,0.3009922287060316,-1,-1,0.42061456665071606,-1,-1,0.25234124737900254,-1,0.3037445198018156,-1,0.5433146857044737,-1,0.46895015373021554,0.49638332715240907,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
top,-1,-1,-1,0.3831579182784782,0.35671326499378386,0.46078698235833926,-1,-1,-1,0.4344978726508446,-1,-1,0.31788508475288446,-0.2797139264830606,0.23928067679781317,-1,-1,0.7256555077093374,-1,-1,0.26230423180274287,-1,0.2788871993079889,-1,0.5733059857453507,-1,0.18454180454384228,0.4482834664287618,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pro12,-1,-1,-1,0.6898170279877426,0.4361161981018067,0.12149049623394159,-1,-1,-1,0.5914733547067336,-1,-1,0.3696814937396591,-0.18027547918954845,0.1030340736548836,-1,-1,0.5122794178985984,-1,-1,0.015810943006072886,-1,0.205570985457868,-1,0.4139617310216457,-1,0.23147971018072777,0.2939355390260351,-1
table,-1,-1,-1,0.38543331792978364,0.5314183876587616,0.3642285585599664,-1,-1,-1,0.4967629825750146,-1,-1,0.32306854126306117,-0.27047074952746586,0.23366559586980418,-1,-1,0.7182303256563267,-1,-1,0.31221411374737085,-1,0.23807785992232422,-1,0.5262827713813112,-1,0.1704097728259253,0.3991048065986217,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
