model,tries,from,dan,leavy,and,luke,mcgrath,-,either,side,of,a,brilliant,breakaway,by,the,blues,',tomos,williams,-,put,the,hosts,14-7,ahead,at,half-time,.
leinster,0.3811836505049522,-1,0.3485750359792812,-0.10952871038860579,-1,0.6681651137822633,0.4954604538799261,-1,0.3534283013189685,0.5800185102670328,-1,-1,0.25574678983186483,0.21645548860129726,-1,-1,0.6272459760789431,-1,0.09986914694338722,0.45381255303946233,-1,0.4106894734836184,-1,0.4701923407930897,-0.11435021253973598,0.4230683142491747,-1,0.3946529934669518,-1
resisted,0.23927168942427057,-1,0.024270589221742078,-0.049143372886490067,-1,0.1342500819235788,-0.04693010766553152,-1,0.17574734770079392,0.11566480979804505,-1,-1,0.16591104440904725,0.0005189535703535864,-1,-1,-0.0030110733113997146,-1,-0.003087630937612218,0.12452225592631594,-1,0.21467505480403382,-1,0.22213556583625615,-0.14447905348102985,0.1373189093509951,-1,0.14231327897154644,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,0.16940463072412792,-1,-0.11186224995544092,-0.06727643619192958,-1,0.04115603746913532,-0.0789120702537689,-1,0.17443262756053557,0.23955744363807452,-1,-1,0.4360625595897947,0.29755733787270766,-1,-1,0.10655479640768994,-1,-0.1533237866419075,-0.03768598024311043,-1,0.21432099495424495,-1,0.31572073447307125,0.2174507299355033,0.1191039083617561,-1,0.393492095412058,-1
cardiff,0.3055625020612385,-1,0.3435237285843171,-0.05059668862795186,-1,0.3740724690666719,0.18996827627683555,-1,0.41969501003393717,0.6399493677064197,-1,-1,0.23231884496837463,0.18921051264223143,-1,-1,0.6913387059583318,-1,0.004365259989600689,0.4339538513191281,-1,0.4832491481704069,-1,0.43096559845993276,-0.09242552037840612,0.49697638930081856,-1,0.33584771136713787,-1
blues,0.393576873102371,-1,0.45913312174410903,0.061308002005426965,-1,0.40998854547264585,0.4722657896415663,-1,0.39040584400890954,0.6797288759174985,-1,-1,0.3332183220504008,0.1286444227163016,-1,-1,1.0,-1,0.13699931067189242,0.5471126908725252,-1,0.4745212349588067,-1,0.5179517940355866,-0.14031641917550175,0.4496083441586487,-1,0.3982144695225883,-1
revival,0.1797943974048899,-1,0.009621648363336233,-0.14837809919579192,-1,0.025025417766792013,-0.04896479876559012,-1,0.15198372170544305,0.27475498441614477,-1,-1,0.49429184412587945,0.4555038632982107,-1,-1,0.14630105944070504,-1,-0.23323349432983598,0.023540761237950014,-1,0.21602334077697205,-1,0.31065015573067833,0.008093600754072727,0.2511415287339448,-1,0.2738695235784496,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,0.20564148360515921,-1,0.024139759916419368,-0.16435029411981117,-1,0.004803801877794167,-0.04024955988246037,-1,0.32988137511628257,0.33959426795448344,-1,-1,0.2589780459018204,0.12103862307807378,-1,-1,0.2512840377059181,-1,-0.1816975088687114,0.13455440119695838,-1,0.4689400152784484,-1,0.260652165784488,-0.11425636702814312,0.36737372807693036,-1,0.13874164490693042,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
position,0.25904985996740026,-1,0.02858598137995294,-0.2931905995368993,-1,0.061436888473996754,-0.08928806145267698,-1,0.5848324937734787,0.5916344474733238,-1,-1,0.45398596478773945,0.20405282446716488,-1,-1,0.3441127882238679,-1,-0.24621338291884265,0.26178876567831344,-1,0.6529643136135428,-1,0.3510086262626412,-0.11748691718902271,0.5318940698138768,-1,0.35190028325581846,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
top,0.3499727457497943,-1,0.14359108136200427,-0.2407348172245889,-1,0.16758661179259338,-0.0863299244965321,-1,0.4373855989389297,0.6260658571615713,-1,-1,0.39954206577147033,0.23614909875790413,-1,-1,0.43297582109359056,-1,-0.1817212987886283,0.29099446393992534,-1,0.4845058565028888,-1,0.3411997023687514,-0.11375466741879636,0.47670705989301076,-1,0.26377678369055413,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pro12,0.2832406297162735,-1,0.13784164316134406,-0.11877179816674466,-1,0.2372979696744446,0.08282097787921539,-1,0.28229576161879333,0.636961546421411,-1,-1,0.2125236189237586,0.39164501148693276,-1,-1,0.5221456482464769,-1,-0.023593405653067112,0.22725375115676671,-1,0.22205760286412535,-1,0.4252816850729826,0.20127328067579675,0.43213493907787404,-1,0.28707408924960676,-1
table,0.31654556930855693,-1,0.15306617329708194,-0.14390640712450553,-1,0.11277211301466128,-0.03406567711995656,-1,0.42381872680679034,0.6085354392027279,-1,-1,0.3001688466163268,0.22846591873642197,-1,-1,0.44978322929969605,-1,-0.10754241639995077,0.27367773395024286,-1,0.46139611268929515,-1,0.34456956898965374,0.07704441866463996,0.6080371103455621,-1,0.34406949097447637,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
