model,leinster,led,after,just,four,minutes,as,flanker,leavy,collected,a,neat,grubber,kick,from,centre,noel,reid,to,touch,down,in,the,corner,.
leinster,1.0,0.4247090076370368,-1,0.34552970023129426,0.42474950680413937,0.4246714202198233,-1,0.379318700541033,-0.10952871038860579,0.34049696645733496,-1,0.11174779704975835,0.07899458093312006,0.4522089932973973,-1,0.3626943358743602,0.25850240774973043,0.43735863442046696,-1,0.2930914669935425,0.3047483234936248,-1,-1,0.34587681276996163,-1
resisted,0.10788724659010251,0.3163561538133228,-1,0.17281445763542058,0.11551709182729064,0.13337892000118634,-1,-0.0392640595274929,-0.049143372886490067,0.4309029481300568,-1,0.16923498467585518,-0.15508843675399975,-0.03814728851198512,-1,-0.0322921303898116,0.18995818532796016,0.12981654134122933,-1,0.19070514634686087,0.1008150213560155,-1,-1,0.0634498783277887,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,0.21136225615526727,0.26237529119568803,-1,0.05041027338387427,0.016958123378629675,0.05833083244951032,-1,-0.038122748963455466,-0.06727643619192958,0.25328540995174076,-1,0.43585005101196705,0.2657539314404924,0.14631731510117896,-1,0.0732219565159884,0.07620780472080402,-0.028199016508535735,-1,0.2590923252707167,0.1568717722289027,-1,-1,0.09801155550888607,-1
cardiff,0.573042685294049,0.4428355056795412,-1,0.4271641400364037,0.45837324197674345,0.3447688793565007,-1,0.4649316511427528,-0.05059668862795186,0.33909017826699805,-1,0.028989297669601233,-0.024466173485581333,0.42577362180074596,-1,0.562950182608311,0.030884886405070255,0.3587517216927766,-1,0.1644436427868402,0.26567545895136835,-1,-1,0.38941834715100987,-1
blues,0.6272459760789431,0.4132114898314623,-1,0.40826006366887535,0.48656170472731164,0.41353513666392416,-1,0.46966966237102725,0.061308002005426965,0.3456940340178585,-1,0.034850802722753094,0.03524020800353833,0.4549010960379556,-1,0.39771374104106894,0.20470260459906786,0.18572460617436604,-1,0.2936859598549886,0.33035263067958776,-1,-1,0.37771842344120476,-1
revival,0.26685549612199266,0.3167054480357302,-1,0.18752729948366387,0.16101131487279574,0.09156791736924041,-1,0.019647444657910462,-0.14837809919579192,0.22775501779651808,-1,0.4619207573437465,0.11383481825416586,0.08944493493843564,-1,0.1491246631261801,0.08712427511675158,0.11323475681704531,-1,0.18718376707681628,0.09277103551565746,-1,-1,0.020182216943711362,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,0.27304045431824986,0.31399028626582937,-1,0.24671625048948997,0.24466650071642093,0.07582163010175691,-1,0.13185321885029733,-0.16435029411981117,0.2791568640127946,-1,0.13612155119319858,0.020548248020256787,0.1121729262855774,-1,0.22009765072226495,-0.08230661030745656,0.04125166231294597,-1,0.36141427526954684,0.26256135629438515,-1,-1,0.07551775274153627,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
position,0.3313173140731893,0.3903653685280677,-1,0.5650867677956491,0.4288520211706114,0.3017627144811652,-1,-0.0033434466032260524,-0.2931905995368993,0.4270759743681982,-1,0.29882044578953026,0.05555637102650768,0.27605218812142107,-1,0.3121826460348651,0.00254593386026003,0.15823634831009448,-1,0.5479571968762497,0.40765215715562075,-1,-1,0.266468860912215,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
top,0.3831579182784782,0.3350301440539395,-1,0.5570656121618671,0.6512784499630629,0.4834050222741664,-1,0.08904751717263915,-0.2407348172245889,0.38721700911935986,-1,0.34120763367055296,0.10436231282150832,0.4030682885352571,-1,0.5202783792643138,-0.040198317289839025,0.18803109097813753,-1,0.4326117373607382,0.37558328421561704,-1,-1,0.4839735274260293,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pro12,0.6898170279877426,0.2731170130658782,-1,0.25040292771592076,0.4630797105159684,0.3007827721631764,-1,0.24844426511419115,-0.11877179816674466,0.09121959712580807,-1,0.1699292421793347,0.09104329092955199,0.33277613633872105,-1,0.27146659223847136,-0.024274017884327925,0.18048438630515518,-1,0.23402013330882288,0.1406804849068095,-1,-1,0.32152277532487195,-1
table,0.38543331792978364,0.27002509943162845,-1,0.5162775606835355,0.5840758410372098,0.41406253636623114,-1,0.08937770634522979,-0.14390640712450553,0.2947215822730629,-1,0.3510246393419594,0.01678048946823829,0.3398826995980593,-1,0.28744347972453976,-0.013810546178790517,0.08312395086026236,-1,0.4846046303667366,0.3569938931468025,-1,-1,0.4143730039716611,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
