model,glorious,sunshine,and,a,pristine,pitch,made,for,perfect,conditions,at,the,rds,encouraging,both,teams,to,play,adventurous,running,rugby,.
leinster,0.046362251858866554,0.41807423565353086,-1,-1,-0.07140677869363943,0.2788691111213951,-1,-1,0.22076874930038703,0.13151946376249035,-1,-1,0.012285555938109871,0.14883840824708272,0.4922146339208078,0.4347039599071786,-1,0.40996631045130805,-0.12572340285545902,0.3980899263573494,0.5046097884493602,-1
resisted,0.06968375650418845,0.07005678119292835,-1,-1,-0.012302920018008257,0.054555953436541293,-1,-1,0.04547038821745697,0.14138804181882203,-1,-1,-0.19732964910100503,0.23008008365862964,0.24261375227065285,0.09338044101953846,-1,-0.009630446136121185,0.15336355611418273,0.14850209375957013,-0.05922918715736558,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,0.2773403833712953,0.13089385682346455,-1,-1,0.29043777403217397,0.24122613994347442,-1,-1,0.2861597237182343,0.22783548385096708,-1,-1,-0.021604181334815786,0.21735427299335597,0.09602573359019395,0.18106863808635065,-1,0.1218852757357427,0.23386779155491788,0.1719333506024242,-0.0051090456437064,-1
cardiff,-0.020389352196513055,0.2586892529067968,-1,-1,-0.05697663361406913,0.3588800376916649,-1,-1,0.17670090723650766,0.16290277542491371,-1,-1,0.08156293846816898,0.20078605863129506,0.5580033801575474,0.4871770826494508,-1,0.47081484835193543,-0.15735937572603254,0.48311091427788,0.5205431629439252,-1
blues,0.06000628854033896,0.5548694026942077,-1,-1,-0.02492604776276308,0.3660028994101009,-1,-1,0.23944826785868356,0.11037639653866416,-1,-1,-0.11421048950174595,0.15184105778244283,0.5305910182357934,0.5303521046619364,-1,0.456290335740698,-0.11486288180558613,0.36098590945807163,0.6398565481557325,-1
revival,0.41694156340886446,0.26175103170881164,-1,-1,0.26356534912452123,0.29406090795564266,-1,-1,0.41530687051382276,0.2615321253004419,-1,-1,-0.034610176327320774,0.32025719470634195,0.27335407139701284,0.22158733748690085,-1,0.26261195682812133,0.2109193640860334,0.24016256756388754,0.26486479282357656,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,0.09295678939916019,0.23832129920692546,-1,-1,0.2515736120587406,0.26758760470134413,-1,-1,0.23535336358230974,0.2608327391743336,-1,-1,-0.10345455565780304,0.34091769732550037,0.469347967965539,0.47172929020075016,-1,0.37673565179592283,0.1283065529814491,0.43522922226036176,0.2941774088643634,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
position,0.21905366174251317,0.22077413391120349,-1,-1,0.225825976037072,0.4068887448972833,-1,-1,0.42996531842766816,0.3816966109559268,-1,-1,-0.19758148614770876,0.3862531548113959,0.5426827965312032,0.48700381838910767,-1,0.4791928859218675,0.1467197821647842,0.623267616275241,0.4036236878775483,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
top,0.19829409572810008,0.1603541795709691,-1,-1,-0.07034588744267034,0.3210296038483542,-1,-1,0.2938585821897942,0.22033992398951763,-1,-1,-0.22490884943571965,0.26775552664275604,0.5626430098818096,0.649272303640288,-1,0.46664092197534,0.03338145620752664,0.5747716579652036,0.5042749684962855,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pro12,0.1820722052073952,0.22667824752221255,-1,-1,0.05558549832129667,0.3322841606508202,-1,-1,0.3046302577159581,0.0908772686455005,-1,-1,0.1940768183130559,0.046321093982123696,0.36855384306922634,0.5274177392009058,-1,0.4042735364170329,-0.07592643984713221,0.3099262426810927,0.5713277951926764,-1
table,0.23827405742717633,0.25137875985458313,-1,-1,0.08080662386342352,0.3762932979211596,-1,-1,0.33897350239902535,0.19972896646794536,-1,-1,-0.039109426864977204,0.2135525168652579,0.48132631984208485,0.602376009018642,-1,0.38556542795033877,-0.001958858289142329,0.5526009770987711,0.4624584143617827,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
