model,replacements,:,j,tracy,p,dooley,m,ross,m,kearney,m,deegan,j,gibson-park,t,daly,f,mcfadden,.
leinster,0.4191173308490045,-1,-1,0.2233675965578351,-1,0.4324951954455356,-1,0.6802448350737799,-1,0.3620640840335769,-1,0.3541969981632227,-1,-0.342274883799478,-1,0.5560771324045763,-1,0.12677897967796925,-1
resisted,-0.13848336900362312,-1,-1,0.03761876193512037,-1,-0.012125775438036834,-1,0.07231884818000789,-1,-0.041169727383450594,-1,-0.14600557779864376,-1,-0.020053877749378612,-1,0.035836552248641906,-1,0.03314828990458496,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,-0.12153577645100122,-1,-1,-0.06581129755476733,-1,-0.07038061448791044,-1,-0.00022710024144712015,-1,-0.17946904906192218,-1,-0.1683335234594896,-1,-0.17377671095132374,-1,-0.021353258501425554,-1,-0.0908227529627752,-1
cardiff,0.3055173690609432,-1,-1,0.0069934712464506665,-1,0.03329940411053989,-1,0.5440366615621834,-1,0.24907697316448085,-1,-0.0009483447574056836,-1,-0.23947128246618954,-1,0.08028561000582135,-1,0.11277660507708043,-1
blues,0.5066028919394477,-1,-1,0.011602593759215463,-1,0.014437315480410717,-1,0.5912916174710333,-1,0.5220846803454607,-1,-0.037080500465718425,-1,-0.11122396740003682,-1,0.12206224928064968,-1,-0.0765986271018948,-1
revival,-0.07917667265930461,-1,-1,0.07818340861927464,-1,0.009565168638974053,-1,0.017703547442725398,-1,-0.08888777605404319,-1,-0.11525203321856559,-1,-0.30533558875449307,-1,0.03890743319209178,-1,0.07743059048218037,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,-0.0394811857457984,-1,-1,-0.13032042978514413,-1,-0.09835054392001163,-1,0.11915606287756275,-1,-0.003959910914229647,-1,-0.25741521166745884,-1,-0.27038784919792613,-1,0.03479127442077812,-1,-0.08867980457037383,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
position,0.003806668037726557,-1,-1,-0.14339722836035285,-1,-0.11350933991770251,-1,0.16953964715026548,-1,-0.06717434119630483,-1,-0.2658954047786821,-1,-0.3223144444142836,-1,-0.04326015900006919,-1,-0.04556346378337239,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
top,0.043771906093353574,-1,-1,-0.18157849379147506,-1,-0.09609478529277893,-1,0.23230533427640143,-1,-0.036562701978406276,-1,-0.17306659188519724,-1,-0.32804497690081735,-1,-0.10269403193935878,-1,-0.04790500922367902,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pro12,0.12076786970028752,-1,-1,-0.01769701112046773,-1,0.1157281857205762,-1,0.4019249713684826,-1,-0.010624280970295663,-1,0.09044765624346962,-1,-0.46253046250797625,-1,0.20414747957265877,-1,-0.028010013894790076,-1
table,0.0748614289537789,-1,-1,-0.13867292769391382,-1,-0.07415018640472759,-1,0.229383392280181,-1,-0.03636686106550879,-1,-0.18084994456618375,-1,-0.3297429412934443,-1,-0.007259925865441552,-1,-0.08184936053373959,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
