model,leinster,:,j,carbery,;,a,byrne,r,o'loughlin,n,reid,i,nacewa,;,r,byrne,l,mcgrath,;,c,healy,r,strauss,m,bent,;,r,molony,h,triggs,;,d,leavy,j,van,der,flier,r,ruddock,.
leinster,1.0,-1,-1,-0.00019987505500451697,-1,-1,0.5898630669849283,-1,-1,-1,0.43735863442046696,-1,-0.06061980336176509,-1,-1,0.5898630669849283,-1,0.4954604538799261,-1,-1,-0.14301419339819343,-1,0.47486274998213085,-1,0.45642680175872674,-1,-1,-0.0418682160088788,-1,-0.02157478561136661,-1,-1,-0.10952871038860579,-1,0.3291292593412263,0.1412624404228099,0.039142648522523915,-1,-0.2988707233625558,-1
resisted,0.10788724659010251,-1,-1,-0.016031438350815996,-1,-1,0.03906458174905236,-1,-1,-1,0.12981654134122933,-1,0.01726185733690666,-1,-1,0.03906458174905236,-1,-0.04693010766553152,-1,-1,-0.017074349723319227,-1,-0.05758379047529871,-1,0.04406203062068004,-1,-1,-0.08188741237643127,-1,0.004750162109228628,-1,-1,-0.049143372886490067,-1,-0.12614683129744786,-0.11436111887462208,-0.1444607865809504,-1,0.041929793689586825,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,0.21136225615526727,-1,-1,-0.035289508892772936,-1,-1,-0.0599980776480864,-1,-1,-1,-0.028199016508535735,-1,0.030295306510668918,-1,-1,-0.0599980776480864,-1,-0.0789120702537689,-1,-1,-0.014633191739719553,-1,-0.1521703063107689,-1,-0.00037869635507314925,-1,-1,-0.17789390964440566,-1,-0.16216307811021258,-1,-1,-0.06727643619192958,-1,-0.06585295554276804,-0.14383537122096235,-0.10598635180055993,-1,0.0327016861697097,-1
cardiff,0.573042685294049,-1,-1,-0.15624773127546798,-1,-1,0.19137429586966692,-1,-1,-1,0.3587517216927766,-1,0.003914358903978399,-1,-1,0.19137429586966692,-1,0.18996827627683555,-1,-1,0.12227269384270534,-1,0.3576618789197217,-1,0.20477743976441076,-1,-1,-0.07460697736572452,-1,-0.17415344436188218,-1,-1,-0.05059668862795186,-1,0.31654409272546413,0.08071358439563825,-0.05438588370780173,-1,-0.0028982194588726973,-1
blues,0.6272459760789431,-1,-1,-0.30416506408414357,-1,-1,0.10537030767358235,-1,-1,-1,0.18572460617436604,-1,0.2919234089748155,-1,-1,0.10537030767358235,-1,0.4722657896415663,-1,-1,0.013922589391087814,-1,0.42516760213365845,-1,0.06608910377410449,-1,-1,-0.0796348089232839,-1,-0.20744719265984246,-1,-1,0.061308002005426965,-1,0.35503258275964655,0.13633238494205968,0.035127798016714396,-1,-0.16071117548434644,-1
revival,0.26685549612199266,-1,-1,-0.09598016728657122,-1,-1,0.05970891784025978,-1,-1,-1,0.11323475681704531,-1,-0.10940626268053077,-1,-1,0.05970891784025978,-1,-0.04896479876559012,-1,-1,0.03180492585922623,-1,-0.006116776764605314,-1,0.1849783671227344,-1,-1,-0.19296468138814538,-1,-0.1568629159722965,-1,-1,-0.14837809919579192,-1,-0.08664679844072332,-0.15298060444040207,-0.21417859732574152,-1,0.01601936176789065,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,0.27304045431824986,-1,-1,-0.24758086537616975,-1,-1,-0.03133758755795513,-1,-1,-1,0.04125166231294597,-1,0.04475983813840123,-1,-1,-0.03133758755795513,-1,-0.04024955988246037,-1,-1,-0.02778374010922291,-1,-0.06412616069206867,-1,0.013245342870075283,-1,-1,-0.3246483396481026,-1,-0.3125886900358059,-1,-1,-0.16435029411981117,-1,0.05881775640103515,-0.05811541479465587,-0.18898221777441138,-1,0.0029215921360375985,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
