model,leo,cullen,'s,men,are,now,six,points,clear,at,the,pro12,summit,with,second-placed,ospreys,away,against,treviso,later,on,saturday,.
leinster,0.31318590702352633,0.5112478782227389,-1,0.42127558730443204,-1,-1,0.4567806421789833,0.4057840572417508,0.31209985473591995,-1,-1,0.6898170279877426,0.4474214363697473,-1,0.42063238950330617,0.6636729830238101,0.407461355504972,0.5471547830242305,0.7924917009478057,0.3081617176386158,-1,0.6099683110791999,-1
resisted,0.06744676183306353,-0.02555944847606706,-1,0.08417650716397229,-1,-1,0.1548590474247089,0.08595424082117631,0.25310183435066125,-1,-1,-0.11699416910819194,0.017977936569424702,-1,-0.06698347686377115,-0.10012707067583948,0.18571820945608986,0.05726678434449828,0.03607702498946064,0.21900157114794294,-1,-0.0072994289197125806,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spirited,-0.20068589621268362,-0.09808762786446978,-1,0.059413777416419844,-1,-1,0.054531750423209346,0.1041784577911774,0.18553221284687127,-1,-1,0.20369445384381468,0.020823705511021973,-1,0.12435976479317212,-0.03543186178909297,0.342934285866336,0.28378707525198243,0.18190039074210018,0.01495511478467737,-1,0.1258405208586535,-1
cardiff,0.06901705456057461,0.2774765135173529,-1,0.42827282879818807,-1,-1,0.471306035662457,0.41860532784511184,0.31951151148376233,-1,-1,0.5052384135708597,0.39640217907826525,-1,0.37722048249096574,0.26338946230278104,0.3756010339687401,0.4458516788898952,0.3948873453981122,0.4680675702134791,-1,0.6301570469793811,-1
blues,0.11398500674377365,0.24605866281579447,-1,0.46324233174516594,-1,-1,0.5221257966014913,0.4571144297884484,0.28668728247954467,-1,-1,0.5221456482464769,0.0012105218243174676,-1,0.3556039070728434,0.4095899060974677,0.3495771801790706,0.4726635064659692,0.28953266192755955,0.3773574393187036,-1,0.5497166978088046,-1
revival,-0.02079047664734701,-0.04962550694195356,-1,0.12001649894874744,-1,-1,0.1788652391420178,0.0820898097815157,0.18437669106249754,-1,-1,0.3167972631792977,0.30480819326565567,-1,0.06898872137188006,0.054355204279673,0.05045901400526165,0.23047887279044632,0.24825765201414485,0.0928822611416642,-1,0.1920029338885576,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthen,0.06369969003461717,-0.06912598282524174,-1,0.18589413888191508,-1,-1,0.2614595358567535,0.24143163861401706,0.3984195959579202,-1,-1,0.2674504542725644,0.24697743995256582,-1,0.12258127826288834,0.06577327307292347,0.26778438607784816,0.3249143745437174,0.17952754121919112,0.1565938596598524,-1,0.2281842888713237,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
position,0.04201782765998163,-0.0585098003821114,-1,0.3641937233049636,-1,-1,0.4442582481760483,0.4097647737982191,0.6436277697188483,-1,-1,0.3111298654602622,0.3355283701110362,-1,0.20936896112425707,0.015858159499178348,0.4675691975742682,0.39816040315700985,0.2059920631501958,0.4425529460850306,-1,0.36661550956227906,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
top,-0.1778199518976673,-0.05144292586405719,-1,0.5534736368393928,-1,-1,0.6958001407879201,0.6374418576318812,0.5347033544857627,-1,-1,0.4515387810506246,0.3238000943897268,-1,0.39545729768286897,0.05347596919826647,0.42579210026441094,0.30047357594444346,0.25061837551779786,0.36331321820689233,-1,0.4309147537402265,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pro12,0.1882945893802902,0.24947825251921563,-1,0.3250135061112489,-1,-1,0.4734806376896974,0.45419933506707744,0.20393149865728288,-1,-1,1.0,0.5028494119098778,-1,0.47235171492176686,0.39226241219946956,0.34886226671219456,0.45168519290893716,0.6531640526166721,0.16974469622614308,-1,0.6175964914635325,-1
table,0.041093882130217696,0.010574316456471,-1,0.4391976728261171,-1,-1,0.5810269839615962,0.6815910569701785,0.4943021052822004,-1,-1,0.6306627004913138,0.3452459899715641,-1,0.47300844839789835,0.13087063516753306,0.43386881676118894,0.20091281178932474,0.3091372616598862,0.32765544640530253,-1,0.451349017958222,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
