model,however,statistics,canada,notes,many,police,services,have,reached,out,to,ethnic,communities,and,there,have,been,efforts,by,groups,like,the,national,council,of,canadian,muslims,-lrb-,nccm,-rrb-,to,encourage,reporting,.
hate,0.27953286315140624,0.28419069462210067,0.20376409210678514,0.16400894715832326,-1,0.32355282629134763,0.2098548742815849,-1,0.12608217958271994,-1,-1,0.2626890929246496,0.26346137965650507,-1,-1,-1,-1,0.20315504093941228,-1,0.34504988210753207,0.39806420504045437,-1,0.255041739602488,0.08848908664269117,-1,0.18535492882930082,0.3475692685020819,-1,-0.38308106776190964,-1,-1,0.40086648134772596,0.4415731391137967,-1
crimes,0.3379216401420624,0.3204990976300086,0.33567904593027476,0.22508615947939625,-1,0.3461981626404468,0.19289762902326568,-1,0.3295486350322183,-1,-1,0.29429084664964034,0.29387328074217267,-1,-1,-1,-1,0.336481328547073,-1,0.3616610840466059,0.3479242858006517,-1,0.30698332962386754,0.13228845587142657,-1,0.23370540941547957,0.4094441104864426,-1,-0.447711162522584,-1,-1,0.32556293107596845,0.47641428166693567,-1
reported,0.6058142142771115,0.54164270485121,0.39683903406717036,0.5284022489078427,-1,0.5007526449916957,0.35425857435425845,-1,0.4299188057603601,-1,-1,0.25700011332293426,0.34770372383114334,-1,-1,-1,-1,0.2509229086838609,-1,0.3377910521500205,0.28056325105745095,-1,0.35955992617364374,0.29631603581408006,-1,0.4928595470095851,0.2680904131073675,-1,-0.5310013579285311,-1,-1,0.20085388541504523,0.7274281283624733,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,0.5126041124209224,0.32126802667427,1.0,0.2748768625606002,-1,0.3236956582100039,0.32581557328034927,-1,0.5465519110635548,-1,-1,0.23393921662589168,0.480645766288861,-1,-1,-1,-1,0.4169277735412049,-1,0.32682118498625246,0.4834826576081859,-1,0.4319732197991619,0.3625000803043058,-1,0.6497718764347942,0.5347629119780116,-1,-0.7034970857519531,-1,-1,0.31266040254316807,0.4790260880138374,-1
rose,0.4156893100119242,0.34375951403641647,0.4013915005590756,0.38558404567204385,-1,0.20167246642338832,0.25119191768475413,-1,0.4026898611059826,-1,-1,0.2545473061319705,0.28093631082063064,-1,-1,-1,-1,0.14453759750381678,-1,0.150860752136879,0.15484606306837012,-1,0.2181562397561836,0.20837851430898358,-1,0.3707147681924565,0.2886398164374724,-1,-0.45896532478364427,-1,-1,0.18943720586581714,0.46724582676253335,-1
slightly,0.503053022112692,0.12495736542123681,0.27794540171526394,0.357351380733832,-1,0.13499071105918614,0.24453993933663665,-1,0.4499783923662277,-1,-1,0.14276362266196618,0.26609889335061343,-1,-1,-1,-1,0.2790848495649487,-1,0.20578239618339644,0.3653685217858078,-1,0.08811647437024805,0.1538450078368675,-1,0.081345603303972,0.26954532996109326,-1,-0.46083120079554085,-1,-1,0.3022014026279851,0.5361400318650326,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,0.5424714451149855,0.3586613214244756,0.5654191213174102,0.350772487087191,-1,0.3429252370349558,0.3676541794327497,-1,0.6651892813948894,-1,-1,0.170938866568337,0.3096209942686483,-1,-1,-1,-1,0.3170922627517976,-1,0.26763696567538986,0.2588768398745538,-1,0.3992611874718366,0.37063713952905597,-1,0.42621386287843643,0.23611045791761986,-1,-0.6000912620343124,-1,-1,0.2829136542794769,0.600509380891798,-1
driven,0.34153492332567903,0.08062536735468973,0.3327540469350845,0.14496638471637802,-1,0.3285249374931972,0.3464302939705648,-1,0.3692519561521972,-1,-1,0.21266342607614952,0.3329780394341142,-1,-1,-1,-1,0.35234786446979727,-1,0.25047767509550634,0.31144698836650075,-1,0.1924094754100436,0.19906523295921552,-1,0.2723895935949818,0.3505775521713843,-1,-0.49151527635800374,-1,-1,0.295199734864388,0.5069697826726808,-1
