model,the,statistics,canada,report,notes,that,the,figures,do,not,paint,a,full,picture,of,the,true,extent,of,hate,crime,in,canada,.
hate,-1,0.28419069462210067,0.20376409210678514,0.3141715434079384,0.16400894715832326,-1,-1,0.28198077576013314,0.3544886798394171,-1,0.3378239111611364,-1,0.26095336632942434,0.3277317659858503,-1,-1,0.3474525648919875,0.3281184602766938,-1,1.0,0.7130604469564573,-1,0.20376409210678514,-1
crimes,-1,0.3204990976300086,0.33567904593027476,0.33942726157837666,0.22508615947939625,-1,-1,0.38247465164703454,0.3200617846910756,-1,0.27490936415519784,-1,0.24628804611628152,0.22217685766069895,-1,-1,0.31935003575793286,0.33575873177739357,-1,0.7560954175803669,0.7159684947502011,-1,0.33567904593027476,-1
reported,-1,0.54164270485121,0.39683903406717036,0.6032140030668295,0.5284022489078427,-1,-1,0.7225229008364709,0.28074201246669395,-1,0.07846776660307753,-1,0.36335969291293546,0.3677219531662328,-1,-1,0.29480864809492924,0.335634090125955,-1,0.35821153989331034,0.5493192175731382,-1,0.39683903406717036,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,-1,0.32126802667427,1.0,0.3236390373037208,0.2748768625606002,-1,-1,0.4391617003200279,0.465353672307518,-1,0.30172659153051185,-1,0.30370308375115673,0.2929185622815216,-1,-1,0.3521806144540657,0.16918561511894992,-1,0.20376409210678514,0.3427140440843446,-1,1.0,-1
rose,-1,0.34375951403641647,0.4013915005590756,0.31073562256327225,0.38558404567204385,-1,-1,0.4508403283455822,0.15717731191982964,-1,0.06336349270549968,-1,0.16674706927619987,0.21109808548573783,-1,-1,0.12725640652228876,0.04423943378827877,-1,0.1121801630770125,0.18907019639649747,-1,0.4013915005590756,-1
slightly,-1,0.12495736542123681,0.27794540171526394,0.2414858734390659,0.357351380733832,-1,-1,0.4210873274737781,0.41905306972705103,-1,0.10593050362952172,-1,0.27850482659323683,0.44105664084488916,-1,-1,0.37674698213723423,0.32292609498679004,-1,0.1601612877840093,0.1603960534159864,-1,0.27794540171526394,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,-1,0.3586613214244756,0.5654191213174102,0.507263381346665,0.350772487087191,-1,-1,0.6056078176948395,0.3545867751152131,-1,0.09111706033953404,-1,0.5200201257366693,0.3318205657928519,-1,-1,0.24284370423615442,0.25337654175144597,-1,0.22348023336680733,0.3687572714499363,-1,0.5654191213174102,-1
driven,-1,0.08062536735468973,0.3327540469350845,0.23901891668957953,0.14496638471637802,-1,-1,0.2880115622781767,0.2967105388317077,-1,0.2407670322339177,-1,0.28827671216629236,0.3338828624136919,-1,-1,0.27346317893722527,0.27332071162316174,-1,0.15297419463308481,0.31487186363490305,-1,0.3327540469350845,-1
mainly,-1,0.22919219520949374,0.6036614919710576,0.3447362616054389,0.3331497014279535,-1,-1,0.508505794089635,0.44512036014849277,-1,0.21022250099872797,-1,0.25339883726345647,0.31821952223074124,-1,-1,0.3590517037513198,0.3765510908458338,-1,0.30409472656386605,0.4777083195060432,-1,0.6036614919710576,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,-1,0.2666294181428903,0.31072644875359956,0.4437644575725225,0.23831067742839207,-1,-1,0.5096621017354818,0.34832234388578265,-1,0.16347503640723626,-1,0.31912321733284243,0.3104020743798064,-1,-1,0.22760185562710067,0.4535523165727182,-1,0.5223214302022812,0.6277720730203091,-1,0.31072644875359956,-1
targeting,-1,0.19907833865614033,0.422537473814818,0.24432826286218123,0.09660078555532992,-1,-1,0.33757388663884536,0.3718319297089312,-1,0.18495510175927166,-1,0.20621190814769352,0.20396848176093496,-1,-1,0.2666632200864002,0.2775036199773495,-1,0.39531138078582306,0.5226667849375778,-1,0.422537473814818,-1
muslims,-1,0.21042009336435075,0.5347629119780116,0.11669481133957815,0.16862017101782456,-1,-1,0.2701263873886187,0.42219903196561415,-1,0.2639191940008312,-1,0.060471182646688715,0.14709186292678667,-1,-1,0.35650871169289977,0.2017591741378293,-1,0.3475692685020819,0.344105159423876,-1,0.5347629119780116,-1
arabs,-1,0.0731079039202448,0.1659404620369288,-0.09168651126329452,-0.01191656801395502,-1,-1,0.04869291047215707,0.15192304382333455,-1,0.053617153576004606,-1,-0.24488000662701936,-0.0855803451206456,-1,-1,0.047404922164902996,-0.08372569647642014,-1,0.2033859058688896,0.15300259953595519,-1,0.1659404620369288,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,-1,0.29155749960252053,0.6299440329775726,0.2729608363949556,0.18723335628774151,-1,-1,0.30847520570454,0.3454408505106197,-1,0.10913653643826715,-1,0.27914894897587716,0.1807229683245033,-1,-1,0.1755141401752227,0.10888865254117785,-1,0.17783994622940602,0.36613485761316245,-1,0.6299440329775726,-1
asians,-1,0.0507418392846416,0.18479781724785016,-0.08989666427736864,-0.025210395807434116,-1,-1,0.08627772986365012,0.06394509705558304,-1,-0.06877513445745231,-1,-0.22913779402591627,-0.05454143783745202,-1,-1,0.12197127965283294,-0.04252132626672278,-1,0.045723228949065,0.06535866641607435,-1,0.18479781724785016,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,-1,0.6191168624035742,0.4667075674383714,0.6042166370632848,0.4217573204497653,-1,-1,0.7744640322745611,0.36126430811305044,-1,0.1292962867920141,-1,0.626750694360489,0.5431134650239754,-1,-1,0.4090774274755862,0.34392428492441285,-1,0.2723921621002754,0.5173063200206842,-1,0.4667075674383714,-1
figures,-1,0.6973311078529473,0.4391617003200279,0.6874607973806993,0.5108914146638877,-1,-1,1.0,0.40251224562762844,-1,0.00446998486128336,-1,0.5617959731790115,0.5388234406886327,-1,-1,0.4189746079047545,0.43068468383672587,-1,0.28198077576013314,0.5258449532237083,-1,0.4391617003200279,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
