model,in,a,news,conference,following,the,report,'s,release,the,nccm,'s,legal,counsel,khalid,elgazzar,pointed,to,the,murder,of,six,men,in,a,quebec,city,mosque,this,january,as,``,a,painful,reminder,of,how,hate,can,destroy,lives,and,deeply,shake,communities,'',.
hate,-1,-1,0.2295972880484265,0.2942153352741679,0.21264578545704027,-1,0.3141715434079384,-1,0.2815295985525157,-1,-0.38308106776190964,-1,0.1329024548567337,0.12704271804759681,-0.05852344595976766,-1,0.18441477550823415,-1,-1,0.25601085748547114,-1,0.14639108011292867,0.3032457464827101,-1,-1,-0.0035095256007344755,0.09547567935076007,0.12393505328717436,-1,0.13865404229499,-1,-1,-1,0.3323798355316636,0.22166817837820196,-1,0.26105325764143605,1.0,-1,0.3001509436744474,0.13755472497055576,-1,0.3163683858846449,0.04357220111164528,0.26346137965650507,-1,-1
crimes,-1,-1,0.14057281046610293,0.13525896063506493,0.3070859051204251,-1,0.33942726157837666,-1,0.3569733932531449,-1,-0.447711162522584,-1,0.27654999188884744,0.09237301953063215,-0.022659791025154252,-1,0.20951097766305493,-1,-1,0.44912947454720165,-1,0.3406667830775567,0.4433204990355747,-1,-1,0.013951218507986751,0.16742828605991356,0.05301681883818432,-1,0.27759112901883354,-1,-1,-1,0.3873746373771372,0.15344867921112648,-1,0.3140394155312277,0.7560954175803669,-1,0.2740406905708692,0.2569279244502771,-1,0.32322148181698973,0.021054478490316053,0.29387328074217267,-1,-1
reported,-1,-1,0.6577241238637551,0.48582333540149114,0.5012783207224707,-1,0.6032140030668295,-1,0.5609222196823228,-1,-0.5310013579285311,-1,0.2307964162326781,0.11665485531110031,0.02187075384507131,-1,0.3444986130102332,-1,-1,0.3676338074804806,-1,0.4485112453385576,0.46481709063605403,-1,-1,0.1089155508257853,0.3615271515338301,0.22324641964906855,-1,0.45424441195074383,-1,-1,-1,0.2554733179691264,0.18347597631835022,-1,0.3352361502910217,0.35821153989331034,-1,0.13381064639184193,0.29905559838036844,-1,0.2864071662712715,-0.09513470763435916,0.34770372383114334,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,-1,-1,0.38755140356460305,0.4026217983163497,0.45588711372472357,-1,0.3236390373037208,-1,0.4964762687201838,-1,-0.7034970857519531,-1,0.29887058327461946,0.10654688165262782,0.09331797791498087,-1,0.259211871631599,-1,-1,0.3131977155117638,-1,0.511274927910046,0.4597665514032039,-1,-1,0.4609706940488837,0.5818389740675465,0.3800753954969105,-1,0.5138951448324434,-1,-1,-1,0.18121536547538464,0.1012575084182511,-1,0.3780644263678523,0.20376409210678514,-1,0.30186714699225137,0.31217176266161994,-1,0.1565498460466236,0.2233174572394251,0.480645766288861,-1,-1
rose,-1,-1,0.2176967451531766,0.15833927759507094,0.3240009657163325,-1,0.31073562256327225,-1,0.30470459099578273,-1,-0.45896532478364427,-1,0.0776733829586349,0.015454763078996958,0.15891134221654835,-1,0.258064574298013,-1,-1,0.16233157680661003,-1,0.40328550689822784,0.28817950545042037,-1,-1,0.14076480045284523,0.28891847647603386,0.14074997109394816,-1,0.4832618721255191,-1,-1,-1,0.03507190727529563,0.026346397149759615,-1,0.11375340508594434,0.1121801630770125,-1,0.04769345756667254,0.2331666305033533,-1,0.13539421073978453,0.07236142858634675,0.28093631082063064,-1,-1
slightly,-1,-1,0.19652131719163857,0.03502890510875001,0.2689233714582817,-1,0.2414858734390659,-1,0.3202939738868267,-1,-0.46083120079554085,-1,0.17897405230072772,-0.09271597054546965,-0.0351734059350286,-1,0.20800185524700254,-1,-1,0.14970086558740714,-1,0.4194675577806992,0.3126122813768972,-1,-1,-0.011660658539761837,0.22090688248871537,0.06021211527294601,-1,0.3516942295146819,-1,-1,-1,0.5175041839433856,0.3007815956480455,-1,0.33482162263332116,0.1601612877840093,-1,0.1881940689667514,0.3111635459012341,-1,0.3376385856663544,0.20334940037623128,0.26609889335061343,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,-1,-1,0.3835484003208487,0.48183890481660074,0.6127351382606118,-1,0.507263381346665,-1,0.6744063593797206,-1,-0.6000912620343124,-1,0.27605350953524066,0.11352484446795585,-0.07082306005981964,-1,0.21608556703408766,-1,-1,0.3789944594845912,-1,0.61417690435877,0.48849587146849904,-1,-1,0.15744540923657957,0.44633854204094425,0.24244536859832144,-1,0.9062861481715279,-1,-1,-1,0.2688588260610052,0.047839648935696255,-1,0.3423279297057984,0.22348023336680733,-1,0.1047278893072785,0.27044078314738496,-1,0.1809581011504533,-0.07371909106183105,0.3096209942686483,-1,-1
driven,-1,-1,0.21325198671368906,0.1684713304172335,0.32938405538901905,-1,0.23901891668957953,-1,0.34746944212279174,-1,-0.49151527635800374,-1,0.12815210843708702,-0.009732798795296649,0.17478045224266148,-1,0.3937208787592714,-1,-1,0.22364789538079066,-1,0.3262634813572929,0.3545433970263314,-1,-1,0.0789502668831219,0.29318852717659527,0.24592497128509927,-1,0.27508954621653703,-1,-1,-1,0.3144764727138952,0.19027747313310295,-1,0.3584420468970412,0.15297419463308481,-1,0.2417566688577597,0.3095006192367481,-1,0.3547693551477469,0.26231615759772486,0.3329780394341142,-1,-1
