model,incidents,targeting,catholics,also,increased,jumping,from,35,to,55,individual,incidents,.
hate,0.5223214302022812,0.39531138078582306,0.12151202599462385,-1,0.2063084088474363,0.28959526893431853,-1,0.17007920522696196,-1,0.15615008291272203,0.38113147897986166,0.5223214302022812,-1
crimes,0.6269882582628459,0.44172238523662943,0.21594233810346797,-1,0.2642012925453735,0.24642033055848322,-1,0.31668334796714026,-1,0.30456947841412374,0.4618293094444029,0.6269882582628459,-1
reported,0.5865721598021241,0.39585019749663575,0.04577548325212788,-1,0.48739535282271707,0.2436543912544371,-1,0.520882705715631,-1,0.4402399203260994,0.3131331322585815,0.5865721598021241,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,0.31072644875359956,0.422537473814818,0.13606568553408172,-1,0.33228111977236985,0.3111202491737318,-1,0.43219610158092814,-1,0.36038844022423344,0.34950190493041,0.31072644875359956,-1
rose,0.19320497554645222,0.16781940221823732,0.15223180555855576,-1,0.5940665983590262,0.30615170899391386,-1,0.5806053935585669,-1,0.5293878867225205,0.13457492825491402,0.19320497554645222,-1
slightly,0.3649074020101317,0.2937051099574236,0.171243739176816,-1,0.5798274954012834,0.3823857939420423,-1,0.5138518044377326,-1,0.39806159269670727,0.25580429852197173,0.3649074020101317,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,0.43153896215406506,0.3331400408186196,0.12871768380067772,-1,0.5403146977512452,0.2063564514887558,-1,0.6867207402052926,-1,0.6247403914567251,0.3922277125495426,0.43153896215406506,-1
driven,0.25999896863893257,0.45363431485165717,0.06586753716506888,-1,0.4801882639997248,0.5321659608080502,-1,0.3167514584999329,-1,0.2671094328343312,0.19655941172657487,0.25999896863893257,-1
mainly,0.45818652543158545,0.6807489136654479,0.3025569436069864,-1,0.4886458657521411,0.4489306232125818,-1,0.5375901069445171,-1,0.4527573125236587,0.4469023463163878,0.45818652543158545,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,1.0,0.4560467693869805,0.17205730234292893,-1,0.43092894081947253,0.24362119889539224,-1,0.4316843003512407,-1,0.39794800784620743,0.44563639585530757,1.0,-1
targeting,0.4560467693869805,1.0,0.32139190193989553,-1,0.302840526257534,0.33182938593162903,-1,0.33908984510420215,-1,0.27782781852831495,0.4316820561832444,0.4560467693869805,-1
muslims,0.3152569675069816,0.6701442175020175,0.600608506054195,-1,0.28119258412459325,0.39164205181846223,-1,0.3588892370783969,-1,0.35161031740087323,0.41982073809064335,0.3152569675069816,-1
arabs,0.1353366644765699,0.31785130830149333,0.48868244307583564,-1,0.08482750417497043,0.09804818858606024,-1,0.14849372852919485,-1,0.11262730201879145,0.12089433237429903,0.1353366644765699,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,0.31676214458804663,0.30219799121323476,0.11517413080096328,-1,0.34206216682927093,0.13792473141433081,-1,0.47100585153712093,-1,0.38246393152575475,0.25871456850205055,0.31676214458804663,-1
asians,0.027938637770365093,0.206398720785824,0.3836840215594417,-1,0.010679181845752783,0.02484573981507665,-1,-0.0179184764393725,-1,-0.10445076839184364,0.02525165202708224,0.027938637770365093,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,0.3301829055404477,0.277167275090926,-0.07941793262089836,-1,0.3757187082844968,0.11873930308633851,-1,0.3433046168622417,-1,0.27614295699687186,0.4659793633039778,0.3301829055404477,-1
figures,0.5096621017354818,0.33757388663884536,0.060035324322752937,-1,0.5462735944048374,0.21688356482035975,-1,0.47188859189170995,-1,0.4014653987653849,0.480264302102573,0.5096621017354818,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
