model,just,over,a,third,of,reported,hate,crimes,were,motivated,by,hatred,of,a,religion,.
hate,0.25922723989482266,-1,-1,0.05285416332045256,-1,0.35821153989331034,1.0,0.7560954175803669,-1,0.44916816271412974,-1,0.40830823672293626,-1,-1,0.33066818231171435,-1
crimes,0.23241626069093158,-1,-1,0.19499866822459255,-1,0.41605111865795064,0.7560954175803669,1.0,-1,0.43327080177716115,-1,0.3765370228372704,-1,-1,0.20053301843512272,-1
reported,0.428380901725289,-1,-1,0.3391974102660158,-1,1.0,0.35821153989331034,0.41605111865795064,-1,0.18426362164055776,-1,0.07858033347921556,-1,-1,0.13677451020454556,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,0.45110742946771265,-1,-1,0.5710304938091766,-1,0.39683903406717036,0.20376409210678514,0.33567904593027476,-1,0.09361447325089212,-1,0.09139522611509787,-1,-1,0.27133023357947805,-1
rose,0.4095273282226617,-1,-1,0.4258824514595825,-1,0.4991216915488994,0.1121801630770125,0.15295705736108367,-1,0.07705565068691389,-1,0.16258351824741224,-1,-1,-0.03402920520268293,-1
slightly,0.614119184106036,-1,-1,0.3909654980787427,-1,0.406812299579667,0.1601612877840093,0.18817458975256884,-1,0.36267365288698405,-1,0.20218503942913135,-1,-1,0.02991393764390826,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,0.5407374659584702,-1,-1,0.5856635341756388,-1,0.5498202837447207,0.22348023336680733,0.34744776544902733,-1,0.09563766182246691,-1,0.03369957990335182,-1,-1,0.14854036878878607,-1
driven,0.4755558278164068,-1,-1,0.33454467803443233,-1,0.36477558301243884,0.15297419463308481,0.15217109122499728,-1,0.39826770952478685,-1,0.2894235644564891,-1,-1,0.17030024793249132,-1
mainly,0.4853381744405657,-1,-1,0.4094371293935817,-1,0.5280708550944953,0.30409472656386605,0.3986988493587782,-1,0.2813363240470276,-1,0.20851983318872647,-1,-1,0.31493030367686026,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,0.36097849253558145,-1,-1,0.23732545374623193,-1,0.5865721598021241,0.5223214302022812,0.6269882582628459,-1,0.24728160347929262,-1,0.2605884899799157,-1,-1,0.22623695059704274,-1
targeting,0.3305805222749999,-1,-1,0.327196393593443,-1,0.39585019749663575,0.39531138078582306,0.44172238523662943,-1,0.47607518412493777,-1,0.33234941288287934,-1,-1,0.3267489655585887,-1
muslims,0.3174292960650944,-1,-1,0.21997759786601312,-1,0.2680904131073675,0.3475692685020819,0.4094441104864426,-1,0.3438406745692868,-1,0.4144864128104009,-1,-1,0.3536719060355531,-1
arabs,0.04516094381422964,-1,-1,-0.04444302711929504,-1,0.04370616409256267,0.2033859058688896,0.1977273656806503,-1,0.2036119219258563,-1,0.2544433835543487,-1,-1,0.2144105885981581,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,0.42268440712539457,-1,-1,0.44823262569749756,-1,0.3756856544265186,0.17783994622940602,0.21958564634478706,-1,0.013306545001558368,-1,0.06139637851265867,-1,-1,0.13801302195796006,-1
asians,-0.07718103341166627,-1,-1,-0.0724588850065,-1,0.04588809312358566,0.045723228949065,0.07658020328113335,-1,0.11822278038973466,-1,0.08778991721471474,-1,-1,0.029896512121560415,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,0.3654736131715828,-1,-1,0.47667144586371135,-1,0.6731942041726675,0.2723921621002754,0.279001598240723,-1,0.018743665578682456,-1,-0.03674570669278454,-1,-1,0.27418868275996644,-1
figures,0.41201321452270145,-1,-1,0.42254131426746433,-1,0.7225229008364709,0.28198077576013314,0.38247465164703454,-1,0.08080241277619316,-1,-0.023099360333854735,-1,-1,0.09787987021913325,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
