model,nearly,half,of,all,incidents,were,linked,to,race,or,ethnicity,with,black,canadians,the,most,common,target,.
hate,0.17487170601310587,0.1536435909139957,-1,0.3222644746945289,0.5223214302022812,-1,0.37740156840933803,-1,0.328404256531045,-1,0.21052078729009005,-1,0.31828684157437825,0.17050992025554246,-1,-1,0.36603279296389757,0.17919263107104155,-1
crimes,0.2523576826670255,0.2156132709428158,-1,0.36271287300655364,0.6269882582628459,-1,0.5355986163882678,-1,0.24929237875630972,-1,0.08408059685499092,-1,0.2949770373003734,0.26448480835309274,-1,-1,0.45083039982768125,0.2703767179394416,-1
reported,0.5703509029590892,0.3682286964901873,-1,0.33620833351208523,0.5865721598021241,-1,0.6175978581031067,-1,0.2410813711368286,-1,-0.02020337112190429,-1,0.41559733266828314,0.10037921008115824,-1,-1,0.3263071293072304,0.4045702809627406,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,0.33505354326681347,0.4282658655326642,-1,0.4164892829573348,0.31072644875359956,-1,0.4745490070570615,-1,0.4714937157263228,-1,0.0805690846253394,-1,0.40905382346856933,0.20982255729623944,-1,-1,0.3459938561780107,0.3381130307181509,-1
rose,0.5836770048051356,0.44791698564276017,-1,0.23820963720413246,0.19320497554645222,-1,0.28276047805700966,-1,0.20931842769173403,-1,-0.029845314157089797,-1,0.3172246971675037,0.07448863295828423,-1,-1,0.08891406550640713,0.4816957028983557,-1
slightly,0.6124354749548285,0.5123808833668587,-1,0.3734169611236158,0.3649074020101317,-1,0.43097395948025685,-1,0.2699295695030184,-1,0.03257090600152679,-1,0.22252538341840722,0.27784584817329616,-1,-1,0.40791929735828103,0.5380067837635912,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,0.5240153890123507,0.49256835560767565,-1,0.4054624863054648,0.43153896215406506,-1,0.4777303883991433,-1,0.4861069351116515,-1,-0.0010895918796995918,-1,0.2931629971803309,-0.010315164422764367,-1,-1,0.2686230835363692,0.5200784784921786,-1
driven,0.35682958258770126,0.26560669117176494,-1,0.27490155832000807,0.25999896863893257,-1,0.5504146867522769,-1,0.30237298760719766,-1,0.09470416824887251,-1,0.37034591879276024,0.09757249466848184,-1,-1,0.3354305556879451,0.40422147472942005,-1
mainly,0.5027060900386057,0.38251058615433475,-1,0.4733807530199228,0.45818652543158545,-1,0.6673961571539793,-1,0.3675043012327204,-1,0.16957618132799324,-1,0.5667102114072935,0.406042793638149,-1,-1,0.522656205491676,0.4404535486406216,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,0.40392748515663346,0.23565229692961953,-1,0.417680032710428,1.0,-1,0.6235247658445753,-1,0.28836846784987413,-1,0.05182136559859285,-1,0.2606238175556346,0.262512439736061,-1,-1,0.46047840036615284,0.30336683474104476,-1
targeting,0.3131490979097846,0.20049778440674937,-1,0.3899285643714391,0.4560467693869805,-1,0.6744962948143223,-1,0.33840189132503085,-1,0.19145334799716707,-1,0.3763697342561464,0.3785360543626546,-1,-1,0.5140370439272512,0.4777128574538011,-1
muslims,0.31338269712304023,0.1911232695600642,-1,0.45957625094862353,0.3152569675069816,-1,0.5337924007622457,-1,0.2039125476360869,-1,0.2405409056510308,-1,0.42889720696237044,0.6141448802089674,-1,-1,0.43147937297275485,0.279581028244142,-1
arabs,0.07882870941234255,0.03235576853671607,-1,0.06738143501358917,0.1353366644765699,-1,0.14523259463201632,-1,-0.020827561879553258,-1,0.2524162353744628,-1,0.19214875539712728,0.36330021356455533,-1,-1,0.034392153811109605,0.07103183776652688,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,0.3597679239660767,0.4869438556236264,-1,0.36050920094102745,0.31676214458804663,-1,0.38290970904065924,-1,0.34305867895021835,-1,-0.06587697521219771,-1,0.4572733209295742,0.09966389391816233,-1,-1,0.24957523761292588,0.2561261234369778,-1
asians,0.010174926838360299,0.016991632567409876,-1,0.005650242479627421,0.027938637770365093,-1,0.0338498691718877,-1,-0.1621101742288058,-1,0.03522239387999271,-1,0.22227910157726338,0.3883459829330216,-1,-1,0.09868640636455928,-0.022484463267799848,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,0.3274315943538315,0.3020835110834801,-1,0.36163451390227996,0.3301829055404477,-1,0.4081690352248146,-1,0.3309998698597849,-1,0.07743022019931178,-1,0.3306408722832124,-0.01688497648629772,-1,-1,0.32984901865422556,0.4229416786910519,-1
figures,0.45470802333283955,0.39483960145567565,-1,0.4073127028111029,0.5096621017354818,-1,0.48861760373497454,-1,0.2731312765542846,-1,-0.05259482977787666,-1,0.3119870449141766,0.1554524299483918,-1,-1,0.4500647596578451,0.5000176089874646,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
