model,muslims,reported,being,more,frequently,targeted,in,2015,with,159,incidents,reported,compared,with,99,in,2014,accounting,for,12,%,of,all,incidents,.
hate,0.3475692685020819,0.35821153989331034,-1,-1,0.30799166242267195,0.357556363441052,-1,0.22348023336680733,-1,-0.006624056558477864,0.5223214302022812,0.35821153989331034,0.19583248268822773,-1,0.18825208941047944,-1,0.20530592564175765,0.18160292573663994,-1,0.17182117963040244,-1,-1,0.3222644746945289,0.5223214302022812,-1
crimes,0.4094441104864426,0.41605111865795064,-1,-1,0.2992298863240874,0.3724386085277406,-1,0.34744776544902733,-1,0.04124783177884883,0.6269882582628459,0.41605111865795064,0.3373911855518582,-1,0.26356222478160496,-1,0.3798376820902365,0.3607462309711802,-1,0.34209598038385425,-1,-1,0.36271287300655364,0.6269882582628459,-1
reported,0.2680904131073675,1.0,-1,-1,0.35033322520910626,0.4326368340415516,-1,0.5498202837447207,-1,-0.015613236550540144,0.5865721598021241,1.0,0.5321686076259546,-1,0.2947340446896779,-1,0.5222526932855158,0.2874447660148438,-1,0.5199522184795099,-1,-1,0.33620833351208523,0.5865721598021241,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,0.5347629119780116,0.39683903406717036,-1,-1,0.3019141525025304,0.36910649031168963,-1,0.5654191213174102,-1,-0.02659273392845818,0.31072644875359956,0.39683903406717036,0.3705489434488132,-1,0.20453464311441039,-1,0.5899938664509591,0.12919053852888918,-1,0.4701750147328072,-1,-1,0.4164892829573348,0.31072644875359956,-1
rose,0.2886398164374724,0.4991216915488994,-1,-1,0.19438682528853102,0.1870213366465976,-1,0.5662838283329958,-1,-0.010634507698137119,0.19320497554645222,0.4991216915488994,0.6315674309768803,-1,0.5028113320496183,-1,0.5345261428035053,0.19712375544795102,-1,0.520628515803631,-1,-1,0.23820963720413246,0.19320497554645222,-1
slightly,0.26954532996109326,0.406812299579667,-1,-1,0.46583301193042925,0.3103550308230444,-1,0.4075030771650783,-1,-0.00463653085349347,0.3649074020101317,0.406812299579667,0.6219625089458282,-1,0.4115078166895296,-1,0.3418432679750023,0.23170336002522451,-1,0.4783798920552722,-1,-1,0.3734169611236158,0.3649074020101317,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,0.23611045791761986,0.5498202837447207,-1,-1,0.20402605626187031,0.34191832199585415,-1,1.0,-1,0.01644357685927611,0.43153896215406506,0.5498202837447207,0.7325419496916441,-1,0.43093929011817156,-1,0.9468466126112712,0.2557581071286483,-1,0.7983492268994498,-1,-1,0.4054624863054648,0.43153896215406506,-1
driven,0.3505775521713843,0.36477558301243884,-1,-1,0.5110814354408528,0.5674940051790738,-1,0.33185462436379687,-1,-0.005874551741265277,0.25999896863893257,0.36477558301243884,0.34682572161540337,-1,0.290336581002145,-1,0.3489094162508397,0.119141339276851,-1,0.3191532182801331,-1,-1,0.27490155832000807,0.25999896863893257,-1
mainly,0.7049344731226258,0.5280708550944953,-1,-1,0.49246398755735576,0.6278954136278814,-1,0.44173963146780415,-1,0.04646880426938593,0.45818652543158545,0.5280708550944953,0.45537794577120205,-1,0.2445382835927089,-1,0.4510539784020682,0.24144567424608931,-1,0.4974485704894074,-1,-1,0.4733807530199228,0.45818652543158545,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,0.3152569675069816,0.5865721598021241,-1,-1,0.33036809081461826,0.4580929673546228,-1,0.43153896215406506,-1,0.02748267154125461,1.0,0.5865721598021241,0.5071347976754715,-1,0.2709007516792934,-1,0.4276698977940867,0.37541340000501355,-1,0.5132928017943846,-1,-1,0.417680032710428,1.0,-1
targeting,0.6701442175020175,0.39585019749663575,-1,-1,0.5136505782229777,0.814082059812207,-1,0.3331400408186196,-1,0.09112569721714392,0.4560467693869805,0.39585019749663575,0.26012261238788814,-1,0.33021191441107633,-1,0.34281987914968515,0.23307636166028844,-1,0.3463133375541766,-1,-1,0.3899285643714391,0.4560467693869805,-1
muslims,1.0,0.2680904131073675,-1,-1,0.44707558769629263,0.5446913780161897,-1,0.23611045791761986,-1,0.011025412731839657,0.3152569675069816,0.2680904131073675,0.2412814385585853,-1,0.4144735589491657,-1,0.26881106724058834,0.1747275286045753,-1,0.2984462210352261,-1,-1,0.45957625094862353,0.3152569675069816,-1
arabs,0.5516759801301715,0.04370616409256267,-1,-1,0.1283827190863438,0.26551014027648834,-1,0.11660631042206504,-1,0.01674759920425173,0.1353366644765699,0.04370616409256267,0.1273157762381778,-1,0.17069010022460107,-1,0.09757171469503789,0.11203413916023264,-1,0.12685414723277844,-1,-1,0.06738143501358917,0.1353366644765699,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,0.37741017431351254,0.3756856544265186,-1,-1,0.1808875310705299,0.3000266831780074,-1,0.47709805600743305,-1,-0.05258926649428508,0.31676214458804663,0.3756856544265186,0.28688273187785596,-1,0.13525886457374736,-1,0.47589815405575453,-0.02572969785667789,-1,0.4996366059233558,-1,-1,0.36050920094102745,0.31676214458804663,-1
asians,0.4090157671107242,0.04588809312358566,-1,-1,0.16023741325987706,0.12101996772812051,-1,-0.07946598643592151,-1,-0.004213082723344419,0.027938637770365093,0.04588809312358566,0.007881060421386032,-1,-0.09746322516353523,-1,-0.05236531400402744,-0.041973991590825044,-1,-0.07758137663812903,-1,-1,0.005650242479627421,0.027938637770365093,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,0.17476269723274107,0.6731942041726675,-1,-1,0.16537559483133035,0.2823889931527226,-1,0.5345636241393918,-1,-0.06036026754486379,0.3301829055404477,0.6731942041726675,0.35054816152222323,-1,0.16170921601923927,-1,0.4621761593871948,0.31882464642159625,-1,0.41853217082607497,-1,-1,0.36163451390227996,0.3301829055404477,-1
figures,0.2701263873886187,0.7225229008364709,-1,-1,0.27472803857472883,0.31819636945486696,-1,0.6056078176948395,-1,-0.008753255858215958,0.5096621017354818,0.7225229008364709,0.5884216530505165,-1,0.2996291523431356,-1,0.5311815783303504,0.35291002955958484,-1,0.5126504746185011,-1,-1,0.4073127028111029,0.5096621017354818,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
