model,canada,'s,jewish,population,remained,the,most,targeted,religious,group,accounting,for,13,%,of,all,incidents,despite,a,decline,in,the,overall,number,of,reported,crimes,.
hate,0.20376409210678514,-1,0.2830436433442345,0.13976287216250327,0.149580922926694,-1,-1,0.357556363441052,0.3664796421964811,-1,0.18160292573663994,-1,0.20197599161208968,-1,-1,0.3222644746945289,0.5223214302022812,0.1930644726643017,-1,0.29698012417854835,-1,-1,0.17721391263702657,0.14505870414990474,-1,0.35821153989331034,0.7560954175803669,-1
crimes,0.33567904593027476,-1,0.29590038341934255,0.21719282940534335,0.2634794793614412,-1,-1,0.3724386085277406,0.35534274005316135,-1,0.3607462309711802,-1,0.3671627728917993,-1,-1,0.36271287300655364,0.6269882582628459,0.2662561516649198,-1,0.34624334485706354,-1,-1,0.19006618118893392,0.35382838587390175,-1,0.41605111865795064,1.0,-1
reported,0.39683903406717036,-1,0.2720187542403705,0.47071947663077585,0.3903893892815261,-1,-1,0.4326368340415516,0.2572685023706125,-1,0.2874447660148438,-1,0.5061250723249121,-1,-1,0.33620833351208523,0.5865721598021241,0.4677547647568956,-1,0.5193556726747084,-1,-1,0.31292223487187854,0.48489448866783813,-1,1.0,0.41605111865795064,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,1.0,-1,0.32629689453211763,0.3856556990334714,0.28499343640107455,-1,-1,0.36910649031168963,0.2932775264211087,-1,0.12919053852888918,-1,0.4399140009673944,-1,-1,0.4164892829573348,0.31072644875359956,0.430535051043468,-1,0.39294849988335023,-1,-1,0.26855283947806785,0.38546820426551,-1,0.39683903406717036,0.33567904593027476,-1
rose,0.4013915005590756,-1,0.17864868276513668,0.5516291209195497,0.35609590003599545,-1,-1,0.1870213366465976,0.15505960264838325,-1,0.19712375544795102,-1,0.5080184065049875,-1,-1,0.23820963720413246,0.19320497554645222,0.3398685261267551,-1,0.5784922624860951,-1,-1,0.42738203656825824,0.40870719058742977,-1,0.4991216915488994,0.15295705736108367,-1
slightly,0.27794540171526394,-1,0.06381496831968603,0.5091944607026034,0.518748774630729,-1,-1,0.3103550308230444,0.12594990906786807,-1,0.23170336002522451,-1,0.41304050821561855,-1,-1,0.3734169611236158,0.3649074020101317,0.42767188852105487,-1,0.676965067505639,-1,-1,0.4892858849731485,0.392169666814578,-1,0.406812299579667,0.18817458975256884,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,0.5654191213174102,-1,0.13915689666642073,0.47570250895997956,0.33962920839042776,-1,-1,0.34191832199585415,0.19887517690707956,-1,0.2557581071286483,-1,0.8002760878815545,-1,-1,0.4054624863054648,0.43153896215406506,0.49706553374549567,-1,0.5396367244077307,-1,-1,0.4736382535984378,0.4714871533667966,-1,0.5498202837447207,0.34744776544902733,-1
driven,0.3327540469350845,-1,0.2350448905076199,0.369906152217931,0.3336488560593638,-1,-1,0.5674940051790738,0.2252820352518401,-1,0.119141339276851,-1,0.3011376202052658,-1,-1,0.27490155832000807,0.25999896863893257,0.36601993291300694,-1,0.528135714126826,-1,-1,0.32822612604841783,0.33772353242266595,-1,0.36477558301243884,0.15217109122499728,-1
mainly,0.6036614919710576,-1,0.5365999013830272,0.5741879583201521,0.39659493556064673,-1,-1,0.6278954136278814,0.38454569068479283,-1,0.24144567424608931,-1,0.5074194634721418,-1,-1,0.4733807530199228,0.45818652543158545,0.40417514301290236,-1,0.49480675447247235,-1,-1,0.34308104281707164,0.5233861886273169,-1,0.5280708550944953,0.3986988493587782,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
