model,``,an,attack,on,one,of,us,is,an,attack,on,all,of,us,'',he,said,.
hate,-1,-1,0.38797168837857554,-1,0.23555410709978053,-1,0.32118954602246264,-1,-1,0.38797168837857554,-1,0.3222644746945289,-1,0.32118954602246264,-1,-1,-1,-1
crimes,-1,-1,0.33396018725147925,-1,0.32042208345089107,-1,0.2741855458289122,-1,-1,0.33396018725147925,-1,0.36271287300655364,-1,0.2741855458289122,-1,-1,-1,-1
reported,-1,-1,0.43195391377258263,-1,0.45581428421221115,-1,0.5135432412399291,-1,-1,0.43195391377258263,-1,0.33620833351208523,-1,0.5135432412399291,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
canada,-1,-1,0.3493125081847348,-1,0.4531538492911247,-1,0.6208265270257517,-1,-1,0.3493125081847348,-1,0.4164892829573348,-1,0.6208265270257517,-1,-1,-1,-1
rose,-1,-1,0.1487163071330505,-1,0.31903844917729907,-1,0.34564822989638533,-1,-1,0.1487163071330505,-1,0.23820963720413246,-1,0.34564822989638533,-1,-1,-1,-1
slightly,-1,-1,0.18038985432776988,-1,0.38421400447020804,-1,0.3515503601090204,-1,-1,0.18038985432776988,-1,0.3734169611236158,-1,0.3515503601090204,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,-1,-1,0.39200489305343944,-1,0.44330724714356806,-1,0.4574881159440878,-1,-1,0.39200489305343944,-1,0.4054624863054648,-1,0.4574881159440878,-1,-1,-1,-1
driven,-1,-1,0.37488423867325493,-1,0.3799924727514703,-1,0.34324731732783564,-1,-1,0.37488423867325493,-1,0.27490155832000807,-1,0.34324731732783564,-1,-1,-1,-1
mainly,-1,-1,0.430114147725867,-1,0.49772602689902135,-1,0.4439063600939521,-1,-1,0.430114147725867,-1,0.4733807530199228,-1,0.4439063600939521,-1,-1,-1,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incidents,-1,-1,0.4678593398200692,-1,0.4004304288072227,-1,0.28946560048235837,-1,-1,0.4678593398200692,-1,0.417680032710428,-1,0.28946560048235837,-1,-1,-1,-1
targeting,-1,-1,0.5772320624138597,-1,0.35770029262389214,-1,0.5247362456610937,-1,-1,0.5772320624138597,-1,0.3899285643714391,-1,0.5247362456610937,-1,-1,-1,-1
muslims,-1,-1,0.2822683961691759,-1,0.33394975093674995,-1,0.4365095757949846,-1,-1,0.2822683961691759,-1,0.45957625094862353,-1,0.4365095757949846,-1,-1,-1,-1
arabs,-1,-1,0.21234826009031993,-1,0.005464475726113527,-1,0.1658824110890631,-1,-1,0.21234826009031993,-1,0.06738143501358917,-1,0.1658824110890631,-1,-1,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
west,-1,-1,0.3475947738354551,-1,0.4688075439197539,-1,0.36799689845367123,-1,-1,0.3475947738354551,-1,0.36050920094102745,-1,0.36799689845367123,-1,-1,-1,-1
asians,-1,-1,-0.037713345636972484,-1,0.004755749453669078,-1,0.044872816088238676,-1,-1,-0.037713345636972484,-1,0.005650242479627421,-1,0.044872816088238676,-1,-1,-1,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
official,-1,-1,0.37447019420705385,-1,0.5088348526789367,-1,0.5868635024625402,-1,-1,0.37447019420705385,-1,0.36163451390227996,-1,0.5868635024625402,-1,-1,-1,-1
figures,-1,-1,0.31661397165133764,-1,0.43714288751223174,-1,0.50301558301651,-1,-1,0.31661397165133764,-1,0.4073127028111029,-1,0.50301558301651,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
