model,nominating,officer,michelle,o'neill,said,the,dup,'s,actions,had,``,diminished,the,credibility,'',of,the,political,institutions,and,said,it,was,now,``,over,to,the,people,to,have,their,say,'',.
stormont,-0.015340557758022566,0.46254701665986186,0.2672490347704415,-1,-1,-1,0.6160330256782969,-1,0.2944252884525953,-1,-1,0.030884739780630888,-1,0.2888476201099507,-1,-1,-1,0.43017396752533643,0.5631736921276836,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.24460728623258077,-1,-1,-1,-1,-1,-1
faces,-0.07557803573946487,0.25073904231175326,0.04654762990884598,-1,-1,-1,0.21556492973527108,-1,0.2876785251286622,-1,-1,0.11230729443567022,-1,0.22931461509511952,-1,-1,-1,0.3475119969142637,0.32876041231827924,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2880092231613842,-1,-1,-1,-1,-1,-1
collapse,-0.054732237768678305,0.25167038376647644,0.022387150492506502,-1,-1,-1,0.23975184847324327,-1,0.3793821959095077,-1,-1,0.14825011256468779,-1,0.4676828456669907,-1,-1,-1,0.29547178507678384,0.43264250933251536,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.20046772540843127,-1,-1,-1,-1,-1,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sinn,-0.2682274376403879,0.3573551193989304,0.47562226300441757,-1,-1,-1,0.8588521272237561,-1,0.18670562051620976,-1,-1,0.17093562658500316,-1,0.15126443782812193,-1,-1,-1,0.21684460241904713,0.28145837742399127,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10697667158930435,-1,-1,-1,-1,-1,-1
féin,-0.22551595221541243,0.44912137620951864,0.5211671565756817,-1,-1,-1,0.9095286483299958,-1,0.25204906812241523,-1,-1,0.15085868259077606,-1,0.2132208362084982,-1,-1,-1,0.2638970509038584,0.31511514462694024,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13755000979827037,-1,-1,-1,-1,-1,-1
refuses,0.1313587899664752,0.026131633024040535,0.15298437324399194,-1,-1,-1,0.21277859136647448,-1,0.20620652967692454,-1,-1,0.23948969784114282,-1,0.29826155756588313,-1,-1,-1,0.08262185562062341,0.052304746674048386,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13453749474465848,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nominate,0.3820033155335264,0.06097353129124161,0.14389640950533544,-1,-1,-1,0.16453184176962332,-1,0.1481606444566521,-1,-1,0.08863479824008491,-1,0.10963081887853876,-1,-1,-1,0.07905403007694056,0.08415475329594968,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1822868643070712,-1,-1,-1,-1,-1,-1
deputy,-0.1617862604350273,0.606040768235064,0.4521387834132772,-1,-1,-1,0.7723936682514886,-1,0.26930566757809804,-1,-1,0.07261128511400317,-1,0.13853826021718452,-1,-1,-1,0.3466930625372051,0.32786251893063234,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1551679187617211,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
minister,-0.08055824856391203,0.4639552731824952,0.4793882946311584,-1,-1,-1,0.5896002362950717,-1,0.29041527610322704,-1,-1,0.028266136596136415,-1,0.13405500039750895,-1,-1,-1,0.2897008365837941,0.37953595567851584,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.27229306940970244,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
