model,director,of,children,'s,services,rachael,wardell,said,:,``,it,works,better,if,you,get,in,there,sooner,when,people,are,waiting,for,help,their,condition,gets,worse,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
council,0.3477673736569602,-1,0.28861758915052205,-1,0.4455707139092959,-0.05894383873510001,-0.20422175959020739,-1,-1,-1,-1,0.32988004854825026,0.31649960531968824,-1,-1,0.24466132246257333,-1,-1,0.09855148623610033,-1,0.2562250746911965,-1,0.25035926749710513,-1,-1,-1,0.24115331063278578,0.18798106540614912,0.14504802619689194,-1
plans,0.3300298114966558,-1,0.32071252061326794,-1,0.4218131260399479,-0.11778887633764823,-0.37450106489110535,-1,-1,-1,-1,0.45930745200395573,0.44391548801456193,-1,-1,0.33096208378703507,-1,-1,0.17382765960587843,-1,0.34388932599621147,-1,0.2585186607992249,-1,-1,-1,0.18677340441438506,0.2888372750114887,0.23230783301233493,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
employ,0.009997108680968259,-1,0.44984537576972483,-1,0.3117889253320545,-0.1799481776212266,-0.1977489634083276,-1,-1,-1,-1,0.3279168008283804,0.36331903161557877,-1,-1,0.3223419503969591,-1,-1,0.28288187398768216,-1,0.6115539935905064,-1,0.2799005192198668,-1,-1,-1,0.09368782227542016,0.22838693193340542,0.13481931346295517,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
own,0.32878612295114684,-1,0.5129200291992996,-1,0.43280207603433896,-0.13654004646706897,-0.3541917984309644,-1,-1,-1,-1,0.42879133765410593,0.5553300992051847,-1,-1,0.5029304515776257,-1,-1,0.16492470307963092,-1,0.43915217674787077,-1,0.27955126892204196,-1,-1,-1,0.37514287116354794,0.39248000468029076,0.2989093309385832,-1
staff,0.39428831905402384,-1,0.481264393778827,-1,0.5930214310420394,-0.19296078151435436,-0.21156697176292183,-1,-1,-1,-1,0.4258862524020607,0.533713566863467,-1,-1,0.3710942005650488,-1,-1,0.16558299781945696,-1,0.45014948972180724,-1,0.42078148181020936,-1,-1,-1,0.3603180191755899,0.2753015061770431,0.29249377319739733,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
help,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
young,0.37078342680847953,-1,0.7828817045912612,-1,0.392558161383026,-0.024927746749546786,-0.16668356327871514,-1,-1,-1,-1,0.43691584386180526,0.5940203067553628,-1,-1,0.5070135308357283,-1,-1,0.027983393343929297,-1,0.6672925538515837,-1,0.42975587679045546,-1,-1,-1,0.3712884803541716,0.39391669589281464,0.27037581081956696,-1
people,0.12294663664906358,-1,0.6805274894969949,-1,0.40862871626048825,-0.23007331590184465,-0.3640051020536208,-1,-1,-1,-1,0.3845344236789284,0.5647771105367773,-1,-1,0.5369023323443864,-1,-1,0.28626813615461955,-1,1.0,-1,0.5099741359268393,-1,-1,-1,0.31227302696058135,0.3963024092083959,0.3850006210547088,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mental,0.29931397249402836,-1,0.5822584997460375,-1,0.5946097763338976,-0.0013025129688477577,-0.11132629253319481,-1,-1,-1,-1,0.35166331155208086,0.4585666126134177,-1,-1,0.33318520577812083,-1,-1,0.13868081468136317,-1,0.47839634286350075,-1,0.37923868828922946,-1,-1,-1,0.6287766974658544,0.2649817549533243,0.2993921405509171,-1
health,0.4841640557397793,-1,0.5378151561431641,-1,0.6411774055801808,0.017160683392641096,-0.06253131058799832,-1,-1,-1,-1,0.38513906413156374,0.45995966264377053,-1,-1,0.31778510088310874,-1,-1,0.13368261579811036,-1,0.4289706346603417,-1,0.34531544318085317,-1,-1,-1,0.4750208832372822,0.19598381521123154,0.2858428641844697,-1
problems,0.25127949797837235,-1,0.4303232632830325,-1,0.47680448223393146,-0.10903488278495543,-0.21911794705726217,-1,-1,-1,-1,0.3832044054950141,0.5063149342493131,-1,-1,0.42388412910158024,-1,-1,0.2191332701966141,-1,0.42150352279489056,-1,0.40584746051627274,-1,-1,-1,0.5378562568674489,0.28429786231588194,0.49457490670095305,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
