model,the,council,also,hopes,the,new,academy,will,stop,problems,escalating,to,the,stage,where,they,require,attention,from,more,highly,trained,mental,health,specialists,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
council,-1,1.0,-1,0.35039079022748587,-1,-1,0.350075709816724,-1,0.24235745087579552,0.21406557305357365,-0.02040381984722317,-1,-1,0.2298917621490233,-1,-1,0.34845435693091154,0.24415255614784026,-1,-1,0.18092965252567406,0.2281862793122189,0.24880837221340735,0.41751129156178746,0.2537241921642768,-1
plans,-1,0.5483487898117739,-1,0.4630852579316438,-1,-1,0.2998118919215519,-1,0.44922464853597877,0.339103962535271,0.004309459294393414,-1,-1,0.3946372220004264,-1,-1,0.4239643500730863,0.2683138082864359,-1,-1,0.22313950427626417,0.164112922722365,0.21600316666392794,0.3512271064697303,0.1939346307635198,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
employ,-1,0.14064787157879366,-1,0.19988469542761444,-1,-1,0.16779310261952096,-1,0.41507590110066206,0.16622848449370964,-0.036373830369879956,-1,-1,0.11209475535064184,-1,-1,0.49739538364367664,0.2855066002104639,-1,-1,0.23529292023845627,0.4744793189710792,0.21506047644789872,0.16620323917151558,0.41148188015824205,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
own,-1,0.34748958374261774,-1,0.3675456431769243,-1,-1,0.3186012158407162,-1,0.46282597699274186,0.44263522503323205,-0.010908408497789734,-1,-1,0.40509764042339436,-1,-1,0.3105057860671928,0.38631361832680355,-1,-1,0.20869737645388997,0.20941815557382226,0.4237558558225685,0.4088951785409003,0.171622849136426,-1
staff,-1,0.4105894861841257,-1,0.2743538667542952,-1,-1,0.4453039295697947,-1,0.36979894891308396,0.4414550102267685,0.03328886432813505,-1,-1,0.26780583913301803,-1,-1,0.4578897413754499,0.3648789512449251,-1,-1,0.30980364763630774,0.5905476168520435,0.4573837636592596,0.4921265011806476,0.4956919890465461,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
help,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
young,-1,0.17507461722314355,-1,0.31915572258887903,-1,-1,0.3662841783967894,-1,0.4183475632621294,0.36277548337150956,-0.033014993235512824,-1,-1,0.3784806344959908,-1,-1,0.2962766345765411,0.2672787353157213,-1,-1,0.4011574246338666,0.4442347341945714,0.46176105480602003,0.420468902943243,0.3701556232200489,-1
people,-1,0.2562250746911965,-1,0.2137879865974911,-1,-1,0.18500479810876902,-1,0.6139572785687993,0.42150352279489056,0.14317606470873767,-1,-1,0.33265061330176593,-1,-1,0.39114521969433214,0.359499032179989,-1,-1,0.3197543222487689,0.34237021552943925,0.47839634286350075,0.4289706346603417,0.28643122273415567,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mental,-1,0.24880837221340735,-1,0.157482403337467,-1,-1,0.22502051928771571,-1,0.3709694033924633,0.743150831623446,0.25505512539732833,-1,-1,0.2072592709959219,-1,-1,0.3891545331772389,0.4282653559555496,-1,-1,0.32482031836094927,0.33918419811718614,1.0,0.830658311995454,0.4097373918953766,-1
health,-1,0.41751129156178746,-1,0.23797483605016734,-1,-1,0.2121272158296521,-1,0.3450132325499773,0.6413673393317475,0.15542421483806912,-1,-1,0.2803192447895222,-1,-1,0.3548837471587005,0.348164967995398,-1,-1,0.26519159986108853,0.3200410493156576,0.830658311995454,1.0,0.40098904259471346,-1
problems,-1,0.21406557305357365,-1,0.3077364872576016,-1,-1,0.20273480619265416,-1,0.42439468436643124,1.0,0.34265683107420686,-1,-1,0.3842612107812544,-1,-1,0.41112809918724047,0.40822346109100227,-1,-1,0.30152567870888813,0.24216581859992214,0.743150831623446,0.6413673393317475,0.3900664982598694,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
