model,``,it,is,a,way,of,bridging,the,gap,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
council,-1,-1,-1,-1,0.3438561285021531,-1,-0.1620142469982524,-1,0.10184987487802921,-1
plans,-1,-1,-1,-1,0.4658957988060445,-1,-0.07867046345931472,-1,0.266048561611993,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
employ,-1,-1,-1,-1,0.20397416964054316,-1,-0.007081554126722844,-1,0.20558498530655878,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
own,-1,-1,-1,-1,0.6231624023120798,-1,-0.2557563588427221,-1,0.22828100588945932,-1
staff,-1,-1,-1,-1,0.3717097346580539,-1,-0.17100841878552142,-1,0.3568649045855008,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
help,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
young,-1,-1,-1,-1,0.46871371720666666,-1,-0.18005237387856576,-1,0.2830747315826918,-1
people,-1,-1,-1,-1,0.4603184911964021,-1,-0.15215735921462414,-1,0.2786963467784195,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mental,-1,-1,-1,-1,0.356496432670387,-1,-0.10296206464568902,-1,0.3267526295088047,-1
health,-1,-1,-1,-1,0.3640914476694127,-1,-0.22374301895784687,-1,0.2606449787406383,-1
problems,-1,-1,-1,-1,0.44146005708919267,-1,-0.062218299236530994,-1,0.3035705739501151,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
