model,the,local,authority,said,once,trained,its,staff,will,work,with,children,families,and,schools,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
council,-1,0.5560110869058573,0.6562717435706407,-1,0.3549270723293292,0.2281862793122189,-1,0.4105894861841257,-1,-1,-1,0.28861758915052205,0.3108220528375527,-1,0.3939851169600045,-1
plans,-1,0.5012955375326976,0.5525527870485242,-1,0.4080886472452201,0.164112922722365,-1,0.3892964253532063,-1,-1,-1,0.32071252061326794,0.34826337981196276,-1,0.4322019364980594,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
employ,-1,0.3450523179379551,0.20086836316387124,-1,0.3222818122945177,0.4744793189710792,-1,0.5101774685925179,-1,-1,-1,0.44984537576972483,0.4898671105298469,-1,0.37743043887488714,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
own,-1,0.42396859471677717,0.455116555393566,-1,0.4999334756947744,0.20941815557382226,-1,0.395466273985674,-1,-1,-1,0.5129200291992996,0.4603903855088898,-1,0.41345408081576096,-1
staff,-1,0.48601061791341804,0.45950835073427265,-1,0.41192882817452237,0.5905476168520435,-1,1.0,-1,-1,-1,0.481264393778827,0.5536905744212941,-1,0.5524445209612179,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
help,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
young,-1,0.5327795674938745,0.30890216624520417,-1,0.4159120739517048,0.4442347341945714,-1,0.4601465894437271,-1,-1,-1,0.7828817045912612,0.6810201604422803,-1,0.49353484452716256,-1
people,-1,0.536607725021832,0.3939208178713698,-1,0.4823029733819122,0.34237021552943925,-1,0.45014948972180724,-1,-1,-1,0.6805274894969949,0.654355125820751,-1,0.43116071854370097,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mental,-1,0.42761125383029286,0.4004244236749315,-1,0.19941947211897615,0.33918419811718614,-1,0.4573837636592596,-1,-1,-1,0.5822584997460375,0.4404479614458867,-1,0.38801737846718276,-1
health,-1,0.4960922292002572,0.5834520389414645,-1,0.22609774012628814,0.3200410493156576,-1,0.4921265011806476,-1,-1,-1,0.5378151561431641,0.41083730309146427,-1,0.45388802812797446,-1
problems,-1,0.3947914671253463,0.3788688458633962,-1,0.36138537059803577,0.24216581859992214,-1,0.4414550102267685,-1,-1,-1,0.4303232632830325,0.4081110832759409,-1,0.35793836092008846,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
