model,it,wants,to,greatly,reduce,the,wait,mental,health,patients,face,from,12,months,to,less,than,a,week,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
council,-1,0.458789642719869,-1,0.10669633740495565,0.2772518964500472,-1,0.24945087599968152,0.24880837221340735,0.41751129156178746,0.2602445286789864,0.33742343474708214,-1,0.32673150492487313,0.3297416782843705,-1,0.2791369579132571,-1,-1,0.4564670846052593,-1
plans,-1,0.5440244460911866,-1,0.20496737516257102,0.44232233777701835,-1,0.3183685991754872,0.21600316666392794,0.3512271064697303,0.21928224136625896,0.3430015874354704,-1,0.3733355490757063,0.4065727873428747,-1,0.3285088376897731,-1,-1,0.525395048327726,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
employ,-1,0.3967456052173791,-1,0.2517191342766888,0.3530785674110395,-1,0.35993273918806246,0.21506047644789872,0.16620323917151558,0.47519439126951846,0.21116658325043847,-1,0.3018089671031299,0.2436111768308764,-1,0.3384651355812247,-1,-1,0.199121250227422,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
own,-1,0.4165750949375492,-1,0.08735332316046795,0.3784079452502911,-1,0.3564155670157112,0.4237558558225685,0.4088951785409003,0.3354762797072047,0.399767790049959,-1,0.37258929218068393,0.4060523253151722,-1,0.3475581449238465,-1,-1,0.4336337455866702,-1
staff,-1,0.39335779278037086,-1,0.21166203897658342,0.41932092210381233,-1,0.28874370003657057,0.4573837636592596,0.4921265011806476,0.5852781251259592,0.2841721495935945,-1,0.4393820884614039,0.45779155633869195,-1,0.413747393141082,-1,-1,0.4531674263988652,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
help,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
young,-1,0.4482915564212858,-1,0.14399253027806125,0.2828948180441089,-1,0.3546153720909275,0.46176105480602003,0.420468902943243,0.5714295040985469,0.3655248164968481,-1,0.4848448630512294,0.4379752882620278,-1,0.42014266282896773,-1,-1,0.38958503635233077,-1
people,-1,0.4498019970542926,-1,0.1375222420264972,0.390246224336144,-1,0.4398198241188346,0.47839634286350075,0.4289706346603417,0.5864052775676298,0.35036206377919177,-1,0.5596593432893394,0.528072407075776,-1,0.5011883515762701,-1,-1,0.5071659688182876,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mental,-1,0.253154258028484,-1,0.11327295066383791,0.43869260580879543,-1,0.24351633899753822,1.0,0.830658311995454,0.5798207523086454,0.3417437655169421,-1,0.2549059724589299,0.3290883429545506,-1,0.3615112222624517,-1,-1,0.28014914577968586,-1
health,-1,0.36568403428923524,-1,0.05797001783697098,0.4639594316926201,-1,0.2143438646728718,0.830658311995454,1.0,0.5612747594815015,0.3333940252699965,-1,0.28137105534932283,0.3642853926740427,-1,0.35129867394847003,-1,-1,0.39880938221947926,-1
problems,-1,0.27761355978840385,-1,0.18777466221730155,0.541797656321318,-1,0.31465804605840697,0.743150831623446,0.6413673393317475,0.5075042180516395,0.46911722601140005,-1,0.3253640257709167,0.42939090205142616,-1,0.38472590923853134,-1,-1,0.3976496365405904,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
