model,at,the,very,point,of,his,entry,into,the,race,for,london,mayor,zac,goldsmith,'s,decision,revealed,two,big,characteristics,.
zac,-1,-1,-1,-0.0732922081746612,-1,-1,0.009195005873333995,-1,-1,0.02890536246044384,-1,0.06484273724752887,0.37367569806041545,1.0,0.9222478657279439,-1,-0.056158901714837395,-0.14639438067920096,-0.18667004333718418,-0.1737158654364035,-0.03414500340845472,-1
goldsmith,-1,-1,-1,0.0404744332759579,-1,-1,0.09487462713696015,-1,-1,0.11199549347271287,-1,0.1709533309778417,0.43828075783915954,0.9222478657279439,1.0,-1,0.08235886201328435,0.06688348013097145,-0.055285574895784784,-0.07159033185107488,-0.04770470943294214,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contest,-1,-1,-1,0.32683814948158774,-1,-1,0.3782293319242489,-1,-1,0.6792737710714092,-1,0.3570834190832648,0.3232658605394889,0.19899161825205458,0.2811662993753623,-1,0.4265274323035845,0.3405132507303874,0.3238179533116381,0.3379204355605787,0.2354420085813662,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,-1,-1,-1,0.28732377086173755,-1,-1,0.24682363813675912,-1,-1,0.5535298514194893,-1,0.5616798603493458,0.3341593407069503,-0.08868096544238613,0.06149698564773354,-1,0.4177743334945183,0.5224165765745948,0.4586400201699137,0.31755033402188526,0.06234618313971796,-1
london,-1,-1,-1,0.28206873564875656,-1,-1,0.2886257590414161,-1,-1,0.46294795930147714,-1,1.0,0.6665607137434783,0.06484273724752887,0.1709533309778417,-1,0.27636510530500136,0.4282662585771052,0.3989789202779763,0.28712847961706256,-0.0672263159248967,-1
mayoral,-1,-1,-1,0.00035110701331375616,-1,-1,0.16604516644788747,-1,-1,0.40622408618337125,-1,0.4917446893709636,0.5162714217834855,0.5014095332477068,0.43802319857532956,-1,-0.003993776169133323,0.059977925457443515,0.07725122424326836,0.03353657887411288,0.055015029603477594,-1
election,-1,-1,-1,0.26966496542869844,-1,-1,0.20155488447921122,-1,-1,0.5920318454777513,-1,0.3872243491868883,0.3351192541057013,0.13563639144577488,0.23103425844980818,-1,0.4531647357486914,0.46348003657420755,0.37974311032976726,0.3056045788307413,0.14348900220008376,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,-1,-1,0.303177431708923,-1,-1,0.2267723391941865,-1,-1,0.3975761706547848,-1,0.3474895050224256,0.32806770472715663,0.239925220842786,0.2901973345726019,-1,0.39827609346262327,0.3495969341483012,0.45482393969261325,0.31086258938620337,0.17409800718054147,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
announced,-1,-1,-1,0.22478807283577307,-1,-1,0.29070526585557865,-1,-1,0.28084074187269215,-1,0.37235744080174993,0.381431053861248,-0.029461690973093813,0.1358446033474925,-1,0.5481168443193533,0.7005449722478289,0.43943310885440845,0.3775769027355642,0.017007890768231393,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
