model,but,he,said,anyone,who,attempted,to,replicate,mr,johnson,'s,style,of,leadership,would,be,``,deluded,'',as,he,was,a,``,unique,figure,'',in,british,politics,.
zac,-1,-1,-1,-0.09439933029167369,-1,0.05824840542527887,-1,0.08105816246463837,0.20413012936015174,0.2619955319367743,-1,-0.009900005974919912,-1,0.24130827933640275,-1,-1,-1,0.16538459018588392,-1,-1,-1,-1,-1,-1,-0.14092100447887668,0.037245973921886,-1,-1,-0.08162873355963707,0.01935691713711518,-1
goldsmith,-1,-1,-1,0.057876981682581374,-1,0.167291342753914,-1,0.15076907076713963,0.44848750481244204,0.4509810038741051,-1,0.05790160584553539,-1,0.29395883772382103,-1,-1,-1,0.08731358676792966,-1,-1,-1,-1,-1,-1,-0.04987124991875369,0.15130174162212384,-1,-1,-0.05203222243901484,0.07008175017298313,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contest,-1,-1,-1,0.14143380654774762,-1,0.24450018056040967,-1,0.2369778332788156,0.28760453918666795,0.27997165970892735,-1,0.41749245129914936,-1,0.7490413660855192,-1,-1,-1,0.007141854492973221,-1,-1,-1,-1,-1,-1,0.2838277458796976,0.435945789614854,-1,-1,0.1719022278935839,0.38773158539877217,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,-1,-1,-1,0.2073664256032619,-1,0.22076056497722785,-1,0.17685856343465278,0.24817398543470315,0.37081971242221745,-1,0.256619859271784,-1,0.4229671631181531,-1,-1,-1,-0.27903594618699334,-1,-1,-1,-1,-1,-1,0.1992416231877575,0.4280440873471594,-1,-1,0.36621113765151336,0.34012883118241366,-1
london,-1,-1,-1,0.24961396059402863,-1,0.2644681520833094,-1,0.06443029148218249,0.2811928316939005,0.5351284020790986,-1,0.16282501765810276,-1,0.33304202406635464,-1,-1,-1,-0.320816754408062,-1,-1,-1,-1,-1,-1,0.21785550314428326,0.2630449462824873,-1,-1,0.4433436564132025,0.3760800366787933,-1
mayoral,-1,-1,-1,-0.12294560373577834,-1,0.04311650919314913,-1,0.11210341670402824,0.10779182095373274,0.21792854319888277,-1,0.16439739630560635,-1,0.5109140534220423,-1,-1,-1,-0.03660723688425871,-1,-1,-1,-1,-1,-1,0.06260971379993896,0.1597859077533763,-1,-1,0.13669453829061184,0.16881376964021666,-1
election,-1,-1,-1,0.2522578878569921,-1,0.19829988890542238,-1,0.18541611324099072,0.3339509714336646,0.3235089450816502,-1,0.2812678423081565,-1,0.666844397220666,-1,-1,-1,-0.11568521425261946,-1,-1,-1,-1,-1,-1,0.19387808558144037,0.45036740320405855,-1,-1,0.264414052045683,0.4077910481265943,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,-1,-1,0.31337119283200554,-1,0.26948913867387136,-1,0.15823019289288276,0.2989377045096141,0.36512154799886076,-1,0.08895050464271337,-1,0.5758536127709902,-1,-1,-1,-0.19811003076816003,-1,-1,-1,-1,-1,-1,0.14303286576199115,0.3609056599113747,-1,-1,0.4065511897146036,0.3121491137626209,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
announced,-1,-1,-1,0.14977677992721772,-1,0.2162077862544225,-1,0.12518720021705454,0.3372403204301986,0.42112330893793803,-1,0.15054866597291428,-1,0.35263200269564066,-1,-1,-1,-0.3430713207793237,-1,-1,-1,-1,-1,-1,0.19903203034436068,0.2910539427820542,-1,-1,0.34956249802959993,0.18950273485351765,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
