model,mr,khan,beat,former,cabinet,minister,tessa,jowell,and,a,number,of,other,current,mps,to,win,the,labour,nomination,last,month,.
zac,0.20413012936015174,0.28787305097041305,0.020571801224217867,0.11946770953337194,0.11946888843409953,0.08094475251979161,0.5955777481471594,0.50234681127504,-1,-1,-0.18365184212741004,-1,-1,-0.13138411192089072,0.18523343757702382,-1,-0.04610288265662099,-1,0.33151782336732594,0.3914675934926829,-1,-0.09405253696487903,-1
goldsmith,0.44848750481244204,0.42889572013178756,0.10007705629952957,0.18660154432408926,0.17696507315626442,0.20464796297987464,0.5339475806255082,0.4074448959157322,-1,-1,-0.06335421059348523,-1,-1,-0.025066426222824623,0.2770199576629466,-1,0.06508534678204048,-1,0.3915914058099692,0.4177460233445548,-1,0.07242267198738406,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contest,0.28760453918666795,0.24464506431048216,0.2167960950981349,0.25373565068159765,0.29986026366669294,0.11523168291975527,-0.1435437041765244,-0.27665667405135475,-1,-1,0.20039338509133953,-1,-1,0.3637791695400845,0.41629586685869935,-1,0.46390332673195855,-1,0.5538034947054802,0.5445834437070237,-1,0.3581020156370758,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,0.24817398543470315,0.2568012965451052,0.37139266509958935,0.35445545331449835,0.2679241073732759,0.27724255613733106,-0.31669347332935094,-0.398174501051344,-1,-1,0.39985467092372606,-1,-1,0.5031440965700807,0.44692293308891684,-1,0.5286477122306651,-1,0.42517036256556784,0.38719107037629974,-1,0.6456024799095762,-1
london,0.2811928316939005,0.4593216320259712,0.30560341253350976,0.4579672644361865,0.28747995228460566,0.2591268471709799,-0.2075051953696203,-0.2891197132781287,-1,-1,0.393874943957635,-1,-1,0.32439244820301416,0.37298186587248017,-1,0.3430579804137386,-1,0.41198278046064174,0.21085213974535888,-1,0.4696221794138299,-1
mayoral,0.10779182095373274,0.24786313822025008,-0.003799772640664223,0.21227169492116071,0.26773517139797454,0.04781736943500692,0.11271696035555467,0.0432103702679244,-1,-1,-0.017673393437518836,-1,-1,0.16773866495656586,0.2663195330499859,-1,0.17766232689483108,-1,0.3984747813961016,0.5920486369187283,-1,0.15036764095908095,-1
election,0.3339509714336646,0.22565104111908896,0.2078759435205484,0.30635964459302545,0.4167307360285999,0.3516250336346761,-0.1532628720681246,-0.27068061778319996,-1,-1,0.2259295658739905,-1,-1,0.42749405222696235,0.616267912177811,-1,0.5232545106784116,-1,0.6682203632033945,0.6224361603860197,-1,0.5497807628339625,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,0.2989377045096141,0.24923419990945472,0.3416592357251269,0.3720533441146623,0.4199071169044031,0.38720178500267655,-0.07819181174947443,-0.1650911635005068,-1,-1,0.36759048080036505,-1,-1,0.34966590313836976,0.7496487122869852,-1,0.5057281163347589,-1,0.8236890864033051,0.4015587273394743,-1,0.38374331651396376,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
announced,0.3372403204301986,0.307264229897088,0.221168055913614,0.4543881539433732,0.49450389570480613,0.5069957195602945,-0.14172286465962047,-0.19118179318669193,-1,-1,0.3327892486607482,-1,-1,0.47298187963880656,0.5153099543022153,-1,0.2772800424409638,-1,0.4774495607148921,0.2748385551737441,-1,0.6606747953315542,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
