model,mr,goldsmith,who,has,confirmed,he,would,stand,down,from,parliament,if,he,became,mayor,triggering,a,by-election,said,he,wanted,to,build,on,current,mayor,boris,johnson,'s,achievements,.
zac,0.20413012936015174,0.9222478657279439,-1,-1,-0.05407156197353857,-1,-1,0.03917301945911278,-0.13907429889632628,-1,0.0910525018611047,-1,-1,0.0015321732834912005,0.37367569806041545,-0.02028357002530301,-1,0.41733698992406776,-1,-1,-0.060982126157095085,-1,-0.15892853579497035,-1,-0.13138411192089072,0.37367569806041545,0.40892320952670724,0.2619955319367743,-1,0.08577309481359274,-1
goldsmith,0.44848750481244204,1.0,-1,-1,0.10806996328086449,-1,-1,0.17513014570803354,-0.00048256042558803003,-1,0.18375093010247645,-1,-1,0.08499870038168522,0.43828075783915954,0.052765451968290855,-1,0.4013500509658796,-1,-1,0.11545523356695375,-1,-0.05302437486749301,-1,-0.025066426222824623,0.43828075783915954,0.4485693368068058,0.4509810038741051,-1,0.1719669063014031,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contest,0.28760453918666795,0.2811662993753623,-1,-1,0.2279609431575499,-1,-1,0.5468501170270603,0.2808390092209154,-1,0.4542371619986991,-1,-1,0.3098665906551663,0.3232658605394889,0.21709628030854433,-1,0.5211201980715237,-1,-1,0.3781868772378356,-1,0.2639330458395539,-1,0.3637791695400845,0.3232658605394889,0.1992106823273001,0.27997165970892735,-1,0.29928874560561725,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,0.24817398543470315,0.06149698564773354,-1,-1,0.46967721283648267,-1,-1,0.47808282456994755,0.35240288633427563,-1,0.558253528051489,-1,-1,0.32768912666396877,0.3341593407069503,0.3148501183387753,-1,0.35589579091515766,-1,-1,0.40014711162098693,-1,0.2825198713925646,-1,0.5031440965700807,0.3341593407069503,0.18698852829599089,0.37081971242221745,-1,0.2915327283648077,-1
london,0.2811928316939005,0.1709533309778417,-1,-1,0.43951381919037535,-1,-1,0.4033241742935074,0.32024569573386974,-1,0.45739438220110906,-1,-1,0.3209679502280596,0.6665607137434783,-0.09242757490680398,-1,0.286368552426454,-1,-1,0.42260096326866914,-1,0.3043584657201266,-1,0.32439244820301416,0.6665607137434783,0.5416593887674099,0.5351284020790986,-1,0.22016838801898486,-1
mayoral,0.10779182095373274,0.43802319857532956,-1,-1,0.13207178782774442,-1,-1,0.1759170852184807,-0.08618799814436073,-1,0.3410998265815697,-1,-1,0.12951126677496594,0.5162714217834855,-0.08959479414510363,-1,0.5371247582522595,-1,-1,0.07692253777629787,-1,0.0721017919927468,-1,0.16773866495656586,0.5162714217834855,0.4258938133109669,0.21792854319888277,-1,0.21499901303352142,-1
election,0.3339509714336646,0.23103425844980818,-1,-1,0.39999791687807296,-1,-1,0.5478966872609013,0.3378499069718808,-1,0.6593176671707404,-1,-1,0.35860375086599083,0.3351192541057013,0.2543554776117628,-1,0.5049077804387905,-1,-1,0.45487580319338683,-1,0.2607050067207093,-1,0.42749405222696235,0.3351192541057013,0.20514506532372545,0.3235089450816502,-1,0.2763517044165247,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,0.2989377045096141,0.2901973345726019,-1,-1,0.4184859039030242,-1,-1,0.49106376378825467,0.31548846142439246,-1,0.5652950917252252,-1,-1,0.3009150863441956,0.32806770472715663,0.20444336858504153,-1,0.3640688802080978,-1,-1,0.5199632025366485,-1,0.2989779736230268,-1,0.34966590313836976,0.32806770472715663,0.2506031923258979,0.36512154799886076,-1,0.25158555542085237,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
announced,0.3372403204301986,0.1358446033474925,-1,-1,0.6761973109834869,-1,-1,0.3747804740934575,0.33684438506385217,-1,0.5362231777341181,-1,-1,0.30505131838094846,0.381431053861248,0.2073972770820618,-1,0.17661499759869936,-1,-1,0.41766255950591535,-1,0.3646596832153297,-1,0.47298187963880656,0.381431053861248,0.20487252632627806,0.42112330893793803,-1,0.2049741420093567,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
