model,ms,suu,kyi,'s,main,frustration,is,that,the,constitution,remains,unchanged,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,0.2486205647695281,-0.07993619487051773,-0.10508104836994692,-1,0.22988014506550247,0.2196029157280881,-1,-1,-1,0.229422541083372,0.2580931613971217,0.01754700424769151,-1
conference,0.26971460664791613,-0.02584111746575979,-0.035173559395053955,-1,0.36911354115703054,0.25313147094303967,-1,-1,-1,0.18395216572582873,0.25278720416678513,0.0316163039482763,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,0.38786583536721575,-0.0881416958145691,-0.0634123182882933,-1,0.32350744565830036,0.2745049502386798,-1,-1,-1,0.2979813370166364,0.40655680382235726,0.17079362161265843,-1
opposition,0.2806796969564922,0.04990470651600676,0.10232824320708289,-1,0.587888578362621,0.34212443114310953,-1,-1,-1,0.2955406768964872,0.37048657957673026,0.18910540981548873,-1
leader,0.4691472312141869,0.3074535587475764,0.31442874155998046,-1,0.3596303089970204,0.1787154974225834,-1,-1,-1,0.23397653410499852,0.33808534835512083,0.008509842679555901,-1
aung,0.12366496477989575,0.7983102060250495,0.7603752781798147,-1,0.00045260390576906673,-0.08232464406936635,-1,-1,-1,0.09699141154448532,-0.16771226658005878,-0.10173431007631639,-1
san,0.27047105367724766,0.7316567926066023,0.6956116397524051,-1,0.09516426021365154,0.10540357458225447,-1,-1,-1,0.20774770508505847,0.0915782244518647,0.056672567406457985,-1
suu,0.5108624359238677,1.0,0.9770392896824992,-1,-0.04894379047471964,-0.06971561439377782,-1,-1,-1,0.10604381615323766,-0.06630874059093173,-0.09831021809371676,-1
kyi,0.48685821416929875,0.9770392896824992,1.0,-1,-0.008860817491302964,-0.03842050844238032,-1,-1,-1,0.1548557482968338,-0.009176163993946496,-0.04425294650572731,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,0.488620713584381,0.009486203865145093,0.010450417267172885,-1,0.29006405238706345,0.32773794305534953,-1,-1,-1,0.24064591715932337,0.2863897794468149,-0.01931589010446144,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,0.19344125439259097,-0.10125361559876578,-0.0444049830733424,-1,0.2525904204322722,0.2769925710576129,-1,-1,-1,0.19555775138302178,0.405611493273462,0.1915365838092421,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,0.30355652795072596,0.45321544129415914,0.4772002259147825,-1,0.18021868694938514,0.18075749254545515,-1,-1,-1,0.3666866893809678,0.16292041712525063,-0.01630745447675852,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,0.23480760878775375,-0.01502293156197454,0.008107354898911234,-1,0.3634944039497746,0.20648054957747752,-1,-1,-1,0.5156488582827117,0.3434832429769823,0.08843404804090138,-1
process,0.26841855418686067,-0.008440643844065177,0.03578807517712468,-1,0.17462715151066477,0.10127581513085204,-1,-1,-1,0.3114738484750156,0.37421390160051426,0.1714198969308114,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
