model,they,are,:,the,clause,barring,anyone,who,has,foreign,family,members,from,becoming,president,which,effectively,prevents,ms,suu,kyi,from,taking,power,-lrb-,because,of,her,british,sons,-rrb-,and,article,436,which,gives,the,army,a,veto,on,constitutional,changes,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,-1,-1,-1,-1,0.08412261060878445,0.11026481529433485,0.254217743190831,-1,-1,0.36374223794067717,0.41107234885659016,0.3345241756886923,-1,0.18682442947136546,0.26661792704421217,-1,0.1981748856823814,0.11340616608041154,0.2486205647695281,-0.07993619487051773,-0.10508104836994692,-1,0.29358025344624283,0.22460115301905081,-1,0.3513969694132755,-1,-1,0.35954742430593967,0.12776040555039492,-1,-1,0.3824435437839384,-0.31201133823795724,-1,0.341441601864126,-1,0.32923049678929317,-1,0.1464350227667408,-1,0.330027662549931,0.2233798850535489,-1
conference,-1,-1,-1,-1,0.09728527285312139,0.12791500294181424,0.11631437146993973,-1,-1,0.3375216206139269,0.408739178400618,0.39002605172508376,-1,0.2505112948039201,0.35817254760684814,-1,0.16246612146696426,0.035486363299633394,0.26971460664791613,-0.02584111746575979,-0.035173559395053955,-1,0.3274380411276283,0.31546403213970353,-1,0.34044032956424486,-1,-1,0.32622683644298744,0.09416600586226087,-1,-1,0.3735735135559046,-0.3599311142173063,-1,0.2833353977093731,-1,0.3066216902994612,-1,0.15952520065550502,-1,0.3751842197605326,0.2677091415305153,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,-1,-1,0.1371861319723251,0.12127099035155287,0.38312967343330695,-1,-1,0.41073506103160895,0.5619230242810026,0.4865678834633713,-1,0.3866075202858622,0.46039385004121125,-1,0.3588290162974942,0.11948723302599729,0.38786583536721575,-0.0881416958145691,-0.0634123182882933,-1,0.5997753106590467,0.40833271269185845,-1,0.6110938220370042,-1,-1,0.39140001675931746,0.2587895906663332,-1,-1,0.4754290848501259,-0.27270218614689257,-1,0.448887167986593,-1,0.4225691058706914,-1,0.243227855512421,-1,0.2792179425947704,0.45961398548334453,-1
opposition,-1,-1,-1,-1,0.07349854684439439,0.18758721095577968,0.21276230629578108,-1,-1,0.3107987208906595,0.3088100224857545,0.5086401538811327,-1,0.27209414400105025,0.4770348332736911,-1,0.2302555647502441,0.14636777700231174,0.2806796969564922,0.04990470651600676,0.10232824320708289,-1,0.34887386919742935,0.39534059887865913,-1,0.40875810348088093,-1,-1,0.2635422823988842,0.22774612189807586,-1,-1,0.19196622033045652,-0.25881550152248334,-1,0.32027613444006486,-1,0.4591206471888354,-1,0.28483898255149875,-1,0.325477517078419,0.3114478182781001,-1
leader,-1,-1,-1,-1,0.06704127118394154,0.16481946840359019,0.1655316687780909,-1,-1,0.2741667608321847,0.29613828176817103,0.4628610166364677,-1,0.36689534915989297,0.41459203470094574,-1,0.2364375719391525,-0.0006161501818333637,0.4691472312141869,0.3074535587475764,0.31442874155998046,-1,0.297425754867515,0.40271887100831116,-1,0.2846013138442638,-1,-1,0.2967508633020599,0.23062150772449663,-1,-1,0.22735239459204049,-0.3241960595196245,-1,0.18295074508488163,-1,0.40592457834341067,-1,0.18013140320436583,-1,0.24830371407325624,0.2406343053656972,-1
aung,-1,-1,-1,-1,0.022441318603958482,0.2482626377582735,-0.27246041220445405,-1,-1,-0.0067161103889255,-0.26350103288745386,-0.08009955882526132,-1,-0.13984233243174593,0.018163333321909003,-1,-0.141358255177102,-0.03939286774180095,0.12366496477989575,0.7983102060250495,0.7603752781798147,-1,-0.31487082302769176,-0.05722762508880641,-1,-0.2706956235607936,-1,-1,-0.04009300641935187,0.020159312979776023,-1,-1,0.011303442939003094,-0.140344488799643,-1,-0.28489533715752,-1,0.21793418104700413,-1,0.008919075711809388,-1,0.07490416288789581,-0.18036951994582395,-1
san,-1,-1,-1,-1,0.20366077124049375,0.41924315008507484,-0.020284612559070325,-1,-1,0.1839911244870679,0.07948701266157199,0.06837290537324747,-1,0.04426205776308423,0.21509879616122718,-1,0.02724147174764746,0.0007442741265845099,0.27047105367724766,0.7316567926066023,0.6956116397524051,-1,-0.004974780139152868,0.09904038005141991,-1,0.03198340410939171,-1,-1,0.1458891519214517,0.18395122887231963,-1,-1,0.16568093751176916,-0.29619661083515303,-1,-0.09819684272304152,-1,0.45232307865295973,-1,0.08254449802011177,-1,0.2193750655962956,-0.00300580278758944,-1
suu,-1,-1,-1,-1,-0.0035883274657364517,0.2253011506875795,-0.038931341827029176,-1,-1,0.01964985123324836,-0.06450434064779054,-0.10646766328255253,-1,-0.14098210656381438,0.09653962212211487,-1,-0.07976303114609529,-0.004324904499634297,0.5108624359238677,1.0,0.9770392896824992,-1,-0.16761474109633845,-0.03202762688988159,-1,-0.1012700554098922,-1,-1,-0.052054172249691444,0.08313031372499713,-1,-1,0.02208757838667652,-0.16154041903409322,-1,-0.16953400791468254,-1,0.2286556883479538,-1,0.030926807096325892,-1,0.03935578977761589,-0.12674746906228496,-1
kyi,-1,-1,-1,-1,0.005251596068916231,0.25840056610270745,-0.02563710507108885,-1,-1,0.01792957179996224,-0.03808120042370122,-0.08419288207993247,-1,-0.09242724655096568,0.13538328127982746,-1,-0.01571050452742928,0.016023555660482525,0.48685821416929875,0.9770392896824992,1.0,-1,-0.12894135368432424,0.007663109017496672,-1,-0.03995627024401971,-1,-1,-0.004922473253164084,0.11500554736764035,-1,-1,0.028660709487914215,-0.18114063484021226,-1,-0.14431883620625308,-1,0.2346438318757873,-1,0.08264359162442902,-1,0.061247432834109494,-0.09390661391979305,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,-1,-1,-1,-1,0.06136550641103666,0.11598822736358338,0.674927188290268,-1,-1,0.4075369806604896,0.6253177829696119,0.5382531837899424,-1,0.29683404723397544,0.4254675598658786,-1,0.39084174637452873,0.1485801090474521,0.488620713584381,0.009486203865145093,0.010450417267172885,-1,0.4934267834806719,0.31986960059229574,-1,0.5125899893767752,-1,-1,0.37888484439960957,0.27713602423775596,-1,-1,0.28496398724394423,-0.35990322846965683,-1,0.46371514386495183,-1,0.4009432948749454,-1,0.23985367596910612,-1,0.3160542500067657,0.4328180495700469,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,-1,-1,-1,-1,0.16318287890057115,0.555130119198182,0.27311398428771005,-1,-1,0.14110069663429514,0.3460123403827229,0.3511864849174431,-1,0.2839575031353394,0.09458173131200032,-1,0.32344575354881155,0.18370830673252492,0.19344125439259097,-0.10125361559876578,-0.0444049830733424,-1,0.44904261693974246,0.31396751123417255,-1,0.4542491517791277,-1,-1,0.2948829731398136,0.09174544727579592,-1,-1,0.3400263030464099,-0.23086878229489005,-1,0.35246195261133095,-1,0.3145004656943535,-1,0.2474074289901348,-1,0.32892832558719753,0.4040064147652118,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,-1,-1,-1,-1,0.02287703148514353,0.23436334230227485,0.17534304717927052,-1,-1,0.40809050924278534,0.14708449718501382,0.27992356085612236,-1,0.2148471439061117,0.4240051906140899,-1,0.2354025024270361,0.23227261616373573,0.30355652795072596,0.45321544129415914,0.4772002259147825,-1,0.19411442878684793,0.3402598396540555,-1,0.2280106962609756,-1,-1,0.2951602432653586,0.2748288750413548,-1,-1,0.21966680758140356,-0.4183645402327738,-1,0.0981104286284954,-1,0.5085396997296306,-1,0.179793932009222,-1,0.15307915713423137,0.1549007284859052,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,-1,-1,-1,-1,0.5051813198181879,0.2833754344608518,0.2735964064874197,-1,-1,0.44299729905668395,0.3603990801456882,0.3980800517802324,-1,0.245575140300612,0.34199663809142833,-1,0.4243286865754601,0.20575552907353734,0.23480760878775375,-0.01502293156197454,0.008107354898911234,-1,0.4524598630124008,0.5710277235078224,-1,0.46096605230492904,-1,-1,0.32160665935282085,0.04509017119679215,-1,-1,0.37568150113845555,-0.46370859600695,-1,0.3914285075603733,-1,0.41138068675131256,-1,0.5003278555717923,-1,0.7695435673375202,0.6062312463608693,-1
process,-1,-1,-1,-1,0.16663755053519558,0.2659702910139399,0.2876942578576529,-1,-1,0.1962394531245535,0.37356190219358776,0.31033491699252047,-1,0.33236586012129354,0.1821663671131175,-1,0.4777766037503326,0.24025775414051154,0.26841855418686067,-0.008440643844065177,0.03578807517712468,-1,0.48903642284314486,0.4063382438700869,-1,0.4688008302334954,-1,-1,0.1933521139187031,0.07493892529999013,-1,-1,0.4557233771422481,-0.24596336154787157,-1,0.34867086540766334,-1,0.16134972586440643,-1,0.22676009228715666,-1,0.4455068279551705,0.433560466366373,-1
