model,when,she,speaks,ms,suu,kyi,is,thinking,politics,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,-1,-1,0.23113540379685715,0.2486205647695281,-0.07993619487051773,-0.10508104836994692,-1,0.23337120488344887,0.4201226865287231,-1
conference,-1,-1,0.20739549010883107,0.26971460664791613,-0.02584111746575979,-0.035173559395053955,-1,0.24302540912269532,0.4786003548582861,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,0.12724032586735756,0.38786583536721575,-0.0881416958145691,-0.0634123182882933,-1,0.4518334024320223,0.44133564165856654,-1
opposition,-1,-1,0.03776283919468093,0.2806796969564922,0.04990470651600676,0.10232824320708289,-1,0.23975608060278375,0.44785335229706913,-1
leader,-1,-1,0.07800258060213439,0.4691472312141869,0.3074535587475764,0.31442874155998046,-1,0.21873545723890342,0.37017876978872266,-1
aung,-1,-1,-0.13957145898728052,0.12366496477989575,0.7983102060250495,0.7603752781798147,-1,-0.19257671415794198,-0.004501198600431966,-1
san,-1,-1,0.02380080343808133,0.27047105367724766,0.7316567926066023,0.6956116397524051,-1,0.03288354670262117,0.14775885956157142,-1
suu,-1,-1,-0.10722238396328732,0.5108624359238677,1.0,0.9770392896824992,-1,-0.055454179828930306,-0.0409541787620471,-1
kyi,-1,-1,-0.10066479318220423,0.48685821416929875,0.9770392896824992,1.0,-1,-0.025778484329517237,0.02110026473172011,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,-1,-1,0.3156516153312342,0.488620713584381,0.009486203865145093,0.010450417267172885,-1,0.5116510665147588,0.39404110200854126,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,-1,-1,0.019732774939033138,0.19344125439259097,-0.10125361559876578,-0.0444049830733424,-1,0.29572399798973525,0.27170833688805895,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,-1,-1,0.08697276517023289,0.30355652795072596,0.45321544129415914,0.4772002259147825,-1,0.14861953133651606,0.3269655035234774,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,-1,-1,0.07615489954572219,0.23480760878775375,-0.01502293156197454,0.008107354898911234,-1,0.33471141549798156,0.403813668538765,-1
process,-1,-1,0.026815627509453432,0.26841855418686067,-0.008440643844065177,0.03578807517712468,-1,0.44732042107820136,0.3085386054755985,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
