model,in,the,burmese,context,``,easy,'',means,decisions,that,do,n't,upset,the,army,.
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
press,-1,-1,0.1045188891533736,0.2591323813799158,-1,0.21532012528069044,-1,0.342243294915037,0.2728981589998529,-1,0.3539549710911696,-1,0.28121610658307294,-1,0.32923049678929317,-1
conference,-1,-1,0.0576458294969846,0.27230251057030896,-1,0.1380600318737243,-1,0.34602781891290046,0.2288014018368525,-1,0.3057945433111309,-1,0.28049073736026364,-1,0.3066216902994612,-1
last,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,0.10906674605148381,0.3726290347675383,-1,0.34658386039867706,-1,0.5433325628794027,0.3843562487731369,-1,0.558663429464116,-1,0.31410821102582664,-1,0.4225691058706914,-1
opposition,-1,-1,0.3618801194406268,0.28679400145217304,-1,0.28111848619837443,-1,0.3492298192368313,0.29706926624763985,-1,0.3478878446627045,-1,0.27024092264967314,-1,0.4591206471888354,-1
leader,-1,-1,0.2110966956176128,0.17043650520947162,-1,0.14631489465171543,-1,0.28304449613083826,0.16910139165380444,-1,0.27914997541995,-1,0.21729963494312132,-1,0.40592457834341067,-1
aung,-1,-1,0.23766140492494436,-0.14104775152022397,-1,-0.18209832466413833,-1,-0.23470560721428546,-0.19078416556058908,-1,-0.2696193657222292,-1,-0.15645854904284384,-1,0.21793418104700413,-1
san,-1,-1,0.2555533863029005,0.061251651339684354,-1,0.01199339094746954,-1,-0.03831807168571255,0.002514130440624318,-1,-0.051076837499186345,-1,0.043916765039291206,-1,0.45232307865295973,-1
suu,-1,-1,0.20840172604335117,-0.06511293850837929,-1,-0.005449405888990899,-1,-0.1535855611211936,-0.0945800921025719,-1,-0.13816267595075749,-1,-0.14783382745566875,-1,0.2286556883479538,-1
kyi,-1,-1,0.23176280577219266,-0.04558413229886171,-1,0.058791926588555476,-1,-0.09697899394908127,-0.0527836410569571,-1,-0.09324999878839835,-1,-0.12874051953217447,-1,0.2346438318757873,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asked,-1,-1,0.16871508320275685,0.31315170187255936,-1,0.3310616143367293,-1,0.43367021557435526,0.4597084576671351,-1,0.6024101915165339,-1,0.38438286273324684,-1,0.4009432948749454,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assessment,-1,-1,-0.07757099023779523,0.5265309199724322,-1,0.3621917546970006,-1,0.47603942835141777,0.48575030876149516,-1,0.3948845473386219,-1,0.20051626889645935,-1,0.3145004656943535,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
myanmar,-1,-1,0.4751421562125444,0.1474936180489086,-1,0.11159382396381345,-1,0.20834643934500408,0.04524501245898349,-1,0.19476189702730773,-1,0.0765143940827081,-1,0.5085396997296306,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reform,-1,-1,0.18052350596375843,0.4655929977540285,-1,0.32287325415112755,-1,0.5467850237531973,0.4958127517024171,-1,0.4711887834541898,-1,0.1284036573066909,-1,0.41138068675131256,-1
process,-1,-1,-0.04703012338677803,0.4688425468660462,-1,0.3757699284271936,-1,0.5132895067292426,0.46165966100217826,-1,0.4018264130848801,-1,0.1767066865164999,-1,0.16134972586440643,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
