model,the,proposals,will,leave,firefighters,at,risk,of,dismissal,as,their,fitness,declines,into,their,50s,the,fbu,said,.
firefighters,-1,0.24469625092917413,-1,0.10729815174522284,1.0,-1,0.28156615852888167,-1,-0.005272089185135664,-1,-1,0.07088199112387483,0.1555693211283109,-1,-1,0.17506341296498484,-1,0.039247674090297724,-1,-1
across,-1,0.37953362213400366,-1,0.3936247476198138,0.30527156821411205,-1,0.395932137570446,-1,0.0069071980425456925,-1,-1,0.15781010423636832,0.22351640957084618,-1,-1,0.046143937500342624,-1,0.016574257731121866,-1,-1
england,-1,0.37727310681503967,-1,0.40264688713068797,0.10617705448816772,-1,0.37311724790435274,-1,0.20601059745064743,-1,-1,0.4287940324114773,0.017486204966129626,-1,-1,0.179464292088914,-1,0.005267025506865308,-1,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,-1,0.16385046448224827,-1,0.2041258304483059,-0.06192865759087063,-1,0.06433282163544796,-1,0.2855541219549429,-1,-1,0.3799076156165021,0.15578536453718617,-1,-1,0.1193655890691887,-1,-0.012828258674098869,-1,-1
strike,-1,0.332482709486706,-1,0.33727546378869633,0.2352755243074569,-1,0.31755195232815814,-1,0.2954085858701837,-1,-1,0.2042270109818164,0.08950061776566032,-1,-1,0.2746875837446334,-1,0.005422429455086086,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,-1,0.27215050284491515,-1,0.24282728007741405,0.19283746621697528,-1,0.29065006724378795,-1,0.2945687740675964,-1,-1,0.3187452362465655,0.1254645632393503,-1,-1,0.1647779057060349,-1,0.011998486997828905,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,-1,0.3971107302224355,-1,0.30552196073813953,0.1263576788822275,-1,0.3354379655003217,-1,0.06054348007222354,-1,-1,0.18349052935802168,-0.12161102205065566,-1,-1,-0.03158590017305607,-1,-0.29953484230852356,-1,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,-1,0.3495853310993198,-1,0.4141040928028702,0.2531169190522552,-1,0.44685097460684764,-1,0.21629013439183875,-1,-1,0.21877001063324752,0.1441846934656119,-1,-1,0.2000382005872211,-1,0.021744423336159557,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,-1,0.34028452382430197,-1,0.33333934020592415,0.3662638618496693,-1,0.3989263814483548,-1,0.05738124643516895,-1,-1,0.3232619819115976,-0.030992689124017092,-1,-1,0.050159355588057175,-1,-0.05181060478944621,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,-1,0.14299553922632047,-1,0.1128065340743245,0.035823025034361744,-1,0.07863445276612357,-1,0.04549829343928613,-1,-1,0.20756741636370868,0.18195194135140746,-1,-1,0.031232666796378594,-1,0.12745048979649187,-1,-1
weekends,-1,0.18894802979417125,-1,0.19429405981929881,0.33948484271483514,-1,0.2975795320297554,-1,0.1579329945109058,-1,-1,0.3087900754260382,0.23312622065765554,-1,-1,0.16632747018527516,-1,-0.04777622411218885,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.5035694406538718,-1,0.4770585187598382,0.2416147935773213,-1,0.40831731345353695,-1,0.24759356102656627,-1,-1,0.2535532089383302,0.2774040765445678,-1,-1,0.19489133215821408,-1,0.009948561610392148,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
