model,the,london,brigade,said,it,may,not,attend,rubbish,or,small,grass,fires,or,help,anyone,stuck,in,a,lift,.
firefighters,-1,0.2055153585939684,0.23888679961974768,-1,-1,-1,-1,0.17846008464381313,0.24587915640924773,-1,0.3004595095977378,0.22006847720931288,0.4939972224119944,-1,-1,0.19317486092755598,0.41055804324193945,-1,-1,0.17347232132066015,-1
across,-1,0.5486123912709886,0.16730425544842564,-1,-1,-1,-1,0.2465776707619135,0.2478713762490833,-1,0.5489737248779987,0.34041996004592034,0.42586557137793524,-1,-1,0.28273270684071883,0.28589396101387643,-1,-1,0.22463141481406224,-1
england,-1,0.47019004262587194,0.1143414235854564,-1,-1,-1,-1,0.29926217506256503,0.020768602313615325,-1,0.33463896453202935,0.19423724869554948,0.18260580807641968,-1,-1,0.27581395315975143,0.23533136559006096,-1,-1,0.20692728119556625,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,-1,0.24762134218335807,-0.02436166135052753,-1,-1,-1,-1,0.4410573348102582,0.01233277364404406,-1,0.07787230001929568,0.35292284934630924,0.2875487976462874,-1,-1,0.010573189671734262,0.028133486622039183,-1,-1,0.27333599326388147,-1
strike,-1,0.24070309177201354,0.1072767965483501,-1,-1,-1,-1,0.22111498058119672,-0.014224571307326794,-1,0.27123567873878673,0.23744382831784883,0.1365774259181607,-1,-1,0.21114879118055874,0.1802442215690626,-1,-1,0.3135522190639821,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,-1,0.267656831570219,0.10423781450887692,-1,-1,-1,-1,0.1328572253146446,0.23751899264838816,-1,0.31103621930973446,0.33234126385001317,0.3719091966996526,-1,-1,0.2298967039187958,0.3255814550075643,-1,-1,0.20123100451947085,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,-1,0.2665050338776438,-0.2813938055594265,-1,-1,-1,-1,0.20405678556081053,-0.02319343416619879,-1,0.23626944201812705,0.26060064529366533,0.0618723969910947,-1,-1,0.15996098805427605,-0.008190420952756128,-1,-1,0.11570410509156914,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,-1,0.41676180510495464,0.16745851057230876,-1,-1,-1,-1,0.30622266005835486,0.28723335644329784,-1,0.5780953203849138,0.3074108274411105,0.28605158012514853,-1,-1,0.40124116961927403,0.37943122729389755,-1,-1,0.3349187201835764,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,-1,0.5216072100102237,0.18848399056297016,-1,-1,-1,-1,0.5126531991430608,0.08407449660186728,-1,0.45049868531293213,0.22702619564384563,0.20008762839530325,-1,-1,0.2926082798698444,0.17846108915088177,-1,-1,0.2689132099726399,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,-1,0.4074317062809856,0.19748406514589723,-1,-1,-1,-1,0.2631972151589599,0.20820179907028302,-1,0.26990968890982847,0.2854166914963089,0.21647313917179156,-1,-1,-0.08088868132358429,0.2326133411056328,-1,-1,0.11789164773974647,-1
weekends,-1,0.2737388152804934,-0.0007664172750734277,-1,-1,-1,-1,0.44914557154562784,0.24422256800001485,-1,0.2221353491071898,0.48886037199002963,0.36566588808353195,-1,-1,0.14601864604555004,0.34117539367504945,-1,-1,0.22023815093226684,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.5587163617634744,0.1250478700348312,-1,-1,-1,-1,0.43441521263291016,0.17279316332130534,-1,0.4808657122933663,0.2893775109705927,0.2482614788499471,-1,-1,0.3249855030834071,0.2472034342758863,-1,-1,0.3264145649246628,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
