model,fire,minister,penny,mordaunt,said,fire,and,rescue,authorities,have,``,robust,'',plans,in,place,for,the,weekend,.
firefighters,0.5968856357130463,0.112158866693845,0.0902503774510518,-0.01304896030298175,-1,0.5968856357130463,-1,0.4558261559494463,0.30311741590330277,-1,-1,0.210126504480592,-1,0.20487874547100526,-1,0.13509139120835634,-1,-1,0.09705098990829342,-1
across,0.458226354562573,0.23745161438680595,0.013029127933670726,-0.30420477631649545,-1,0.458226354562573,-1,0.4319566499135302,0.41703141974927316,-1,-1,0.2623959901230013,-1,0.35780979034775806,-1,0.41261362799111345,-1,-1,0.459128543578462,-1
england,0.32438665832190283,0.38776458669237357,0.12271619391926936,-0.15186022216848505,-1,0.32438665832190283,-1,0.34951256847331125,0.38454733580324585,-1,-1,0.20854732279378596,-1,0.3608168820145877,-1,0.38831787208018187,-1,-1,0.4963118590009663,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,0.14775149934144904,0.03228303748590555,0.04616889884780162,-0.19934188792718044,-1,0.14775149934144904,-1,0.17784510470137205,0.09402333545099617,-1,-1,0.14930930465931347,-1,0.14302798736896227,-1,0.2654706154045059,-1,-1,0.5828474024312167,-1
strike,0.280056817014642,0.22278307848595946,0.14698569929363492,-0.0962527624668652,-1,0.280056817014642,-1,0.37259149861189267,0.3287435262390812,-1,-1,0.26259286634109347,-1,0.32968122674654565,-1,0.23362288126487474,-1,-1,0.42901916336388335,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,0.3135443611429465,0.24040285928819582,0.14120766766304116,-0.1252900716751617,-1,0.3135443611429465,-1,0.24983106312098657,0.2880086223435485,-1,-1,0.1022353759689566,-1,0.24068058258737945,-1,0.41306107626543365,-1,-1,0.5365810214267439,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,0.16413402863444027,0.5246249617264261,0.14104926977633192,0.03535505398903438,-1,0.16413402863444027,-1,0.2997984534592133,0.37232004781484684,-1,-1,0.2801463983967284,-1,0.3965516812771577,-1,0.18366940507613605,-1,-1,0.1911124091200317,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,0.3766572015758469,0.30429513185281065,0.35695961899052,-0.08157306050716118,-1,0.3766572015758469,-1,0.29559046475792883,0.35011649453464067,-1,-1,0.19832539339946154,-1,0.30953049141982625,-1,0.48955470670406354,-1,-1,0.4958153533989771,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,0.6191776878717906,0.3448103910351292,0.025100252801366518,-0.22121493315905427,-1,0.6191776878717906,-1,0.6686680942572828,0.4279267224796963,-1,-1,0.36867573290916433,-1,0.34951285775828,-1,0.3877777758092267,-1,-1,0.43618593315509946,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,0.20401254850712236,-0.01223305427084953,0.10680815180395509,-0.1795887309327988,-1,0.20401254850712236,-1,0.18074463243415917,0.03446319752583893,-1,-1,0.12194457067759745,-1,0.17741035242127,-1,0.36046808071845193,-1,-1,0.5042863930230541,-1
weekends,0.19512614893633773,0.026072752248878617,0.17549515870612786,-0.13342900602350083,-1,0.19512614893633773,-1,0.19803327368192392,0.14493780511307963,-1,-1,0.19634920643613107,-1,0.12534459881685645,-1,0.37660047428971954,-1,-1,0.523641104338238,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.2519761291277003,0.35902537883882135,0.3245009916324164,-0.10295678665248498,-1,0.2519761291277003,-1,0.26216505791196965,0.432067862097421,-1,-1,0.23834398119248723,-1,0.4969475342127161,-1,0.5020602121595958,-1,-1,0.7197654383473827,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
