model,``,it,'s,an,issue,which,affects,both,me,and,my,family,and,i,have,explained,the,dispute,to,him,'',said,the,firefighter,who,asked,not,to,be,named,.
firefighters,-1,-1,-1,-1,0.20533628121550418,-1,0.21894024315517957,0.3559883458418067,0.19161678185623177,-1,0.07540683008519888,0.19158991877668763,-1,-1,-1,0.21568676905284323,-1,0.20679840626052703,-1,-1,-1,-1,-1,0.31705884631734405,-1,0.2375229207517593,-1,-1,-1,0.17091242196148126,-1
across,-1,-1,-1,-1,0.3611171693205387,-1,0.31546779815273096,0.5432744372665193,0.2923933131512686,-1,0.25924815289813075,0.37683104682363733,-1,-1,-1,0.15446436761962345,-1,0.3744160983410334,-1,-1,-1,-1,-1,0.04022556751457751,-1,0.27477053920073935,-1,-1,-1,0.2927819748139988,-1
england,-1,-1,-1,-1,0.3331105508094676,-1,0.16136705434493182,0.5734581215600834,0.3424438967211657,-1,0.30515147068897375,0.30923335014293396,-1,-1,-1,0.2909275835602162,-1,0.27623195411598833,-1,-1,-1,-1,-1,0.13205657130841508,-1,0.3711776660844298,-1,-1,-1,0.5642054016566609,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,-1,-1,-1,-1,0.2198175867724792,-1,-0.037494000697712915,0.16681545638937667,0.06512596659911374,-1,0.2032885789601282,0.23366383917625655,-1,-1,-1,-0.09623447032423105,-1,0.31820389349558975,-1,-1,-1,-1,-1,0.03387058599139392,-1,0.07018984489592706,-1,-1,-1,0.1984366725713801,-1
strike,-1,-1,-1,-1,0.2956658708552624,-1,0.10318227539285929,0.37936705659194414,0.25561994091257123,-1,0.2124116348733921,0.2986035549990316,-1,-1,-1,0.12016761445170476,-1,0.49286374342975225,-1,-1,-1,-1,-1,0.034297566321295214,-1,0.28107908833300543,-1,-1,-1,0.2582266432706064,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,-1,-1,-1,-1,0.42084476650195946,-1,0.18213552857368454,0.426509314359683,0.35965406557527424,-1,0.30099843926195,0.393863819372963,-1,-1,-1,0.2870693950571027,-1,0.6366707651624158,-1,-1,-1,-1,-1,0.13630245472992886,-1,0.3336753349427155,-1,-1,-1,0.26140058019209134,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,-1,-1,-1,-1,0.23854569585160634,-1,-0.000509363298903498,0.27134363189465793,0.17968999591015844,-1,0.10171986453321558,0.3312338429805781,-1,-1,-1,0.301168533782031,-1,0.2665938147653436,-1,-1,-1,-1,-1,0.07923593785193273,-1,0.33049572715893905,-1,-1,-1,0.21839179914940976,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,-1,-1,-1,-1,0.5144294302351842,-1,0.34766769861436186,0.5447585671063668,0.4872601827833678,-1,0.424627643412674,0.4728769015121377,-1,-1,-1,0.39280242747474303,-1,0.29034574289307413,-1,-1,-1,-1,-1,0.43441565917339786,-1,0.4672369010137103,-1,-1,-1,0.5906293923384961,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,-1,-1,-1,-1,0.36874816788463294,-1,0.17898411414337168,0.3841150899215964,0.299490590908989,-1,0.24582920646223805,0.4534725377419073,-1,-1,-1,0.2511794521936277,-1,0.3983231994518539,-1,-1,-1,-1,-1,0.21683860225315676,-1,0.4524155699327004,-1,-1,-1,0.398181891705059,-1
