model,strike,action,due,to,take,place,in,wales,has,been,averted,after,a,``,significant,'',change,of,direction,by,the,welsh,government,the,fbu,said,.
firefighters,0.2352755243074569,0.23264621829602927,-1,-1,0.17829032844558745,0.13509139120835634,-1,0.23216454324562297,-1,-1,0.20732612475808931,-1,-1,-1,0.20949200997081752,-1,0.16227429577818753,-1,-0.002250466877279589,-1,-1,0.22764366662735513,0.23537343428153634,-1,0.039247674090297724,-1,-1
across,0.24637755404559947,0.32966596562856587,-1,-1,0.3755758701879559,0.41261362799111345,-1,0.6137496765456392,-1,-1,-0.07108645536615854,-1,-1,-1,0.4289848245458595,-1,0.3648782948015825,-1,0.31038443172765917,-1,-1,0.404614629085986,0.35882622637438644,-1,0.016574257731121866,-1,-1
england,0.2734906593840627,0.3707840181918627,-1,-1,0.39717839715665837,0.38831787208018187,-1,0.8192317206687526,-1,-1,-0.12541274600666963,-1,-1,-1,0.3834853032422705,-1,0.34011081815144606,-1,0.1340285810812799,-1,-1,0.4147154430819735,0.3351427687918097,-1,0.005267025506865308,-1,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,0.3049036293604517,0.30506098260230763,-1,-1,0.2421419517004335,0.2654706154045059,-1,0.18607545047354868,-1,-1,0.05087148190833979,-1,-1,-1,0.1606823583330219,-1,0.16168555476215318,-1,0.08119043836813422,-1,-1,0.07920552019990545,0.0011796095333693746,-1,-0.012828258674098869,-1,-1
strike,1.0,0.6217219460456571,-1,-1,0.3548386114142492,0.23362288126487474,-1,0.24863969667048313,-1,-1,0.1478404333153569,-1,-1,-1,0.3081144081605721,-1,0.3284555864376424,-1,0.09336404216084682,-1,-1,0.14823514395013748,0.31125359114780027,-1,0.005422429455086086,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
