model,fbu,members,went,on,strike,in,england,and,wales,in,august,over,the,same,dispute,.
firefighters,0.039247674090297724,0.32380880328750616,0.2362366250522958,-1,0.2352755243074569,-1,0.10617705448816772,-1,0.23216454324562297,-1,0.1909468602602591,-1,-1,0.14002823798121133,0.20679840626052703,-1
across,0.016574257731121866,0.4093145743031237,0.4015544199767611,-1,0.24637755404559947,-1,0.5078748036035192,-1,0.6137496765456392,-1,0.3161707273588432,-1,-1,0.4130440825874435,0.3744160983410334,-1
england,0.005267025506865308,0.320553787980703,0.45503925893594266,-1,0.2734906593840627,-1,1.0,-1,0.8192317206687526,-1,0.40353037681356474,-1,-1,0.4007752631992061,0.27623195411598833,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,-0.012828258674098869,0.11606092735025886,0.1843721122083556,-1,0.3049036293604517,-1,0.18807803166421533,-1,0.18607545047354868,-1,0.24508194382318227,-1,-1,0.28998915548308046,0.31820389349558975,-1
strike,0.005422429455086086,0.3864343038299314,0.4930568272518966,-1,1.0,-1,0.2734906593840627,-1,0.24863969667048313,-1,0.35780650302129546,-1,-1,0.2856535412110677,0.49286374342975225,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,0.011998486997828905,0.2881599234455705,0.5190325250416082,-1,0.35036647860310866,-1,0.34657502224901826,-1,0.3650123769260769,-1,0.33783071239281326,-1,-1,0.4901500560666803,0.6366707651624158,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,-0.29953484230852356,0.277908523573143,0.17431198683924098,-1,0.1897298535493388,-1,0.32867984103053705,-1,0.4102462521666608,-1,0.13815347522042798,-1,-1,0.17620028532116572,0.2665938147653436,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,0.021744423336159557,0.4168196984841879,0.5252560692823675,-1,0.21514649225696192,-1,0.4285193882709889,-1,0.46214799841440657,-1,0.36509529282030617,-1,-1,0.6129520999032285,0.29034574289307413,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,-0.05181060478944621,0.41527774413395413,0.3268233705642445,-1,0.2963011609787243,-1,0.3909200532014261,-1,0.5425026137481489,-1,0.36655119931702496,-1,-1,0.41815525766340333,0.3983231994518539,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,0.12745048979649187,0.16995498805137432,0.18232402657395097,-1,0.12642205327377742,-1,0.19646888686563746,-1,0.24996012283446745,-1,0.2681643203513264,-1,-1,0.4345190999652213,0.21870785250587388,-1
weekends,-0.04777622411218885,0.22235561389368896,0.2546512167777081,-1,0.1538414872971512,-1,0.1568356358134021,-1,0.17542284782907336,-1,0.2754274864020507,-1,-1,0.43257880612218136,0.3282012750961516,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.009948561610392148,0.4276854508504444,0.5562307866904648,-1,0.3701281046244851,-1,0.5307115366225226,-1,0.5421669812925414,-1,0.6518486218138607,-1,-1,0.7046454441074894,0.4280616450289707,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
