model,fire,brigades,union,-lrb-,fbu,-rrb-,members,walked,out,at,18:00,gmt,on,friday,and,are,due,back,on,4,november,.
firefighters,0.5968856357130463,0.14194733760558997,0.12684360369556236,-1,0.039247674090297724,-1,0.32380880328750616,0.32181227444796034,-1,-1,-1,0.3302537246872188,-1,0.2468867363060796,-1,-1,-1,-1,-1,-1,0.2332680743555191,-1
across,0.458226354562573,0.06913687550343262,0.40275177005259644,-1,0.016574257731121866,-1,0.4093145743031237,0.47875783784083215,-1,-1,-1,0.20532631112301036,-1,0.34863519754161054,-1,-1,-1,-1,-1,-1,0.35138852074574367,-1
england,0.32438665832190283,0.060067292856477605,0.37619386388432563,-1,0.005267025506865308,-1,0.320553787980703,0.19309454272025006,-1,-1,-1,0.24558756975811302,-1,0.38281782033333256,-1,-1,-1,-1,-1,-1,0.44189739193025246,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,0.14775149934144904,0.14520197205701724,0.19738528015011292,-1,-0.012828258674098869,-1,0.11606092735025886,0.04893806363696629,-1,-1,-1,0.048072058124341455,-1,0.37130538257001167,-1,-1,-1,-1,-1,-1,0.27058140690339916,-1
strike,0.280056817014642,0.10437821610093634,0.4020550421776212,-1,0.005422429455086086,-1,0.3864343038299314,0.2977961337880318,-1,-1,-1,0.18408702055710946,-1,0.4611603580540651,-1,-1,-1,-1,-1,-1,0.38272369781796156,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,0.3135443611429465,0.09250142043836773,0.3216255242143504,-1,0.011998486997828905,-1,0.2881599234455705,0.3653971902535579,-1,-1,-1,0.2555752839729528,-1,0.35347476570604197,-1,-1,-1,-1,-1,-1,0.3609415422835921,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,0.16413402863444027,0.18618552839757596,0.5141614698082252,-1,-0.29953484230852356,-1,0.277908523573143,0.12073040385258038,-1,-1,-1,0.10603844658694894,-1,0.18812990560894494,-1,-1,-1,-1,-1,-1,0.1553454373784009,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,0.3766572015758469,0.03125117143801659,0.3773827865325642,-1,0.021744423336159557,-1,0.4168196984841879,0.35181581667802186,-1,-1,-1,0.27921394807735533,-1,0.4603912448026384,-1,-1,-1,-1,-1,-1,0.3768718110080833,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,0.6191776878717906,0.1560046886354477,0.49208228456694236,-1,-0.05181060478944621,-1,0.41527774413395413,0.29869456020073226,-1,-1,-1,0.2559466407537201,-1,0.45511593942816553,-1,-1,-1,-1,-1,-1,0.36668364449897095,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,0.20401254850712236,0.12356669497151596,0.1438385614934513,-1,0.12745048979649187,-1,0.16995498805137432,0.06155689886825633,-1,-1,-1,0.1413880538605512,-1,0.34006809812034544,-1,-1,-1,-1,-1,-1,0.2504245722219258,-1
weekends,0.19512614893633773,0.056611381089836765,0.058745856232768734,-1,-0.04777622411218885,-1,0.22235561389368896,0.2379198591640299,-1,-1,-1,0.24337753749764712,-1,0.3284997771641205,-1,-1,-1,-1,-1,-1,0.26545859282003637,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.2519761291277003,-0.020425572394759728,0.40622237024111096,-1,0.009948561610392148,-1,0.4276854508504444,0.2880080396177547,-1,-1,-1,0.42341408887141463,-1,0.5618486755331175,-1,-1,-1,-1,-1,-1,0.6607380331732047,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
