model,one,firefighter,and,his,son,carved,pumpkins,together,and,tweeted,a,photo,in,support,of,the,strike,.
firefighters,0.2531169190522552,0.31705884631734405,-1,-1,0.11757724736487996,0.25282927979428593,0.15761023619148495,0.3606090305346483,-1,0.1922636392804572,-1,0.10267109167915256,-1,0.26918419198947197,-1,-1,0.2352755243074569,-1
across,0.38106060255403984,0.04022556751457751,-1,-1,0.12804124912049886,0.17137524679200344,-0.12525850569312635,0.5547199156465502,-1,0.18778649590631724,-1,0.14107715192714465,-1,0.5023889702074958,-1,-1,0.24637755404559947,-1
england,0.4285193882709889,0.13205657130841508,-1,-1,0.3332548953241765,0.03342183360171147,-0.26159658822331755,0.3771264256259975,-1,0.2569871251325784,-1,0.07421918717841647,-1,0.45321192135059163,-1,-1,0.2734906593840627,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,0.17567793412321242,0.03387058599139392,-1,-1,0.09977056122924277,0.08817770217499699,0.07807734467281102,0.1969082922331995,-1,0.10920586006796007,-1,0.22110564861354898,-1,0.10538189603873538,-1,-1,0.3049036293604517,-1
strike,0.21514649225696192,0.034297566321295214,-1,-1,0.20065446840965295,0.17576250772648871,-0.05748357066742771,0.2515702827758518,-1,0.16591408669949348,-1,0.17754033630014854,-1,0.3680848864088123,-1,-1,1.0,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,0.370428097902358,0.13630245472992886,-1,-1,0.30943842921323395,0.14093766004842867,-0.08126977598529095,0.4248743110166826,-1,0.27614288483383675,-1,0.2218696881915213,-1,0.2973255520882685,-1,-1,0.35036647860310866,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,0.1134874766663736,0.07923593785193273,-1,-1,0.1854457295452865,-0.024885737590844892,-0.28513544801127844,0.20455032227297099,-1,0.23401206947717068,-1,0.04358610847505551,-1,0.4366137217879733,-1,-1,0.1897298535493388,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,1.0,0.43441565917339786,-1,-1,0.41999553768153874,0.191803806879831,-0.23075636167179248,0.43106745493490606,-1,0.4418174035480018,-1,0.4062867371977281,-1,0.3888821406155891,-1,-1,0.21514649225696192,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,0.4039077387700689,0.21683860225315676,-1,-1,0.21818143274648882,0.01229718844833283,-0.17474039803798802,0.32356810293950833,-1,0.30874179454560924,-1,0.2437513085793318,-1,0.5516987678584322,-1,-1,0.2963011609787243,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,0.39837831226479725,0.18946673496776445,-1,-1,0.09438791600049501,0.047440430005730394,0.09646250165764891,0.2632405522163237,-1,0.08218156807460963,-1,0.12791843857272833,-1,0.0748651744053318,-1,-1,0.12642205327377742,-1
weekends,0.2750200202747277,0.12090815619026707,-1,-1,0.12523925457780583,0.08588020412693109,0.3500144126688478,0.3917978996222071,-1,0.043472429595413975,-1,0.16575708805096934,-1,0.20932662987704598,-1,-1,0.1538414872971512,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.5732579022159809,0.1098953474415495,-1,-1,0.39294231586250805,0.06836658248612826,-0.14243907659183086,0.47258816732661457,-1,0.3682696988715656,-1,0.3579261934377007,-1,0.4879917860832257,-1,-1,0.3701281046244851,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
