model,some,fire,brigades,have,warned,the,public,could,be,left,``,vulnerable,'',and,small,fires,may,not,be,attended,.
firefighters,-1,0.5968856357130463,0.14194733760558997,-1,0.2742004962229603,-1,0.13326361815004883,-1,-1,0.24161961464092974,-1,0.36387803943921193,-1,-1,0.3004595095977378,0.4939972224119944,-1,-1,-1,0.48645174384234324,-1
across,-1,0.458226354562573,0.06913687550343262,-1,0.3842906038997411,-1,0.4151066310167941,-1,-1,0.363633677997828,-1,0.44230954824133484,-1,-1,0.5489737248779987,0.42586557137793524,-1,-1,-1,0.35949369698806666,-1
england,-1,0.32438665832190283,0.060067292856477605,-1,0.45521512811128795,-1,0.36335235608362737,-1,-1,0.30674226880813427,-1,0.34361782032328736,-1,-1,0.33463896453202935,0.18260580807641968,-1,-1,-1,0.2455874713047359,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,-1,0.14775149934144904,0.14520197205701724,-1,0.0039362393184991795,-1,0.131372176901994,-1,-1,0.061714255883670854,-1,0.06450419727994461,-1,-1,0.07787230001929568,0.2875487976462874,-1,-1,-1,0.30683753181241225,-1
strike,-1,0.280056817014642,0.10437821610093634,-1,0.2786394021456542,-1,0.235480578431282,-1,-1,0.34477123409789145,-1,0.2463687281130904,-1,-1,0.27123567873878673,0.1365774259181607,-1,-1,-1,0.23715403115681943,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,-1,0.3135443611429465,0.09250142043836773,-1,0.2648766098877806,-1,0.31780944563946,-1,-1,0.34504111824369155,-1,0.19809260034155907,-1,-1,0.31103621930973446,0.3719091966996526,-1,-1,-1,0.1256849130746006,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,-1,0.16413402863444027,0.18618552839757596,-1,0.42814645218420755,-1,0.3702422718436015,-1,-1,0.19975434708253303,-1,0.38009095520670855,-1,-1,0.23626944201812705,0.0618723969910947,-1,-1,-1,0.17814384191246524,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,-1,0.3766572015758469,0.03125117143801659,-1,0.382145013659855,-1,0.2835647249416764,-1,-1,0.46545768697419077,-1,0.4736814605383455,-1,-1,0.5780953203849138,0.28605158012514853,-1,-1,-1,0.3330594265693334,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,-1,0.6191776878717906,0.1560046886354477,-1,0.43345857667928667,-1,0.5199215754788651,-1,-1,0.29364200784416583,-1,0.41352919548085676,-1,-1,0.45049868531293213,0.20008762839530325,-1,-1,-1,0.5805138253015021,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,-1,0.20401254850712236,0.12356669497151596,-1,-0.006238844822353817,-1,0.163556154554641,-1,-1,0.05127113194202526,-1,0.07844767866130564,-1,-1,0.26990968890982847,0.21647313917179156,-1,-1,-1,0.25053899401116486,-1
weekends,-1,0.19512614893633773,0.056611381089836765,-1,0.06452543619884188,-1,0.27470387434098675,-1,-1,0.1541955900552402,-1,0.39669194140461195,-1,-1,0.2221353491071898,0.36566588808353195,-1,-1,-1,0.3608299121023013,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.2519761291277003,-0.020425572394759728,-1,0.46143547956644626,-1,0.4114399784740914,-1,-1,0.3841078594267471,-1,0.40080185143540303,-1,-1,0.4808657122933663,0.2482614788499471,-1,-1,-1,0.3866893712747854,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
