model,union,officials,say,that,under,the,government,'s,proposals,firefighters,will,have,to,work,until,they,are,60,instead,of,55,pay,more,into,their,pensions,and,get,less,in,retirement,.
firefighters,0.12684360369556236,0.31551632569133403,-1,-1,0.2234072962298349,-1,0.23537343428153634,-1,0.24469625092917413,1.0,-1,-1,-1,-1,0.24298402007316866,-1,-1,0.5020475104975,0.3089820934417826,-1,0.43271306815108435,0.20637656267222382,-1,-1,-1,0.1263576788822275,-1,0.28212837386659984,0.24038835111706336,-1,0.05464566192736875,-1
across,0.40275177005259644,0.37683099911958884,-1,-1,0.3442851272968086,-1,0.35882622637438644,-1,0.37953362213400366,0.30527156821411205,-1,-1,-1,-1,0.27550473300378175,-1,-1,0.466778532990501,0.3693239385409204,-1,0.32734088534039585,0.35401296612900834,-1,-1,-1,0.21554994951446105,-1,0.4095385983545552,0.34431570705903114,-1,0.16528529527351,-1
england,0.37619386388432563,0.3376692293496135,-1,-1,0.3477674071426804,-1,0.3351427687918097,-1,0.37727310681503967,0.10617705448816772,-1,-1,-1,-1,0.3550320907109846,-1,-1,0.412146721272181,0.36168357008547825,-1,0.4025953636654389,0.39085607564265845,-1,-1,-1,0.32867984103053705,-1,0.38311769762079084,0.3774815818247823,-1,0.3048248497116839,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,0.19738528015011292,0.12404607875793472,-1,-1,0.11491481128521341,-1,0.0011796095333693746,-1,0.16385046448224827,-0.06192865759087063,-1,-1,-1,-1,0.21044671557126238,-1,-1,-0.018529822471336388,0.09960265775187349,-1,0.03733071916639863,0.07785699844519645,-1,-1,-1,0.06334862092932458,-1,0.157122121252534,0.07231893141202805,-1,0.22528495106375424,-1
strike,0.4020550421776212,0.3174195023731422,-1,-1,0.24600482800249457,-1,0.31125359114780027,-1,0.332482709486706,0.2352755243074569,-1,-1,-1,-1,0.27697913877315095,-1,-1,0.27147983565181333,0.1988082389813306,-1,0.25414312893181346,0.4006756059759239,-1,-1,-1,0.1897298535493388,-1,0.31317187755709064,0.25328042368605785,-1,0.28798503230353134,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,0.3216255242143504,0.30512997757883276,-1,-1,0.26821030808473045,-1,0.3006872306432833,-1,0.27215050284491515,0.19283746621697528,-1,-1,-1,-1,0.30608734338113575,-1,-1,0.41545845138323934,0.20187088561994637,-1,0.3723802780109917,0.28146213163545253,-1,-1,-1,0.11049489372608157,-1,0.29473609434242765,0.20757831920343672,-1,0.15474816325017038,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,0.5141614698082252,0.3798277553752709,-1,-1,0.26331625578506035,-1,0.38187140327685076,-1,0.3971107302224355,0.1263576788822275,-1,-1,-1,-1,0.19026947097732372,-1,-1,0.11191349970760522,0.2797661311423556,-1,0.19347551840874933,0.3998570684567745,-1,-1,-1,1.0,-1,0.18777581022640288,0.18422599979784937,-1,0.3012605710170544,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,0.3773827865325642,0.4487093367522652,-1,-1,0.3757380896711817,-1,0.3496286568693796,-1,0.3495853310993198,0.2531169190522552,-1,-1,-1,-1,0.38705968289692283,-1,-1,0.4756230990612287,0.5148978351993647,-1,0.42898449694277296,0.33431194000126885,-1,-1,-1,0.1134874766663736,-1,0.479131687212321,0.43511299281714577,-1,0.1956933895369698,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,0.49208228456694236,0.49549168111604025,-1,-1,0.3420829672991732,-1,0.32344427360165584,-1,0.34028452382430197,0.3662638618496693,-1,-1,-1,-1,0.4204221960687362,-1,-1,0.3268437011575689,0.4514904634119752,-1,0.28081720336908034,0.44864901654760814,-1,-1,-1,0.435935898835926,-1,0.37512055451944515,0.30018165632828375,-1,0.21894310144174445,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,0.1438385614934513,0.06662095715041672,-1,-1,0.10004184529903815,-1,0.05117735470839291,-1,0.14299553922632047,0.035823025034361744,-1,-1,-1,-1,0.19204883563127406,-1,-1,0.2401372158688635,0.15257156514680514,-1,0.16241709400689286,0.06311069670669944,-1,-1,-1,-0.10558317028094999,-1,0.1546400338947982,0.2065636248956806,-1,0.06265314302778136,-1
weekends,0.058745856232768734,0.1736202368768186,-1,-1,0.17267425462451613,-1,0.09558136275564977,-1,0.18894802979417125,0.33948484271483514,-1,-1,-1,-1,0.310959080631682,-1,-1,0.3540499174132552,0.3055989730302523,-1,0.33337236640871426,0.2533858350663545,-1,-1,-1,0.11203128694175024,-1,0.267347865240112,0.35611355800748457,-1,0.22881043532906054,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.40622237024111096,0.44444409249199435,-1,-1,0.395800956548757,-1,0.46018287011009185,-1,0.5035694406538718,0.2416147935773213,-1,-1,-1,-1,0.5179607313255368,-1,-1,0.6862864202505999,0.47526844931459933,-1,0.5460526700872695,0.5786578184299368,-1,-1,-1,0.2876624602254938,-1,0.45593937073680335,0.5604269447956569,-1,0.47097355892590165,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
