model,``,the,real,scandal,is,that,their,own,pensions,are,by,far,the,most,generous,anywhere,in,the,public,sector,'',he,said,.
firefighters,-1,-1,0.03428429790908727,0.19419052101496248,-1,-1,-1,0.11981848677720153,0.1263576788822275,-1,-1,0.2090237718416632,-1,-1,0.1267587386711967,0.12874400205379932,-1,-1,0.13326361815004883,0.19756029124886587,-1,-1,-1,-1
across,-1,-1,0.2730568880291362,0.2770636154637156,-1,-1,-1,0.3962157570113036,0.21554994951446105,-1,-1,0.5414879507483555,-1,-1,0.1470918570475086,0.4134685215949512,-1,-1,0.4151066310167941,0.5010183304539735,-1,-1,-1,-1
england,-1,-1,0.4349471647778228,0.16712862186796373,-1,-1,-1,0.371381651351562,0.32867984103053705,-1,-1,0.43461906091411484,-1,-1,0.06139154192596541,0.2582413216892646,-1,-1,0.36335235608362737,0.3156522031864898,-1,-1,-1,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,-1,-1,0.07358408875876998,0.2634376910274012,-1,-1,-1,0.15996677117068037,0.06334862092932458,-1,-1,0.06459032511355167,-1,-1,0.014116296282749019,0.10174271434865878,-1,-1,0.131372176901994,0.14516313658323599,-1,-1,-1,-1
strike,-1,-1,0.2328573893389121,0.33005329848587106,-1,-1,-1,0.25407605993116544,0.1897298535493388,-1,-1,0.3263291119729934,-1,-1,0.17544669276692215,0.1401055626415506,-1,-1,0.235480578431282,0.2677679609699948,-1,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,-1,-1,0.3792113445484935,0.5340830282628237,-1,-1,-1,0.3260745455303541,0.11049489372608157,-1,-1,0.3049254784839075,-1,-1,-0.03502204396476083,0.20019435272839436,-1,-1,0.31780944563946,0.2210492164208383,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,-1,-1,0.20503513725688605,0.0971092380729015,-1,-1,-1,0.2694881435769547,1.0,-1,-1,0.14523594216938318,-1,-1,0.2086276519714395,-0.004131519123152794,-1,-1,0.3702422718436015,0.5113411848219344,-1,-1,-1,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,-1,-1,0.4765791003248081,0.30671081880964546,-1,-1,-1,0.46167746663652487,0.1134874766663736,-1,-1,0.4544420909116619,-1,-1,0.24775852149877775,0.3857655450653441,-1,-1,0.2835647249416764,0.3595579238848582,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,-1,-1,0.23953661538728532,0.28479605712911216,-1,-1,-1,0.38677627712410323,0.435935898835926,-1,-1,0.2770526181140418,-1,-1,0.18656024597199472,0.19644394082066574,-1,-1,0.5199215754788651,0.5678289544523741,-1,-1,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,-1,-1,0.031407637286390844,0.23850713710267668,-1,-1,-1,0.17012539550465733,-0.10558317028094999,-1,-1,0.18036455508539206,-1,-1,0.04355177806094124,0.24787630965053442,-1,-1,0.163556154554641,0.292135318078905,-1,-1,-1,-1
weekends,-1,-1,0.04574407668224889,0.20489773799945465,-1,-1,-1,0.1543324366926222,0.11203128694175024,-1,-1,0.1891665794712345,-1,-1,0.21807912245402383,0.3113793551471792,-1,-1,0.27470387434098675,0.2969544258681016,-1,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,-1,0.40732112682762867,0.377850546413133,-1,-1,-1,0.41734470215806163,0.2876624602254938,-1,-1,0.525331924407185,-1,-1,0.2797031624738583,0.34351909100990774,-1,-1,0.4114399784740914,0.531267889405878,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
