model,the,fire,minister,said,:,``,all,fire,and,rescue,authorities,have,robust,and,well-tested,plans,in,place,that,include,back-up,support,if,needed,.
firefighters,-1,0.5968856357130463,0.112158866693845,-1,-1,-1,0.27517020111017176,0.5968856357130463,-1,0.4558261559494463,0.30311741590330277,-1,0.210126504480592,-1,-0.25827564829599514,0.20487874547100526,-1,0.13509139120835634,-1,0.11641854986371825,0.08825752256833908,0.26918419198947197,-1,0.36927806608549485,-1
across,-1,0.458226354562573,0.23745161438680595,-1,-1,-1,0.5467318269695214,0.458226354562573,-1,0.4319566499135302,0.41703141974927316,-1,0.2623959901230013,-1,-0.3161639437849746,0.35780979034775806,-1,0.41261362799111345,-1,0.3943284309084667,0.04505498803127428,0.5023889702074958,-1,0.36449150313689016,-1
england,-1,0.32438665832190283,0.38776458669237357,-1,-1,-1,0.4583213297112494,0.32438665832190283,-1,0.34951256847331125,0.38454733580324585,-1,0.20854732279378596,-1,-0.4125232277164792,0.3608168820145877,-1,0.38831787208018187,-1,0.40592899835138485,0.14875905302385628,0.45321192135059163,-1,0.44211583863344606,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,-1,0.14775149934144904,0.03228303748590555,-1,-1,-1,0.1500816943857195,0.14775149934144904,-1,0.17784510470137205,0.09402333545099617,-1,0.14930930465931347,-1,-0.20445272605435916,0.14302798736896227,-1,0.2654706154045059,-1,0.0789118258369329,0.08058280873534074,0.10538189603873538,-1,0.06822463317998972,-1
strike,-1,0.280056817014642,0.22278307848595946,-1,-1,-1,0.35885994381295827,0.280056817014642,-1,0.37259149861189267,0.3287435262390812,-1,0.26259286634109347,-1,-0.30302385870191184,0.32968122674654565,-1,0.23362288126487474,-1,0.21712453506798202,0.21799568070073438,0.3680848864088123,-1,0.36045787979636157,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,-1,0.3135443611429465,0.24040285928819582,-1,-1,-1,0.38735223598871893,0.3135443611429465,-1,0.24983106312098657,0.2880086223435485,-1,0.1022353759689566,-1,-0.38651236302815795,0.24068058258737945,-1,0.41306107626543365,-1,0.14560512834586503,0.01635512340878864,0.2973255520882685,-1,0.24395584260172853,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,-1,0.16413402863444027,0.5246249617264261,-1,-1,-1,0.2322930196913282,0.16413402863444027,-1,0.2997984534592133,0.37232004781484684,-1,0.2801463983967284,-1,-0.27498020639359266,0.3965516812771577,-1,0.18366940507613605,-1,0.2973752660336495,0.21044966940861254,0.4366137217879733,-1,0.3413196560535683,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,-1,0.3766572015758469,0.30429513185281065,-1,-1,-1,0.46303184839863953,0.3766572015758469,-1,0.29559046475792883,0.35011649453464067,-1,0.19832539339946154,-1,-0.6252579936462652,0.30953049141982625,-1,0.48955470670406354,-1,0.38148880084376335,0.14133733278775207,0.3888821406155891,-1,0.43993997044291056,-1
