model,``,so,for,me,it,'s,about,turning,up,to,races,in,the,best,possible,shape,i,can,and,showing,people,what,i,can,do,.
britain,-1,0.5787740835647235,-1,0.49024160272808714,-1,-1,-1,0.35582287463558004,-1,-1,0.4377385460503691,-1,-1,0.6506968595722596,0.497792019441579,0.5360513741143296,-1,-1,-1,0.3065391736786641,0.48192005344852307,-1,-1,-1,0.5811797075728067,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jack,-1,0.21857590891132528,-1,0.2991671068169528,-1,-1,-1,0.19012819648850954,-1,-1,0.04676852338698534,-1,-1,0.1984538914361046,0.07964643678635153,0.05947057188909499,-1,-1,-1,0.11341653213751746,0.19880496018399596,-1,-1,-1,0.18971867796136022,-1
burnell,-1,-0.3250652491870647,-1,-0.24155866125886538,-1,-1,-1,-0.24575538934919416,-1,-1,-0.254457467743078,-1,-1,-0.22378209763038392,-0.18414764071296674,-0.3185687365307235,-1,-1,-1,-0.28369041510340054,-0.3968770780000348,-1,-1,-1,-0.3447660329487985,-1
won,-1,0.49356086470577876,-1,0.4044497111309656,-1,-1,-1,0.2513465970557843,-1,-1,0.6043301673289574,-1,-1,0.5365480345235621,0.2701085273407624,0.2761199535666021,-1,-1,-1,0.23465902692502394,0.3262862788247276,-1,-1,-1,0.4405565488540446,-1
gold,-1,0.32539077262129334,-1,0.25951715700499567,-1,-1,-1,0.22307596757775672,-1,-1,0.5231957797439434,-1,-1,0.43587517753929506,0.19354873120427663,0.21521281478256782,-1,-1,-1,0.23488625474948477,0.27131103553548885,-1,-1,-1,0.26418913221847296,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abu,-1,-0.02175925922368127,-1,-0.10495519204857695,-1,-1,-1,0.03541283709648757,-1,-1,0.10365857847138538,-1,-1,0.07747738036361607,0.04321720558877473,0.015271677760902325,-1,-1,-1,0.05197669399063676,-0.07157607689682677,-1,-1,-1,-0.06056870652835711,-1
dhabi,-1,-0.060603739783955834,-1,-0.09915572913739412,-1,-1,-1,-0.030031031451592582,-1,-1,0.09117656220488757,-1,-1,-0.0024286216891991064,-0.04393350427211096,0.013890506191453822,-1,-1,-1,-0.014732615842192542,-0.05561853178602694,-1,-1,-1,-0.07389232343183827,-1
leg,-1,0.35195315994381904,-1,0.32861425331439786,-1,-1,-1,0.39487513627380977,-1,-1,0.4542159982415588,-1,-1,0.33834708617521314,0.2537751090477156,0.3868504417639055,-1,-1,-1,0.2879420506771253,0.2894943610749525,-1,-1,-1,0.2895512469661744,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10km,-1,0.05028011761365292,-1,0.03927939304484118,-1,-1,-1,0.1338447782555161,-1,-1,0.12010596902466864,-1,-1,0.06447567275683674,-0.0038051156661240704,0.0039093205766823624,-1,-1,-1,0.019015547908066144,0.123780347829064,-1,-1,-1,0.03758386865101904,-1
marathon,-1,0.2195427144707588,-1,0.1433211085597227,-1,-1,-1,0.15206070600011024,-1,-1,0.4154228737450223,-1,-1,0.2919718807522763,0.15613972899101114,0.15773995889112402,-1,-1,-1,0.14403617321916695,0.1921274639594568,-1,-1,-1,0.14247455114494856,-1
swimming,-1,0.38132887202860677,-1,0.2745333047168341,-1,-1,-1,0.3739240396094998,-1,-1,0.4289174729333525,-1,-1,0.4445987116624315,0.25455009218975033,0.3651329952020941,-1,-1,-1,0.2808415515373879,0.333625876371776,-1,-1,-1,0.3476602904815904,-1
world,-1,0.4367402805128955,-1,0.32029942546504686,-1,-1,-1,0.30310329426532867,-1,-1,0.35282006258248577,-1,-1,0.44740417595421744,0.29766293853971315,0.3446929098525171,-1,-1,-1,0.27775797250506584,0.36496800442501287,-1,-1,-1,0.36521924608230627,-1
cup,-1,0.3573938927713547,-1,0.2616925048529941,-1,-1,-1,0.2752565618253404,-1,-1,0.45332395522960356,-1,-1,0.4177107482610033,0.26811130029805885,0.2681958158796429,-1,-1,-1,0.19317810672769464,0.27035723560165636,-1,-1,-1,0.3164888719905603,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
