model,in,burnell,'s,first,action,of,the,season,he,beat,a,field,of,more,than,80,swimmers,at,emirates,palace,bay,.
britain,-1,-0.16008098930503278,-1,-1,0.44897620387901704,-1,-1,0.43885654651302275,-1,0.5020257339508674,-1,0.5023466598842652,-1,-1,-1,0.4244659351996056,0.39263461429960667,-1,0.1536183982422611,0.3888306898967214,0.17381120716602416,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jack,-1,0.35219566069526986,-1,-1,0.12801149540350587,-1,-1,0.262986934889579,-1,0.39531951188280745,-1,0.18050882612296315,-1,-1,-1,0.3131210959096762,0.07050584706017005,-1,0.4268916416295683,0.4492382364609082,0.25434063218314673,-1
burnell,-1,1.0,-1,-1,-0.23083527826270722,-1,-1,-0.20225847522657747,-1,-0.1281480655458349,-1,-0.23730735155713778,-1,-1,-1,-0.4563083154593073,-0.07289431379662492,-1,-0.05667678177062885,0.01902516579232305,-0.10382953006564888,-1
won,-1,-0.14985642782447295,-1,-1,0.3127358675405766,-1,-1,0.48999014006881647,-1,0.5350823324892265,-1,0.3364195776769662,-1,-1,-1,0.4400054041110881,0.37066645146338884,-1,0.18291062595927166,0.44330384859259575,0.14788362554744405,-1
gold,-1,-0.02450086089418191,-1,-1,0.18921309375376527,-1,-1,0.307510469239606,-1,0.4038329545595859,-1,0.31295101535021286,-1,-1,-1,0.3739787526623426,0.39647969363048774,-1,0.19968085200172336,0.46478348230994604,0.12728957933984408,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abu,-1,0.12603744788499882,-1,-1,0.11455110299035842,-1,-1,0.0877792484357367,-1,0.12669300782663406,-1,0.14005315596392343,-1,-1,-1,0.0820559331757913,0.12677840662027617,-1,0.20570169703712593,0.44514513093328323,0.2718988504164346,-1
dhabi,-1,-0.15732626240119818,-1,-1,0.011504507823460797,-1,-1,0.020906371682902658,-1,0.06011946738309237,-1,0.03993406532057486,-1,-1,-1,0.16210549052084666,0.01647307405305376,-1,0.8681161870273938,0.16815998594304493,0.19335275531081053,-1
leg,-1,-0.48614613639287607,-1,-1,0.38682439951915126,-1,-1,0.48436392325623134,-1,0.4583602918159372,-1,0.48063527316325594,-1,-1,-1,0.3775174480180259,0.13417847606029287,-1,0.23721598811555877,0.3127855951483034,0.14938598052957897,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10km,-1,0.10444397958527862,-1,-1,0.0005424947033585426,-1,-1,0.25463186385350134,-1,0.22564964445654223,-1,0.13808851235802333,-1,-1,-1,0.23319235963413354,0.012364284561485861,-1,-0.166454751027453,0.390157192383882,0.1536926512926582,-1
marathon,-1,0.15994613930917356,-1,-1,0.13803548042927027,-1,-1,0.34706440186199905,-1,0.3193367971489056,-1,0.27575469373726413,-1,-1,-1,0.1375165626439252,0.166212195158415,-1,0.3457000047550862,0.4699540794651802,0.12922726897546566,-1
swimming,-1,-0.402036859992273,-1,-1,0.33325003529783337,-1,-1,0.3641192684031993,-1,0.36672680755277165,-1,0.5011379402269087,-1,-1,-1,0.47881358267351914,0.3777904826880155,-1,0.28984251915029824,0.363608354176124,0.3057066089599595,-1
world,-1,-0.1619104497678412,-1,-1,0.3000157112358681,-1,-1,0.3076197567098615,-1,0.457082805878152,-1,0.35266104385530916,-1,-1,-1,0.3428414843745934,0.2364992330627118,-1,0.1487056013838105,0.22544688012422642,0.05040412360347213,-1
cup,-1,-0.12033813910626745,-1,-1,0.4050790602319553,-1,-1,0.5100268674828872,-1,0.5451770127754482,-1,0.27884720012578756,-1,-1,-1,0.2759035467743016,0.37238904829519515,-1,0.2121519898206623,0.42841133328214276,0.09412209142657879,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
