model,``,at,the,end,of,the,day,it,'s,about,ticking,that,box,and,getting,the,first,one,under,my,belt,since,rio,'',said,burnell,.
britain,-1,-1,-1,-1,-1,-1,0.49842574209920776,-1,-1,-1,0.02812974606027896,-1,0.28241850956582204,-1,0.4773172119315059,-1,-1,0.5471735738391563,0.38954189392444105,0.39950204517400867,0.48461386268897866,-1,0.6123609632683541,-1,-1,-0.16008098930503278,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jack,-1,-1,-1,-1,-1,-1,0.2722929929734206,-1,-1,-1,0.02985160923154695,-1,0.40556040393740656,-1,0.22773463999923538,-1,-1,0.2537769437414026,0.187389199957392,0.13052039543492078,0.12358364172983005,-1,0.20878772702595016,-1,-1,0.35219566069526986,-1
burnell,-1,-1,-1,-1,-1,-1,-0.24301186967723343,-1,-1,-1,-0.05786767640850532,-1,-0.15806472247998848,-1,-0.2640353561230726,-1,-1,-0.23063637136246884,-0.23174543748009624,-0.32307189536811953,-0.34508054221350415,-1,-0.04912466000998594,-1,-1,1.0,-1
won,-1,-1,-1,-1,-1,-1,0.39863463197276394,-1,-1,-1,-0.02989616348423607,-1,0.151013889416719,-1,0.3487739539162402,-1,-1,0.4475703616655715,0.2920807189103498,0.3348014330049436,0.4112363704822506,-1,0.564036194371582,-1,-1,-0.14985642782447295,-1
gold,-1,-1,-1,-1,-1,-1,0.3699454956102983,-1,-1,-1,0.03478765136546491,-1,0.21687212584085402,-1,0.2497321349508369,-1,-1,0.36163599865375295,0.1857398076199963,0.23113552348741861,0.46386692332477564,-1,0.710961708993305,-1,-1,-0.02450086089418191,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abu,-1,-1,-1,-1,-1,-1,0.02375178862178784,-1,-1,-1,-0.16074504994317396,-1,0.1630335641320979,-1,-0.1075111000377349,-1,-1,0.1461670022354601,0.13744213637323655,-0.0077000175321164654,0.6285284769503056,-1,0.21969467681918609,-1,-1,0.12603744788499882,-1
dhabi,-1,-1,-1,-1,-1,-1,0.005458280914311997,-1,-1,-1,0.10736258188375758,-1,0.049438196034923054,-1,-0.08167524894153289,-1,-1,0.01972478483642459,0.0032368804589240074,-0.023722782754953764,0.3498526586838444,-1,0.12194339962539591,-1,-1,-0.15732626240119818,-1
leg,-1,-1,-1,-1,-1,-1,0.47699959873865505,-1,-1,-1,0.2482920619068797,-1,0.33770708687359363,-1,0.34610369269072794,-1,-1,0.47409082897533183,0.299448733610019,0.4806591406706633,0.6276024989136639,-1,0.32534865205337926,-1,-1,-0.48614613639287607,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10km,-1,-1,-1,-1,-1,-1,0.19230964898808778,-1,-1,-1,0.023185906056900185,-1,0.3989269880250135,-1,0.06697219961594725,-1,-1,0.15734038448168608,0.07459449997468759,-0.03554001507111737,0.05033690688897796,-1,0.13770355987564842,-1,-1,0.10444397958527862,-1
marathon,-1,-1,-1,-1,-1,-1,0.3347070666044656,-1,-1,-1,0.16806675342221322,-1,0.26804000322869004,-1,0.13328086057572286,-1,-1,0.3133771179042064,0.15891293062635037,0.14748942727372139,0.13126168767185042,-1,0.42553919006037866,-1,-1,0.15994613930917356,-1
swimming,-1,-1,-1,-1,-1,-1,0.43163084705828303,-1,-1,-1,0.06198388729976634,-1,0.2808879380063699,-1,0.3576018801098275,-1,-1,0.41846478952798205,0.30972817641168515,0.3401934144030049,0.7262242195543958,-1,0.4419306008572299,-1,-1,-0.402036859992273,-1
world,-1,-1,-1,-1,-1,-1,0.46625093965417785,-1,-1,-1,0.1232267866240635,-1,0.26509307518478575,-1,0.297114245312753,-1,-1,0.5233370852855473,0.22985801526048055,0.27968325302028374,0.38254623639022844,-1,0.3921925769933967,-1,-1,-0.1619104497678412,-1
cup,-1,-1,-1,-1,-1,-1,0.4787750174169261,-1,-1,-1,0.022644918530089764,-1,0.15378425032977394,-1,0.27064527521240356,-1,-1,0.37426102402186145,0.2654225071922287,0.20704046737768944,0.3610659659193056,-1,0.5403640851835411,-1,-1,-0.12033813910626745,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
