model,south,wales,police,is,not,treating,the,death,as,suspicious,.
tributes,0.028759003460641197,0.035880787335024755,0.19511931688427686,-1,-1,0.12939670796611624,-1,0.2413008284265511,-1,0.18881559306767992,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
paid,0.2780312562882158,0.40950922834546843,0.34164079757315524,-1,-1,0.27532676046897864,-1,0.3136126790279654,-1,0.19004542277630465,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
former,0.495468070317977,0.5281064018206008,0.38579299116775956,-1,-1,0.1854706877832797,-1,0.3089719477735924,-1,0.044208049049705656,-1
glamorgan,0.5435383030334391,0.5194945139218851,0.32543599075372454,-1,-1,0.14617686614700343,-1,0.1953377691022804,-1,-0.03843544520169706,-1
cricketer,0.25315941767214745,0.33916828849674296,0.08325337353711904,-1,-1,0.16392978316904028,-1,0.15629385051465394,-1,0.05745245124679277,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dead,0.31676352437744226,0.20375331233724014,0.5036042575772403,-1,-1,0.4954640904723232,-1,0.4292349586800619,-1,0.34958015044242474,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
swansea,0.6189110473046949,0.5919564854213581,0.39013733726955424,-1,-1,0.19983137868614786,-1,0.2753179518306812,-1,0.07769610903369895,-1
flat,0.40866464079556764,0.239976479265399,0.37695862371333666,-1,-1,0.31749240133959766,-1,0.4197319303574356,-1,0.2742917543790091,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,0.48513185484597154,0.477404554823598,0.4614514733069812,-1,-1,0.22098864740537072,-1,0.3522190229327187,-1,0.19815246017428179,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
