model,jamie,bishop,who,was,44,was,a,left-handed,batsman,who,also,represented,wales,at,minor,county,level,.
tributes,0.11419226240278657,0.03652226315309781,-1,-1,0.22023839809666512,-1,-1,-0.11849364914040339,-0.03580863999699213,-1,-1,0.14916284053004647,0.035880787335024755,-1,0.17872699635426637,0.010803736141608677,0.1426268014294283,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
paid,0.3066864688462557,0.1968023831349648,-1,-1,0.4503566120237361,-1,-1,-0.2032920327494836,0.10147641689107678,-1,-1,0.39940488539204244,0.40950922834546843,-1,0.18522549412396994,0.2634638722728524,0.43564947093100836,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
former,0.5264923020110913,0.569254923147941,-1,-1,0.29447337658976447,-1,-1,0.02346126926451164,0.4961337045222606,-1,-1,0.4454284290735936,0.5281064018206008,-1,0.16930507927334193,0.5128393645383065,0.3428533346213378,-1
glamorgan,0.5339461886351066,0.32804066167170165,-1,-1,0.4132465353216459,-1,-1,0.09807016405493885,0.5644955804914745,-1,-1,0.3322044091451122,0.5194945139218851,-1,0.16970739839320204,0.7142406060210309,0.2942116542851929,-1
cricketer,0.25920368248352266,0.44178997690787514,-1,-1,0.025569890381803018,-1,-1,0.44029300753709677,0.5472772921493191,-1,-1,0.41716720494426995,0.33916828849674296,-1,0.13090959987950856,0.1637871724572325,0.27419508778650103,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dead,0.25770921410043024,0.25708502603640393,-1,-1,0.4027695963929965,-1,-1,-0.09127931082727003,0.06323746065519953,-1,-1,0.23237904123563857,0.20375331233724014,-1,0.27885482243416326,0.35571312844492686,0.22359209908767308,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
swansea,0.5495109316258184,0.3800992961916714,-1,-1,0.4576107576535482,-1,-1,-0.07314608973448711,0.4335549501710705,-1,-1,0.43572356012282154,0.5919564854213581,-1,0.17118565509704842,0.7781894387768161,0.43571454472408955,-1
flat,0.1549689367154361,0.3121406605491073,-1,-1,0.27280150935973824,-1,-1,-0.06330679023324626,0.08068737124489334,-1,-1,0.25860571680051736,0.239976479265399,-1,0.2286995063401429,0.44666671062721575,0.3095674301423146,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
friday,0.22146550084223948,0.19803441662282073,-1,-1,0.43411810002804185,-1,-1,-0.1207421307039298,0.18492235777883903,-1,-1,0.29136115538289076,0.477404554823598,-1,0.26393123981226374,0.4620293234506596,0.3569255736853679,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
