model,advocaat,said,he,would,leave,the,club,to,fulfil,a,promise,to,his,wife,but,changed,his,mind,and,returned,in,june,.
dick,0.8302866132668377,-1,-1,-1,-0.07620001017954459,-1,-0.018168444596270872,-1,-0.019137188945841155,-1,0.11624970938462154,-1,-1,0.20697360779389185,-1,0.13374335376012314,-1,0.05773924324825319,-1,0.04922231002619393,-1,0.023922570171615365,-1
advocaat,1.0,-1,-1,-1,-0.24454704469747912,-1,-0.24650937760974312,-1,0.051064209885552936,-1,0.02917261878794497,-1,-1,0.08572894792801711,-1,0.014389958731278463,-1,-0.1111076527269026,-1,-0.02400867726546685,-1,-0.13651300419728374,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,0.21514828880846526,-1,-1,-1,0.3400297676902152,-1,0.35300669705168963,-1,0.16906394539753222,-1,0.2451458823583732,-1,-1,0.3391637289733933,-1,0.389072365375261,-1,0.25157348098316734,-1,0.5589889894621994,-1,0.41377770353907517,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,0.05009038246596065,-1,-1,-1,0.34457827480836434,-1,0.5346928210711257,-1,0.04880183129704141,-1,0.15458973722331648,-1,-1,0.2765664964089093,-1,0.23155558119458297,-1,0.24051036763758105,-1,0.35473348029801954,-1,0.4360771356388069,-1
boss,0.13254844434481095,-1,-1,-1,0.26375817237987464,-1,0.5908757871731208,-1,0.1096843683359765,-1,0.15950513480795425,-1,-1,0.29874668554702977,-1,0.289026342449178,-1,0.26364322015015307,-1,0.33862702934253885,-1,0.31529697621359687,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,-0.20955980714333644,-1,-1,-1,0.3276674230543706,-1,0.5912309157101902,-1,0.21447005419253673,-1,0.2697049194970257,-1,-1,0.2919308130885836,-1,0.3818943256077917,-1,0.4529894976734179,-1,0.41374202710401053,-1,0.31375840120214593,-1
yet,-0.10466299538240365,-1,-1,-1,0.44315883776884324,-1,0.48832542382548416,-1,0.31229447108332375,-1,0.3676453141325038,-1,-1,0.2586371424401479,-1,0.615446115466473,-1,0.5340714008176496,-1,0.5390711689440377,-1,0.4217428844361062,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,-0.2051451080927631,-1,-1,-1,0.4239450326137234,-1,0.5381926803357104,-1,0.20926815040511804,-1,0.3534510643109525,-1,-1,0.2565570063267435,-1,0.3298591822760085,-1,0.4493549990358858,-1,0.359112223452992,-1,0.4130135646640487,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,-0.22866171815938752,-1,-1,-1,0.38621742592566866,-1,0.7611015814357843,-1,0.24280778242874446,-1,0.21742592642695202,-1,-1,0.25773292852009755,-1,0.3010240435023285,-1,0.3263756634469023,-1,0.3770499771077771,-1,0.44057655776810456,-1
league,-0.256594840503954,-1,-1,-1,0.36585377294211896,-1,0.7783113937633318,-1,0.2059797892277626,-1,0.22031842760090514,-1,-1,0.2073464542894835,-1,0.29795275173862534,-1,0.3279616435199775,-1,0.4059635933103459,-1,0.4822678327666976,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,-0.19306776612471976,-1,-1,-1,0.3902973156794529,-1,0.6785604662020198,-1,0.22170489081795142,-1,0.33959389235093584,-1,-1,0.2587723591929888,-1,0.42520198706083445,-1,0.39973864117750146,-1,0.4717256546224228,-1,0.49716924767262616,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
