model,he,initially,agreed,to,lead,sunderland,only,until,the,end,of,last,season,shedding,tears,as,their,survival,was,secured,with,a,0-0,draw,at,arsenal,.
dick,-1,0.20241860798955558,0.0356947205929834,-1,0.06168900636881203,0.11998993390912582,-0.053244321961495755,-0.09865633944941377,-1,-1,-1,-1,-0.055608356015678595,0.1586728751300932,0.1315018324386843,-1,-1,-0.05252192691007207,-1,-0.058090020227980155,-1,-1,0.04701044854142966,-0.06903209796605614,-1,0.16721669642789827,-1
advocaat,-1,0.026819240380877463,-0.09211770766719818,-1,-0.02349254961631253,0.05009038246596065,-0.15709503644129796,-0.18503640497880047,-1,-1,-1,-1,-0.19306776612471976,0.11660683613298661,0.03907404985011165,-1,-1,-0.2056768109047784,-1,-0.11763522551503014,-1,-1,-0.013336180150255617,-0.20731112922009665,-1,-0.042742555049800846,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,-1,0.41917491710757127,0.41048386559274075,-1,0.34058502569604276,0.28328984979927996,0.28974426341092885,0.3768298377259174,-1,-1,-1,-1,0.28852633700091046,0.06181051679695615,0.3247663682340839,-1,-1,0.13302723210340328,-1,0.3376719008037916,-1,-1,0.09230160480860838,0.07723833114566003,-1,0.26984222939422353,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,-1,0.23592168433695893,0.39376786571792777,-1,0.2903877042113644,1.0,0.38089166481131964,0.3030356446505422,-1,-1,-1,-1,0.44327136128731404,-0.09604385129666548,0.094249485635432,-1,-1,0.2410511122711494,-1,0.4057746243399931,-1,-1,0.29207635351123196,0.4460379321824086,-1,0.7707976520861011,-1
boss,-1,0.27605200425948917,0.37260584509081207,-1,0.3358581195987336,0.5524331271308144,0.35318960630112717,0.30296022850167614,-1,-1,-1,-1,0.43725880580385956,-0.10085969180292054,0.09009610759188669,-1,-1,0.2533897489588166,-1,0.3358494502820235,-1,-1,0.10323108673300707,0.22250268690615616,-1,0.7211118271617314,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,-1,0.33355786566083645,0.34914300209158833,-1,0.4329766340186276,0.3654355575024254,0.49217683288614245,0.34289588524120485,-1,-1,-1,-1,0.45654253329771044,-0.09915382292593122,0.1081404741032741,-1,-1,0.3532995869022608,-1,0.4342114322567501,-1,-1,0.10170754881260657,0.2993088636643988,-1,0.4704706042531801,-1
yet,-1,0.49004627857129457,0.5517205294138161,-1,0.2833757357763893,0.2646195091405149,0.6269953582686147,0.5932182201068201,-1,-1,-1,-1,0.4108302616319799,-0.02598210560729175,0.13247886617337457,-1,-1,0.3386765726834693,-1,0.3769943976007215,-1,-1,0.046531079189854996,0.24909321322056477,-1,0.3372386358063937,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,-1,0.24150894693220404,0.3532898869615926,-1,0.5282687815658329,0.49927445130374726,0.5120908340952394,0.3283600006975068,-1,-1,-1,-1,0.5496869864124249,-0.151372572691151,0.13396098143359914,-1,-1,0.48021247969976655,-1,0.6599900212008046,-1,-1,0.3695348051142975,0.6063588411395127,-1,0.6557683353192268,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,-1,0.21046727260301257,0.4176119431725105,-1,0.2518208607642336,0.5570562418270509,0.5309376804616004,0.3838916114210573,-1,-1,-1,-1,0.7119036843880008,-0.1159177126297144,0.019948044915099383,-1,-1,0.5680753216494752,-1,0.5331102112207469,-1,-1,0.28807801625106566,0.4958916464900085,-1,0.6534806294537936,-1
league,-1,0.21010660811386905,0.41982383394771106,-1,0.34512584882573716,0.5752134687556022,0.5725376107913153,0.4265883349421097,-1,-1,-1,-1,0.7699278605140926,-0.15165817502730827,0.05888680979773553,-1,-1,0.5990413447736433,-1,0.5858940161424024,-1,-1,0.34674015733980257,0.5834058746839001,-1,0.7130576239866987,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,-1,0.2851476250884937,0.3856978910319293,-1,0.271349767652707,0.44327136128731404,0.5237536051781426,0.5005783512942039,-1,-1,-1,-1,1.0,-0.033216271869298986,0.16956348205337302,-1,-1,0.5428335777557179,-1,0.4808242566119435,-1,-1,0.20906278197670247,0.40563626990916946,-1,0.56931824566367,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
