model,north-east,rivals,newcastle,are,the,only,team,below,them,in,the,premier,league,table,.
dick,0.13474470266181704,-0.16128648878346374,0.12093862784837028,-1,-1,-0.053244321961495755,-0.0405006215948287,-0.047660846802692,-1,-1,-1,-0.1222065333815443,-0.12079379226019293,-0.19907196185505516,-1
advocaat,0.07446669792733507,-0.22095372349833742,-0.13512348653091832,-1,-1,-0.15709503644129796,-0.20955980714333644,-0.1797989740337187,-1,-1,-1,-0.22866171815938752,-0.256594840503954,-0.3169891205784232,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,0.23220238574670882,0.1708861028045885,0.3296215438345078,-1,-1,0.28974426341092885,0.251915968813081,0.03675350628114571,-1,-1,-1,0.22672778013055506,0.23154442760944238,0.15867068934803708,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,0.391634775485004,0.4878820983529879,0.7022880777814111,-1,-1,0.38089166481131964,0.3654355575024254,0.2550597610407973,-1,-1,-1,0.5570562418270509,0.5752134687556022,0.3541587520886518,-1
boss,0.28734096189795477,0.3654042193513469,0.692642865424896,-1,-1,0.35318960630112717,0.44531213913890255,0.04140996562581656,-1,-1,-1,0.47592441646224626,0.4693655276548093,0.263338093941037,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,0.2547214547202987,0.3032497439311994,0.485861384156717,-1,-1,0.49217683288614245,1.0,0.28031853680841223,-1,-1,-1,0.4631903642051526,0.5269120351175107,0.48482259042140496,-1
yet,0.19332713185860828,0.247715454543612,0.3285407470840189,-1,-1,0.6269953582686147,0.4517466239202008,0.3870123000239918,-1,-1,-1,0.38550909847071946,0.41264898805321426,0.33155198112162676,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,0.2646951975440093,0.482405953737555,0.5732240536944926,-1,-1,0.5120908340952394,0.5250373110681269,0.2813980831411915,-1,-1,-1,0.60777858388856,0.6951976120515346,0.5092932763034816,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,0.3390389530008031,0.6202425198071109,0.6297703073848363,-1,-1,0.5309376804616004,0.4631903642051526,0.3406543474010042,-1,-1,-1,1.0,0.9003898016525249,0.6278123358445182,-1
league,0.3364995370488342,0.6431259700944334,0.678076459983464,-1,-1,0.5725376107913153,0.5269120351175107,0.3527914569531927,-1,-1,-1,0.9003898016525249,1.0,0.6876911997964956,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,0.26158126050534214,0.4369955641501939,0.543388498328548,-1,-1,0.5237536051781426,0.45654253329771044,0.4066180227431966,-1,-1,-1,0.7119036843880008,0.7699278605140926,0.5806340251523383,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
