model,saturday,'s,draw,with,west,ham,left,sunderland,without,a,win,in,their,first,eight,league,matches,and,looking,for,a,sixth,manager,in,four,years,.
dick,-0.04713912285500399,-1,-0.06903209796605614,-1,0.022540596081776387,0.15630492078764435,-0.07775153246840971,0.11998993390912582,-0.19437714729284217,-1,-0.10463060835858906,-1,-1,-1,-0.10108980886325303,-0.12079379226019293,-0.102206021246249,-1,-0.018183840508142923,-1,-1,-0.11457817466243858,0.30953335792432046,-1,-0.07436269356653757,0.05514935268989296,-1
advocaat,-0.22152708455463221,-1,-0.20731112922009665,-1,-0.2138750651846224,-0.05110853041994634,-0.3215508357083312,0.05009038246596065,-0.33837973267719157,-1,-0.2051451080927631,-1,-1,-1,-0.2312986148210967,-0.256594840503954,-0.192048359428159,-1,-0.23681098516131827,-1,-1,-0.17368901513121604,0.06645038128478076,-1,-0.2139775935021302,-0.09203960827946722,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resigned,0.31593347938240735,-1,0.07723833114566003,-1,0.2558917978426355,0.27747606286951787,0.32051262305455197,0.28328984979927996,0.2612492641828361,-1,0.2267882772777856,-1,-1,-1,0.35743151810418006,0.23154442760944238,0.1945009687491317,-1,0.1956847717313559,-1,-1,0.2171906688674765,0.39452580986034413,-1,0.3423904223751262,0.419728624062087,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sunderland,0.5287669497768881,-1,0.4460379321824086,-1,0.4905690876615596,0.7655109137984616,0.4480659190328993,1.0,0.32581181759982347,-1,0.49927445130374726,-1,-1,-1,0.4082921487724107,0.5752134687556022,0.41925505485816106,-1,0.3094038530647807,-1,-1,0.3563984286724977,0.575579625678735,-1,0.37497766671306754,0.3105651153141431,-1
boss,0.33549175254841823,-1,0.22250268690615616,-1,0.44518304350723903,0.6939647527565171,0.3553052675263014,0.5524331271308144,0.2665856744575834,-1,0.35739606090071185,-1,-1,-1,0.2801642333122496,0.4693655276548093,0.2952254691110838,-1,0.31902879676413054,-1,-1,0.2681677842353487,0.8911740909169482,-1,0.2741386787559775,0.27714531773946827,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
team,0.44300236070751886,-1,0.2993088636643988,-1,0.3570906584996718,0.42976684930289044,0.4127484764790529,0.3654355575024254,0.411136874935618,-1,0.5250373110681269,-1,-1,-1,0.44449965014146775,0.5269120351175107,0.45388793260921334,-1,0.5377739377491901,-1,-1,0.4502483713939571,0.48363808817212695,-1,0.46185409875660155,0.3562600282641102,-1
yet,0.3733837203482724,-1,0.24909321322056477,-1,0.35687733536637367,0.2951758773224038,0.3419969904286888,0.2646195091405149,0.569818662388735,-1,0.3988016679938857,-1,-1,-1,0.43669913171635955,0.41264898805321426,0.37665139409340664,-1,0.5029671380858162,-1,-1,0.3480003981803561,0.28826479430494634,-1,0.4218006309756481,0.4499027016028243,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
win,0.6285991735650562,-1,0.6063588411395127,-1,0.4606665737390352,0.567838584952945,0.38728467453803583,0.49927445130374726,0.4855223174835911,-1,1.0,-1,-1,-1,0.5390115651354513,0.6951976120515346,0.596142857249045,-1,0.4460226070638975,-1,-1,0.5851231228011847,0.44931844738452176,-1,0.5587656871454777,0.3863907015735477,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
premier,0.5614183098939456,-1,0.4958916464900085,-1,0.48641520165777885,0.6088418855503379,0.38250858148715017,0.5570562418270509,0.4729353391760195,-1,0.60777858388856,-1,-1,-1,0.594008655298125,0.9003898016525249,0.6863795060029888,-1,0.40497831705186504,-1,-1,0.563909005321593,0.5124923797581752,-1,0.5716150992492499,0.3835950334642525,-1
league,0.6364780207873485,-1,0.5834058746839001,-1,0.4756784256155866,0.6549569286320717,0.44971822667891215,0.5752134687556022,0.5036097263945869,-1,0.6951976120515346,-1,-1,-1,0.6542404647119926,1.0,0.7624374298446581,-1,0.41228849323944283,-1,-1,0.6128074171924655,0.5255629320322626,-1,0.6306934253585181,0.44383454207131834,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
season,0.5327346109529354,-1,0.40563626990916946,-1,0.42165764094875,0.5197637390013766,0.4243169685225684,0.44327136128731404,0.48003148408557705,-1,0.5496869864124249,-1,-1,-1,0.5706102910006923,0.7699278605140926,0.6253535790188656,-1,0.44209996871304336,-1,-1,0.6159329036250532,0.52274597131666,-1,0.5388587028952958,0.4423453105898991,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
