model,a,met,office,forecaster,said,:,``,over,northern,scotland,showers,will,fall,as,snow,to,low,levels,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
weather,-1,0.2856854317185614,0.3336056375644221,0.44903209080945883,-1,-1,-1,-1,0.28964629579499745,0.4040921670055533,0.5032485865556086,-1,0.40018707706634926,-1,0.4440747436524972,-1,0.38046474388052776,0.489438791150554,-1
warning,-1,0.3794118654820695,0.4942489959444709,0.13797869362436777,-1,-1,-1,-1,0.27956078509066495,0.4286039036169216,0.2660516654731159,-1,0.3061189348783322,-1,0.282364355345883,-1,0.3324389252395723,0.2522026855058729,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
issued,-1,0.5635923196885954,0.6169459517423498,0.12425911370592513,-1,-1,-1,-1,0.2783653385301861,0.42090538711627135,0.1657991690243149,-1,0.2000616465164291,-1,0.2013556434741699,-1,0.18153034068844187,0.16136742800184822,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
most,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
parts,-1,0.37904497159887973,0.2959895931973826,-0.046252578103372466,-1,-1,-1,-1,0.5992821748405923,0.5216480280683256,0.2855160598003962,-1,0.3766103634466311,-1,0.3474447631868862,-1,0.2346497750710137,0.41403928675415314,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
scotland,-1,0.6061015425371499,0.573912066831912,0.197174137333753,-1,-1,-1,-1,0.7319903921896364,1.0,0.0774603333688384,-1,0.4323700604560585,-1,0.28192188327780987,-1,0.33815538208483165,0.4307646245640262,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
drivers,-1,0.5458414088804886,0.37461425501917656,-0.17262892264415064,-1,-1,-1,-1,0.4090532393631162,0.5117924254007927,0.11075627551418554,-1,0.34824153898358745,-1,0.2228119868282128,-1,0.28091409772395426,0.34009777940863817,-1
urged,-1,0.6529447080080181,0.41873634399852766,-0.009702416391081492,-1,-1,-1,-1,0.4183265180600677,0.5237034870756395,0.06794790368655057,-1,0.15890015318973139,-1,0.13953438877455082,-1,0.08406131812765016,0.07320586316297739,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aware,-1,0.5531660522669622,0.41972482247363874,0.09404975678885963,-1,-1,-1,-1,0.3195649705874568,0.4685278348124817,0.18381846093294696,-1,0.2505916529255876,-1,0.2418461702487964,-1,0.28294143820588114,0.33580332439062066,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
risk,-1,0.3510816756804357,0.39118517828518073,0.11955340801763126,-1,-1,-1,-1,0.3159463047154054,0.44488243995829135,0.22036897827255375,-1,0.5245965277614318,-1,0.2997741512555716,-1,0.5875343236448147,0.7003917514563213,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ice,-1,0.19074906304032857,0.20162985753736573,-0.11070588599514442,-1,-1,-1,-1,0.3134165081368958,0.37642798305767045,0.18320403685572817,-1,0.37504583567312666,-1,0.4981263573637873,-1,0.3634702217024308,0.46784943705659887,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
snow,-1,0.25390703207586485,0.18318041600819934,0.0441450979214798,-1,-1,-1,-1,0.2794910786168471,0.28192188327780987,0.5562217736522044,-1,0.41916145356692625,-1,1.0,-1,0.34702263420246293,0.33436526904186414,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
