model,after,200,operations,she,completed,the,226km,-lrb-,140,mile,-rrb-,hawaii,event,on,sunday,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,-1,0.3848529536379275,0.34735476733407844,-1,0.3310518867715293,-1,-0.6053914179077828,-1,0.14911704178846208,0.1363600491903214,-1,0.04552489732758325,0.4058440903695464,-1,0.528474443561095,-1
runner,-1,0.039766736331610986,0.038895915095368494,-1,0.15722909510464156,-1,-0.27694683099897577,-1,0.19472758819146097,0.2544082568861106,-1,0.13777343693016686,0.26921680729133435,-1,0.07737501793098867,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,-1,0.15988865223658522,0.27401474473806564,-1,0.3267183519288708,-1,-0.3690320518775976,-1,0.19971750737429794,0.2679724937972092,-1,0.048810273215341704,0.26179505087651533,-1,0.3527082477351682,-1
life-threatening,-1,-0.0295683477785742,0.1547185818391461,-1,0.22879719343643345,-1,-0.24445187098264598,-1,0.18087293756363287,0.16999059430339414,-1,0.025286638206588385,0.08973400849433588,-1,0.11004928249061063,-1
burns,-1,0.18532151900775617,0.15975084262955952,-1,0.193726305582549,-1,-0.41656263646950586,-1,0.15384116346652532,0.12064558870839803,-1,0.22377663693666083,0.17851544322181756,-1,0.2748986282086465,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,0.5129243824406067,0.3302391787293002,-1,0.4659890640088894,-1,-0.5802816178525589,-1,0.4952106679217029,0.1999386255664639,-1,-0.03248205103211399,0.3321106798401281,-1,0.39296589769901835,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-1,-0.2835086231977533,-0.07685629324994814,-1,-0.25750828120347924,-1,0.07382471141327873,-1,-0.3175008451300587,-0.1718508088837971,-1,-0.03509651147750481,0.01162337302392702,-1,-0.08925533132550534,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,-1,0.3049076813389249,0.28151046538374724,-1,0.41709088480232503,-1,-0.47378789922569653,-1,0.16980643573450427,0.2785609643948287,-1,0.0656605488857922,0.66991706115957,-1,0.5616300562330043,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,-1,0.3170718735909597,0.29108732174678986,-1,1.0,-1,-0.40879581467011494,-1,0.22272466683736836,0.22156194610206126,-1,0.053778525863272475,0.4379048073987035,-1,0.3860091121529684,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,-1,0.145672651743617,0.0859886308643294,-1,0.053778525863272475,-1,-0.24475455946661695,-1,0.08817647109520022,-0.01959059362205462,-1,1.0,0.057330418625011204,-1,0.0593857678545433,-1
ironman,-1,-0.025441516288282395,0.09176672978418221,-1,0.017324825043751546,-1,0.009224742912074202,-1,-0.02185920487322468,-0.061889317867290794,-1,0.19694550974935265,0.29974175821562454,-1,0.04706213079859223,-1
seen,-1,0.3851148734016545,0.2741883869523487,-1,0.3561311001204721,-1,-0.5326377908989022,-1,0.21335266996399838,0.16179611888697432,-1,0.04791735244331485,0.3881179945866329,-1,0.3786640630380831,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,0.34859570289768405,0.22561149547055992,-1,0.3616477121453048,-1,-0.4877653380765181,-1,0.1657028767807338,0.15004356822999387,-1,0.07919858667107293,0.4936777271726026,-1,0.4229451083327236,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-1,-0.04488327531153047,0.20980094956105477,-1,0.26472392952666624,-1,-0.2340643564713536,-1,0.12118934648271029,0.002594213922516131,-1,0.019116123797800588,0.31362639282707994,-1,0.130801569178277,-1
triathlon,-1,-0.009020785627203542,0.19691701683413,-1,0.10994759127699849,-1,-0.2990233587758646,-1,0.010468032915261216,-0.07138892790037499,-1,0.1216455494874703,0.4962937978172419,-1,0.30912917572116294,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
