model,the,mining,engineer,author,and,motivational,speaker,completed,the,event,using,custom-made,gear,and,brake,levers,on,her,bike,to,accommodate,the,severe,injuries,to,her,hands,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,-1,0.36137643065394665,0.4120580929104649,0.44948228722499406,-1,-0.28265434375957166,0.5413585055849094,0.3310518867715293,-1,0.4058440903695464,0.3749020622980057,-0.21875921469540893,0.21587394234653368,-1,0.15926986072107308,-0.15866328114954165,-1,-1,0.2715987185343245,-1,0.06565261960827451,-1,0.12168422358416109,0.19714282147252749,-1,-1,0.30552492169451795,-1
runner,-1,0.28524427963255483,0.278410093540455,0.2124421521217147,-1,0.01394797789608071,0.21518441449161008,0.15722909510464156,-1,0.26921680729133435,0.11611464455519327,0.1214500851044562,0.22499782967023996,-1,0.18432848216462305,0.21333886988517903,-1,-1,0.5197495775107279,-1,0.17550761915463564,-1,-0.01993852681217212,0.039199175252441765,-1,-1,0.21309821971654697,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,-1,0.12732647620517812,0.27396955064324224,0.23719707045332095,-1,-0.13017413866501992,0.14145654836430288,0.3267183519288708,-1,0.26179505087651533,0.23974453135994034,-0.1246373308716644,0.0426137822398871,-1,0.23072026978352977,-0.01509140738498238,-1,-1,0.31348474065857346,-1,0.10278542618190623,-1,0.7183392441330799,0.7965944359283732,-1,-1,0.2875757273007362,-1
life-threatening,-1,-0.09224441205201694,0.19274103595992909,0.023943686278167342,-1,0.13250818668037856,-0.0011988671186129451,0.22879719343643345,-1,0.08973400849433588,0.1833100785151811,0.020984494340279936,0.02408526525057708,-1,0.26454595411266635,0.028694788309345354,-1,-1,0.14090569416197307,-1,0.18982761525851588,-1,0.5763345247334682,0.7439375969965515,-1,-1,0.1459901895791318,-1
burns,-1,0.11881310960077707,0.2804684384575794,0.273216278629145,-1,-0.14494605595557153,0.2907284936129573,0.193726305582549,-1,0.17851544322181756,0.16599204277305846,-0.15088533676559046,-0.02542226941242154,-1,0.40319902683929,-0.09517356134199595,-1,-1,0.2950772334215169,-1,0.02152627881051894,-1,0.6510461169081947,0.646591942924881,-1,-1,0.29134871023775255,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
