model,``,competing,in,ironman,has,ultimately,showed,me,that,i,literally,can,do,anything,i,put,my,mind,to,'',she,said,on,her,blog,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,-1,0.3493114278691909,-1,0.10520140652788679,-1,0.22417538732935272,0.4270041033414267,0.3589771115562346,-1,-1,-0.01025788646729442,-1,0.35472910777929256,0.17584076274245164,-1,0.44677085468327293,0.2726791851741126,0.35052195486437077,-1,-1,-1,-1,-1,-1,0.298488310660299,-1
runner,-1,0.29154583196731776,-1,0.20817832245977952,-1,0.10205602102542588,0.06074836751113066,0.1861646587654633,-1,-1,0.24474375090178602,-1,0.06008171377248206,-0.016353278443578034,-1,0.15326356970709076,0.1256572342310318,0.20282694422059255,-1,-1,-1,-1,-1,-1,0.1036255377736246,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,-1,0.20735757822091416,-1,-0.1732877696665387,-1,0.27689060392629505,0.37106010790224464,0.2529819294481538,-1,-1,0.1814003141073135,-1,0.24527110158545085,0.21756557104044194,-1,0.3275123355304026,0.3389315438341556,0.2861770307250494,-1,-1,-1,-1,-1,-1,0.19571058587766044,-1
life-threatening,-1,0.23320876065705087,-1,-0.17434667733338793,-1,0.21605978385528368,0.08456358205412484,0.06967709539319245,-1,-1,0.19985627200536282,-1,0.20156612686969821,0.21050379836271482,-1,0.08262537093633004,0.15937377982269396,0.1742313672694249,-1,-1,-1,-1,-1,-1,0.01984287705102683,-1
burns,-1,0.16644149740312364,-1,-0.18493477585615015,-1,0.20512034717628314,0.2880053734741601,0.2598823085954549,-1,-1,0.17356550560379336,-1,0.20674391660121794,0.17762271083339565,-1,0.3465851867254425,0.2712173764931991,0.26013016540115963,-1,-1,-1,-1,-1,-1,0.22737663354925752,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,0.48794527463979187,-1,-0.27741946733380285,-1,0.4277829020199484,0.4212011891110887,0.46654468654292036,-1,-1,0.5410931236950215,-1,0.4541575846930994,0.414438610304781,-1,0.5559375516868574,0.34095504899656603,0.469964906926595,-1,-1,-1,-1,-1,-1,0.16500496545924892,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
