model,she,has,been,hailed,on,social,media,as,an,``,amazing,role,model,'',.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,-1,-1,-1,0.26596533727022975,-1,0.40263398737808775,0.526165031830229,-1,-1,-1,0.23752435708486275,0.3766152925037517,0.34921231378254136,-1,-1
runner,-1,-1,-1,0.2092349142699882,-1,-0.010316047940322148,-0.05577779046613518,-1,-1,-1,0.2492584405100703,0.11913194007684036,0.17799315155293638,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,-1,-1,-1,0.296053573379766,-1,0.23165661483061306,0.19124315733823483,-1,-1,-1,0.28071551240550807,0.23190635094419854,0.10085637131836278,-1,-1
life-threatening,-1,-1,-1,0.1965970193081441,-1,0.07814474825676887,0.11608675769407728,-1,-1,-1,0.1882045733644766,0.07974595654617767,0.04206909967734085,-1,-1
burns,-1,-1,-1,0.18923956696863609,-1,0.1884789553844447,0.11114837039799141,-1,-1,-1,0.17736024360791192,0.16983222954831712,0.06119856602235452,-1,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,-1,-1,0.27494625401733397,-1,0.348764381318035,0.34627312681257694,-1,-1,-1,0.39174900863162065,0.3466058115451506,0.2884095415318424,-1,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-1,-1,-1,0.019451135865173774,-1,-0.010830339332531524,-0.006096068854706704,-1,-1,-1,-0.12953208602290145,0.0854835940734272,-0.08591074520514286,-1,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,-1,-1,-1,0.09469168094254754,-1,0.25447388624135936,0.22867748258739928,-1,-1,-1,0.360787106609479,0.2853315296335288,0.25165958386090037,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,-1,-1,-1,0.364304899816964,-1,0.13600457476859407,0.10317420261062238,-1,-1,-1,0.34982726305352696,0.31099700924619,0.37465055004078396,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,-1,-1,-1,0.023888235142771275,-1,0.04155582074186781,0.05055053386332198,-1,-1,-1,0.032821975094212474,0.04861733874955043,0.038672173791581166,-1,-1
ironman,-1,-1,-1,-0.006983076244594821,-1,-0.07825982119009822,-0.08832375487897814,-1,-1,-1,0.028631274256496808,0.0382767971618585,0.03258761465202498,-1,-1
seen,-1,-1,-1,0.4004691080692644,-1,0.3919600289198968,0.4601322166780315,-1,-1,-1,0.40489037045789733,0.3867669542949197,0.4312145363159612,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,-1,-1,0.2489601238915533,-1,0.3407433865430727,0.35126949910344596,-1,-1,-1,0.3545650023983066,0.2409637600539205,0.2741386132800683,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-1,-1,-1,0.28962589376889225,-1,0.1539231300188948,0.16975851057023483,-1,-1,-1,0.3920593418023568,0.30018461475036884,0.25027325919324594,-1,-1
triathlon,-1,-1,-1,0.12367364264432323,-1,0.2043804646917493,0.25613147094244204,-1,-1,-1,0.22838608978647512,0.14938453105089078,0.12016683539733364,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
