model,'',after,her,encounter,with,the,bushfire,ms,pitt,spent,864,days,in,hospital,and,underwent,many,operations,to,treat,her,injuries,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,-1,-1,-1,0.2172941244976201,-1,-1,-0.13812939341528518,0.34671863056179464,0.0459371817248988,0.40079506105889473,-0.19832556243112687,0.43300534407742264,-1,0.3146065865956016,-1,0.1673525029984586,-1,0.34735476733407844,-1,0.15040037799966077,-1,0.19714282147252749,-1
runner,-1,-1,-1,0.24162246674252252,-1,-1,-0.10922176324743171,0.03464043827644114,0.32578682915212975,0.10266260368934543,-0.21162402141601988,0.000567759740439433,-1,-0.013671627821170595,-1,0.27629652249066106,-1,0.038895915095368494,-1,0.06570135447764991,-1,0.039199175252441765,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,-1,-1,-1,0.32272365976183925,-1,-1,-0.030586235992829502,0.2786916461309291,0.050518674964002086,0.32882519301637825,-0.21466436602911076,0.3996799619774656,-1,0.39691246287348947,-1,0.3497082879835727,-1,0.27401474473806564,-1,0.33129572477081193,-1,0.7965944359283732,-1
life-threatening,-1,-1,-1,0.26951491079462087,-1,-1,-0.0921286676556421,0.1189247356734815,0.05895596225858557,0.09472945886564521,-0.20272948143600056,0.18816101984396838,-1,0.4118510114111247,-1,0.2181367324299769,-1,0.1547185818391461,-1,0.46568964895110043,-1,0.7439375969965515,-1
burns,-1,-1,-1,0.17557490504194306,-1,-1,-0.2246183641181665,0.46428110614803564,0.36847422354464476,0.20797691911011007,-0.4486888882143176,0.2685688126492428,-1,0.4760061705633072,-1,0.2596671881109134,-1,0.15975084262955952,-1,0.36653583667309353,-1,0.646591942924881,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,-1,-1,0.31135945153267897,-1,-1,-0.2685865844550974,0.29667789717963733,0.07217654167670495,0.5053878930411306,-0.3612009362779576,0.6188980838029996,-1,0.4398731575974544,-1,0.20630037813153868,-1,0.3302391787293002,-1,0.44406846799559707,-1,0.4813205760384941,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-1,-1,-1,0.12133259339114844,-1,-1,1.0,-0.287567329889155,-0.24749636375858386,-0.3806375505896977,0.17493845214079773,-0.1999423774245681,-1,-0.16265570435917964,-1,-0.18310886906553292,-1,-0.07685629324994814,-1,-0.2174166178573238,-1,-0.12892896647122964,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,-1,-1,-1,0.476844049915227,-1,-1,-0.07731706169742503,0.2669890132031092,0.010683623848744883,0.2947398351631261,-0.18771599229296232,0.47832205782416237,-1,0.25990247824242685,-1,0.25858270111128223,-1,0.28151046538374724,-1,0.20596712842764586,-1,0.28746036883495796,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,-1,-1,-1,0.33310835224290924,-1,-1,-0.25750828120347924,0.21428674391165914,0.11601884752064207,0.5637578369286783,-0.24399737516577358,0.5141788326615648,-1,0.2716276884222716,-1,0.2650574688905667,-1,0.29108732174678986,-1,0.17993428604838058,-1,0.28649977540106875,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,-1,-1,-1,0.060057782978814034,-1,-1,-0.03509651147750481,0.05122099262311719,0.11624187737273617,0.03485898420136657,-0.3040995530947814,0.03466138302082311,-1,0.07868118020134052,-1,0.09009407280045512,-1,0.0859886308643294,-1,0.024920913048367743,-1,0.05443217564002767,-1
ironman,-1,-1,-1,0.0911806142161663,-1,-1,0.23536577504007217,-0.26209327294460283,0.07186270222027691,-0.06647146477379362,0.1996325592012156,-0.12195727394292577,-1,-0.10094178929164244,-1,0.028344935532776283,-1,0.09176672978418221,-1,-0.19322546077449165,-1,-0.22970536615487425,-1
seen,-1,-1,-1,0.2785400363388547,-1,-1,-0.06448106896389882,0.37444098380549207,-0.09645653130789467,0.44164449195357025,-0.3253744102891043,0.5549319580927617,-1,0.25492349420853766,-1,0.02442909651524683,-1,0.2741883869523487,-1,0.26582730273134236,-1,0.34778750911039413,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,-1,-1,0.2873460046920372,-1,-1,-0.06041811462024471,0.21868387947079126,-0.02791475127903209,0.3020833611878928,-0.22457854807478705,0.3814613536354372,-1,0.12564650106030062,-1,0.030238758229842677,-1,0.22561149547055992,-1,0.18015170176787876,-1,0.1607000178017427,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-1,-1,-1,0.3523358552408089,-1,-1,0.25650747233323956,-0.11670763699144504,-0.0283203810795567,0.15512738163288753,-0.09437218534816894,0.20169813858916197,-1,-0.04872689405262509,-1,0.013934176542938603,-1,0.20980094956105477,-1,0.10040173183738788,-1,0.19053443840378936,-1
