model,``,because,of,my,burns,i,ca,n't,regulate,my,own,body,temperature,so,i,'ve,had,to,make,some,adjustments,or,use,standard,tri,gear,in,different,ways,'',she,revealed,last,month,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,-1,0.3757398852195458,-1,0.2726791851741126,0.23519530035067748,-1,0.04451801937895683,-1,0.04769543107609853,0.2726791851741126,0.39083198417812137,0.5060825059404026,0.18539030255082878,0.3521445470677639,-1,-1,-1,-1,0.38190964248562986,-1,-0.19988083140823032,-1,0.33781248320951773,0.4322287638956037,-0.0569301880411317,0.21587394234653368,-1,0.18544763444175472,0.16590568546488016,-1,-1,0.5491896410195343,-1,0.6034681536033402,-1
runner,-1,0.0847253425971779,-1,0.1256572342310318,0.10210498977374893,-1,-0.024283925409307683,-1,0.0655853146993638,0.1256572342310318,0.04193076628820269,0.22196533278930974,0.20521523718463586,0.12150196800682589,-1,-1,-1,-1,0.130628720120058,-1,-0.0057375552571286015,-1,0.06940833075278663,0.17382680750431923,-0.1648395307312045,0.22499782967023996,-1,0.014687250118317396,0.010120857020650909,-1,-1,-0.022940172689871252,-1,0.05644730448432567,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,-1,0.44961416238254426,-1,0.3389315438341556,0.6837535307953146,-1,0.012261413435379453,-1,-0.11953578984265434,0.3389315438341556,0.22716947444313407,0.3578288437456236,0.23102435767393237,0.3393808590938677,-1,-1,-1,-1,0.23317882725877914,-1,0.07189974055960069,-1,0.17873382488464196,0.27252174179096955,-0.18992815297720766,0.0426137822398871,-1,0.10132357434013428,0.04711479274679253,-1,-1,0.4114770513714705,-1,0.3651275923333879,-1
life-threatening,-1,0.31408451506528157,-1,0.15937377982269396,0.44641520860692596,-1,0.021517255215140363,-1,0.07171675197798122,0.15937377982269396,0.05851467557914991,0.2067197323118567,0.12624750451516664,0.21883088768056191,-1,-1,-1,-1,0.14591165863351185,-1,0.2992066207186804,-1,0.1686911762858896,0.20978432565364957,-0.11342569086763565,0.02408526525057708,-1,0.0872862727870114,0.06095254014128759,-1,-1,0.2559601216661592,-1,0.11358059221518824,-1
burns,-1,0.30475396742086414,-1,0.2712173764931991,1.0,-1,-0.1435592717018137,-1,-0.16141026526396351,0.2712173764931991,0.10518641907590343,0.22301988931659145,0.16417162536835395,0.2184526320360889,-1,-1,-1,-1,0.1644680482250349,-1,0.06638419149282737,-1,0.11743450554893764,0.2514384933874658,-0.2665763515595456,-0.02542226941242154,-1,-0.01263178405300125,0.011542635703643223,-1,-1,0.3285971129531233,-1,0.22705900042781613,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
