model,'',welsh,liberal,democrat,leader,kirsty,williams,told,sunday,politics,wales,:,``,the,choices,are,either,having,a,government,that,is,dragged,off,by,nationalists,who,will,threaten,jobs,and,threaten,the,stability,of,the,union,or,dragged,off,to,the,right,by,ukip,that,would,cut,public,expenditure,or,they,could,choose,to,vote,for,the,liberal,democrats,who,would,anchor,the,government,in,the,centre,ground,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,0.7140219943857774,0.7891920032461377,0.6376049897764998,0.5827021112015011,0.37627044080841654,0.3948628253439459,-1,0.32881493309552834,0.3121491137626209,0.4208035826922356,-1,-1,-1,0.1756256442464631,-1,0.3941326916271106,0.48240506481220025,-1,0.5482233194993097,-1,-1,0.19286264989085877,0.34682293057993285,-1,0.5373747776353118,-1,-1,0.28991021321898724,0.3646907857654559,-1,0.28991021321898724,-1,0.23361740642150375,-1,-1,0.49478482817389136,-1,0.19286264989085877,0.34682293057993285,-1,-1,0.21076428789238866,-1,0.7435481607375712,-1,-1,0.4107188442145817,0.30858581986007194,0.28132110424459333,-1,-1,-1,0.4254002547647885,-1,0.5871209748503311,-1,-1,0.7891920032461377,0.8349366776655447,-1,-1,-0.03823798214495033,-1,0.5482233194993097,-1,-1,0.07830218430486768,0.3393849824791134,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,-1,0.3848555701762968,0.5069438686834864,0.4540381924623267,0.46623198469499716,0.22708013017639261,0.35404226225559987,-1,0.3119270666772195,0.2972434730350375,0.29416797665450933,-1,-1,-1,0.0007451128313804567,-1,0.4227600296730145,0.5433884909674688,-1,0.5293022449934315,-1,-1,0.38111899058321996,0.3403208330287494,-1,0.26905616988638903,-1,-1,0.2135315212462372,0.215735031763149,-1,0.2135315212462372,-1,0.16189655086518018,-1,-1,0.43061188885182555,-1,0.38111899058321996,0.3403208330287494,-1,-1,0.20489577358100597,-1,0.5399412678311288,-1,-1,0.29575056288372825,0.35025445780396325,0.18834961294275399,-1,-1,-1,0.2618327362685613,-1,0.40013998167085263,-1,-1,0.5069438686834864,0.5656818672183451,-1,-1,0.06854129136626197,-1,0.5293022449934315,-1,-1,0.22860570533977098,0.33754878940005373,-1
labour,-1,0.7029038637701761,0.8513181678533142,0.7803385874424337,0.8010401191389117,0.4521089605668571,0.4326244940564725,-1,0.3476246537818346,0.4381318035561401,0.4866529750454214,-1,-1,-1,0.13486511919429778,-1,0.42648749239218864,0.4620323481438855,-1,0.6217818635975517,-1,-1,0.228863208407607,0.3172497822925151,-1,0.3595970381704905,-1,-1,0.27918176851356713,0.36862449510747,-1,0.27918176851356713,-1,0.32544697199531225,-1,-1,0.5569310018725132,-1,0.228863208407607,0.3172497822925151,-1,-1,0.30183083665031907,-1,0.8595813930535116,-1,-1,0.446247123617063,0.371993541815292,0.2670840406640427,-1,-1,-1,0.4342594477671643,-1,0.6773541799699948,-1,-1,0.8513181678533142,0.7803956505642665,-1,-1,-0.04117426103955224,-1,0.6217818635975517,-1,-1,0.19935973229052673,0.34353888896264806,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,-1,0.5408477829107623,0.6330140669711364,0.6777832391031248,0.616730614846404,0.5003832429301714,0.4770432265866029,-1,0.2427722419143059,0.17236146477989878,0.35631206592456977,-1,-1,-1,0.1090601039781468,-1,0.18188739015094135,0.19567105160360254,-1,0.29655216361412085,-1,-1,0.020739473813520592,0.141956802684004,-1,0.2920239891217893,-1,-1,0.11382918109972828,0.092972436858622,-1,0.11382918109972828,-1,0.14811448418901108,-1,-1,0.4135530273897803,-1,0.020739473813520592,0.141956802684004,-1,-1,0.2310339275263762,-1,0.7916139343904404,-1,-1,0.1193380205366752,0.10131876624542224,0.024604990810843108,-1,-1,-1,0.2644155092589704,-1,0.4024833512164814,-1,-1,0.6330140669711364,0.5657037508445307,-1,-1,0.040428340388180994,-1,0.29655216361412085,-1,-1,0.11846147234967119,0.03503530884358319,-1
cymru,-1,0.41471092989333214,0.39502434947097376,0.46391112890552333,0.4184957014613273,0.3730931302552605,0.42235779209383484,-1,0.2792103313656493,0.18439143523928192,0.35158836381197744,-1,-1,-1,0.20854636648583524,-1,0.1045345195396522,0.16160438020308632,-1,0.1622347608828526,-1,-1,-0.007781173597064317,0.09199903610710514,-1,0.10160501471873973,-1,-1,0.03784034391842139,0.07647539847577911,-1,0.03784034391842139,-1,0.14290994645140132,-1,-1,0.40060559574755195,-1,-0.007781173597064317,0.09199903610710514,-1,-1,0.2795325794472927,-1,0.5931638085125148,-1,-1,0.022514376435529893,0.15231443444783732,-0.060707011669159705,-1,-1,-1,0.18054294728990972,-1,0.304068157185007,-1,-1,0.39502434947097376,0.33861653068835795,-1,-1,0.04382519451266975,-1,0.1622347608828526,-1,-1,0.21679061633277275,0.008461369136031238,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,-1,0.3534100807445302,0.29845673329465927,0.17298899593274897,0.16962342815123066,0.0943065893029078,0.29721588471565163,-1,0.3283486087256735,0.34101765756605884,0.3769181452004535,-1,-1,-1,0.14323993528198586,-1,0.47107015978084277,0.5538373298122071,-1,0.31541632781324114,-1,-1,0.28122788611774874,0.31070091399226807,-1,0.24942537512046425,-1,-1,0.32641735713224707,0.35833967050638016,-1,0.32641735713224707,-1,0.2986173190675532,-1,-1,0.442534357081666,-1,0.28122788611774874,0.31070091399226807,-1,-1,0.2529817405706023,-1,0.3131119501792041,-1,-1,0.2669398502658269,0.39307628012579043,0.13039501116145624,-1,-1,-1,0.30943955536820167,-1,0.32558189330837295,-1,-1,0.29845673329465927,0.3985794253713779,-1,-1,0.027757638566536236,-1,0.31541632781324114,-1,-1,0.30862567251051476,0.4666284578478166,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-1,-0.38471804192671266,-0.34466873049943136,-0.3240474803567328,-0.32689684047414325,-0.11539287035108137,-0.37605475517931053,-1,-0.4012863577424448,-0.22156719745614373,-0.46930985402008507,-1,-1,-1,-0.018717079985062446,-1,-0.3301331559010885,-0.39145354894741,-1,-0.3678743806968763,-1,-1,-0.1798092946379084,-0.35974153753456517,-1,-0.1047241327494357,-1,-1,-0.06454358806125371,-0.2776595431987714,-1,-0.06454358806125371,-1,-0.04182561058980672,-1,-1,-0.47899162494670366,-1,-0.1798092946379084,-0.35974153753456517,-1,-1,-0.27962795338424273,-1,-0.4935795722720002,-1,-1,-0.4153163356523959,-0.2603672442417966,-0.027525403354826006,-1,-1,-1,-0.258626848343144,-1,-0.3283357275490837,-1,-1,-0.34466873049943136,-0.411973611756586,-1,-1,0.10530029026134957,-1,-0.3678743806968763,-1,-1,-0.3745091515978167,-0.3552798301628588,-1
squabble,-1,-0.2514534183023993,-0.23594750298051714,-0.2775378191375131,-0.2556490079919578,-0.22721116104071282,-0.3149599702490036,-1,-0.31518042596202767,-0.15992695258099454,-0.3168357540785818,-1,-1,-1,-0.050482480441177646,-1,-0.16606695742256816,-0.2290948851149086,-1,-0.11403067618253515,-1,-1,-0.06770263065104887,-0.16886831636271782,-1,0.11720945355694323,-1,-1,0.1620018672102902,-0.008680263563351387,-1,0.1620018672102902,-1,0.007518631130371656,-1,-1,-0.1770362953461695,-1,-0.06770263065104887,-0.16886831636271782,-1,-1,-0.1666460188898755,-1,-0.3332225464753109,-1,-1,-0.042344629853780846,-0.08601627606669915,0.0037088240610023693,-1,-1,-1,-0.00441145203112514,-1,-0.13379808940259608,-1,-1,-0.23594750298051714,-0.14493908745287665,-1,-1,-0.2607308689208716,-1,-0.11403067618253515,-1,-1,-0.30676910383709854,-0.16337483024798383,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,-1,0.5544774362038093,0.5229757243923422,0.3852027688864589,0.3608166096539722,0.09188974508555614,0.23576434279105785,-1,0.3169613824164659,0.43684116493736647,0.5174691305001561,-1,-1,-1,0.2853223067843933,-1,0.46942032414622603,0.5838194628405117,-1,0.5986561319068714,-1,-1,0.2871111155059054,0.3201887585993286,-1,0.2610823313253958,-1,-1,0.4418355420942546,0.5211168302197552,-1,0.4418355420942546,-1,0.6332612488969562,-1,-1,0.5511326837712521,-1,0.2871111155059054,0.3201887585993286,-1,-1,0.43165987156288654,-1,0.4974780807952415,-1,-1,0.5051542488409392,0.5506967773746875,0.3469184725902047,-1,-1,-1,0.4912166419378565,-1,0.5172235281406935,-1,-1,0.5229757243923422,0.5982913583960312,-1,-1,0.04797966591134639,-1,0.5986561319068714,-1,-1,0.4213105112757636,0.5220183821122711,-1
