model,'',wales,green,party,leader,pippa,bartolotti,said,``,we,have,a,very,real,and,immediate,problem,with,the,state,of,gender,pay,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,0.4208035826922356,0.41889219880604756,0.6818745965120392,0.5827021112015011,0.0328184904540918,-0.1103267709596365,-1,-1,-1,-1,-1,-1,0.32912802506861105,-1,0.3129322762511797,0.2775485816237736,-1,-1,0.3314596754541308,-1,0.16095454952838106,0.4025153726462305,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,-1,0.29416797665450933,0.3356155625168693,0.5309456558480403,0.46623198469499716,0.09511849078953982,-0.015278922458088928,-1,-1,-1,-1,-1,-1,0.24980771915847377,-1,0.22356053426139377,0.32356994798143135,-1,-1,0.5114994720142554,-1,0.15715903636671924,0.3542642352342946,-1
labour,-1,0.4866529750454214,0.5831691808815107,0.8423679473936713,0.8010401191389117,0.11695042276643375,-0.012548920731109803,-1,-1,-1,-1,-1,-1,0.37493059751922275,-1,0.3184508973371081,0.34003261824353626,-1,-1,0.43706499557332357,-1,0.11269664507156119,0.3774475457016664,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,-1,0.35631206592456977,0.465862495564356,0.4913012295989563,0.616730614846404,0.17378179903022883,0.10609943668624022,-1,-1,-1,-1,-1,-1,0.12146784702576596,-1,0.07408636985679129,0.11586379467789032,-1,-1,0.2633970679115403,-1,-0.13395542288562767,0.08872317738202107,-1
cymru,-1,0.35158836381197744,0.38753842142195616,0.3285510538351948,0.4184957014613273,0.047391676350690526,0.03677713476071609,-1,-1,-1,-1,-1,-1,0.12964507386164714,-1,0.05943589208645106,0.09276513716140522,-1,-1,0.2846444759591277,-1,-0.17952976125018139,0.08421247551989708,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,-1,0.3769181452004535,0.23575617371890922,0.33270661662349044,0.16962342815123066,-0.1807262057732033,-0.3227291965108354,-1,-1,-1,-1,-1,-1,0.33649712041940383,-1,0.28997449912714124,0.49498457876579327,-1,-1,0.3201723353463888,-1,0.1628395399936804,0.35574429138349273,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-1,-0.46930985402008507,-0.4783380732947444,-0.39785452211790817,-0.32689684047414325,0.13226137393539306,0.20360322422932264,-1,-1,-1,-1,-1,-1,-0.15902722275355563,-1,0.00605828314176049,-0.08961313540892224,-1,-1,-0.4176835232156826,-1,0.007722378944742148,-0.3689521165780456,-1
squabble,-1,-0.3168357540785818,-0.4204784456764741,-0.215865933502273,-0.2556490079919578,-0.0032994773171215463,0.01838253442285609,-1,-1,-1,-1,-1,-1,-0.08336443642627,-1,-0.06311008336581514,-0.11293893752636652,-1,-1,-0.15925699985463937,-1,0.1483784097025871,0.11515052979568174,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,-1,0.5174691305001561,0.40879366613527723,0.6029603951676579,0.3608166096539722,-0.16964949289950404,-0.2995403244411028,-1,-1,-1,-1,-1,-1,0.5086472431782856,-1,0.49829598922152907,0.45920866522788373,-1,-1,0.4678360887903428,-1,0.30771491774313753,0.625785268759753,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,-1,0.14440760245050133,0.3009541654152219,0.38872127099563025,0.25068031105216804,-0.07177811131902967,-0.16707679649560192,-1,-1,-1,-1,-1,-1,0.11897567631411232,-1,0.1495961371238388,0.20525295954085931,-1,-1,0.1749162031221726,-1,0.1808735949659772,0.25098023001246517,-1
parliament,-1,0.49968165282990307,0.4995249067164693,0.6937622593778463,0.5175823365379185,-0.16407207254134026,-0.27825916863698374,-1,-1,-1,-1,-1,-1,0.29188004013207003,-1,0.300262733445569,0.3177290574898919,-1,-1,0.5274058550966213,-1,0.22949458185345972,0.4847117553399789,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
