model,``,hell,will,freeze,over,before,i,vote,with,the,tories,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conservatives,-1,0.18075087667860446,-1,0.2646833368024215,-1,-1,-1,0.5871209748503311,-1,-1,0.9343322252274346,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
accused,-1,0.11250779148591938,-1,0.08693704214964293,-1,-1,-1,0.40013998167085263,-1,-1,0.4112173710618968,-1
labour,-1,0.16918777823441622,-1,0.22873055614459603,-1,-1,-1,0.6773541799699948,-1,-1,0.747701858334074,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
plaid,-1,0.03653378814460495,-1,0.11999604895670912,-1,-1,-1,0.4024833512164814,-1,-1,0.4578529396164295,-1
cymru,-1,0.04599051211427596,-1,0.024647749418645892,-1,-1,-1,0.304068157185007,-1,-1,0.15801840372539355,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
being,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
involved,-1,0.2117497321455356,-1,0.11093934141999162,-1,-1,-1,0.32558189330837295,-1,-1,0.3702998844776294,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unedifying,-1,0.06169926832223194,-1,-0.07595876446441063,-1,-1,-1,-0.3283357275490837,-1,-1,-0.23821887638774486,-1
squabble,-1,0.034840528662115955,-1,0.04685619737067548,-1,-1,-1,-0.13379808940259608,-1,-1,-0.0014927263649799904,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
support,-1,0.1865999188706413,-1,0.23895463136715778,-1,-1,-1,0.5172235281406935,-1,-1,0.4915091959046025,-1
if,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hung,-1,0.40380220584172344,-1,0.39630884451532955,-1,-1,-1,0.5177460052092686,-1,-1,0.3771397308646012,-1
parliament,-1,0.2514659870753648,-1,0.36564372824184,-1,-1,-1,0.743411455633046,-1,-1,0.5221556776087343,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
