model,``,if,i,want,to,have,a,laugh,and,joke,afterwards,as,long,as,the,result,is,n't,too,bad,then,i,will,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-1,-1,-1,0.079562380133403,-1,-1,-1,0.060996632672880025,-1,0.03198441906213845,0.013200238457107605,-1,0.16574716793602917,-1,-1,0.13665332942346287,-1,-1,0.11271920528198065,0.2621372761087669,0.20836786444166733,-1,-1,-1
manager,-1,-1,-1,0.37938113331619516,-1,-1,-1,0.07131563391322027,-1,0.14284003711181215,0.2006502850014854,-1,0.32884198514752194,-1,-1,0.3975224773562773,-1,-1,0.24051202176429998,0.33847110569104144,0.4115423437925225,-1,-1,-1
craig,-1,-1,-1,0.1720670693877665,-1,-1,-1,0.14257359020666416,-1,0.18053476417499859,0.22493874129988822,-1,0.21807878476369869,-1,-1,0.19436319506577981,-1,-1,0.19038842264541223,0.3206817804323763,0.3769211446116707,-1,-1,-1
hignett,-1,-1,-1,-0.34203481193392316,-1,-1,-1,-0.16185089071537395,-1,-0.04705034202179581,0.009565791309991023,-1,-0.2061106633424885,-1,-1,-0.28802702920799717,-1,-1,-0.18699435428382816,-0.1419596634091691,-0.23713042598644418,-1,-1,-1
says,-1,-1,-1,0.4941057422553672,-1,-1,-1,0.20253224538521697,-1,0.23527204662583812,0.3030641336779949,-1,0.4242648585168871,-1,-1,0.5168156780598557,-1,-1,0.42753009124433805,0.42505184100593674,0.4606765999325365,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,-1,-1,-1,0.4744814114456499,-1,-1,-1,0.24715543995210376,-1,0.37577956509615906,0.34797657951151484,-1,0.6173014580181694,-1,-1,0.6183834371070853,-1,-1,0.5049693119809795,0.582158636671564,0.4655007545999159,-1,-1,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,-1,-1,-1,0.06504850515806904,-1,-1,-1,0.04233603560136456,-1,0.07337246453510116,0.2646004381579188,-1,0.14023008016991056,-1,-1,0.1486714508987126,-1,-1,0.10249799330347142,0.23366000353975858,0.26218521805834527,-1,-1,-1
park,-1,-1,-1,0.32330929602421543,-1,-1,-1,0.21260782342837592,-1,0.12345121509739099,0.18889024468538052,-1,0.2709232319350653,-1,-1,0.3433824885268665,-1,-1,0.11299691579609694,0.27542168944787015,0.4105197425379533,-1,-1,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,-1,-1,-1,0.3811084849407147,-1,-1,-1,0.26609543682803494,-1,0.3318986441016566,0.2816962909921875,-1,0.4005646973034114,-1,-1,0.6386215651625361,-1,-1,0.3748876483834247,0.5591553874523635,0.332047506554076,-1,-1,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,-1,-1,-1,0.34740129246600693,-1,-1,-1,0.18179922513350288,-1,0.19950119213504414,0.28257338655465514,-1,0.42138805032568705,-1,-1,0.6150429229702064,-1,-1,0.43224751448250065,0.3553238942982768,0.40282364931083503,-1,-1,-1
taking,-1,-1,-1,0.5478180130785764,-1,-1,-1,0.21945471999165345,-1,0.28881032308518495,0.30852781120796235,-1,0.5467219159213527,-1,-1,0.5889127168979942,-1,-1,0.47039335995276466,0.4419730972377105,0.6354881556293479,-1,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,-1,-1,-1,0.4493879728991992,-1,-1,-1,0.21089675219406256,-1,0.12488786290370046,0.18961653458117467,-1,0.4553795986018765,-1,-1,0.5304379837660724,-1,-1,0.45060671564533683,0.43554067901444216,0.5386944772623824,-1,-1,-1
third,-1,-1,-1,0.39465623280790174,-1,-1,-1,0.19733379052496158,-1,0.22774764570197037,0.1897387555507375,-1,0.4803516484100322,-1,-1,0.6007887911598722,-1,-1,0.2844073395123461,0.3800138212162396,0.5491554431608632,-1,-1,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,-1,-1,-1,0.31857492979334656,-1,-1,-1,0.16832679882170998,-1,0.11428928035085262,0.10868928449931414,-1,0.34315355311416884,-1,-1,0.36932224565102967,-1,-1,0.375555791489787,0.35594578947380096,0.3919303082785215,-1,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,-1,-1,0.4027073612229375,-1,-1,-1,0.15034663204590337,-1,0.14968943359708375,0.13715838598964158,-1,0.36714230459742536,-1,-1,0.4632054015627476,-1,-1,0.2516414456477345,0.25562235338952055,0.4026344947455014,-1,-1,-1
two,-1,-1,-1,0.43071318281434834,-1,-1,-1,0.2535083969597376,-1,0.249824647142725,0.31163810202917297,-1,0.4817145777610221,-1,-1,0.5017891012248258,-1,-1,0.3472637793208807,0.3371950079460957,0.5895459210960178,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
